asset,target_kind,horizon,status,oos_rows,first_oos_date,last_oos_date,qlike_base,qlike_aug,qlike_improvement_pct,qlike_dm_t,qlike_dm_mean,mse_improvement_pct,mse_dm_t
LQD,future_rv,5,ok,2124,2018-01-02,2026-06-16,0.7624141985803488,0.7059908566038515,7.400615319279226,1.5311791173011737,0.05642334197649741,-13.466645359043998,-1.044154146195126
LQD,future_downside_var,5,ok,2030,2018-01-02,2026-06-16,1.942334635248969,1.9904192118173236,-2.4756072252292993,-0.8091199374166699,-0.04808457656835474,-7.393321164288834,-1.1587230957560537
LQD,future_rv,22,ok,2107,2018-01-02,2026-05-20,0.8593703901838085,0.9732168231901445,-13.247655994056965,-0.9426945663423442,-0.11384643300633632,-1.8194938969900527,-1.003087437038077
LQD,future_downside_var,22,ok,2107,2018-01-02,2026-05-20,1.35613953141311,1.6306190477246834,-20.239769577807618,-1.0607563745054729,-0.27447951631157363,-1.2473480982889562,-0.9564768799748815
HYG,future_rv,5,ok,2124,2018-01-02,2026-06-16,1.014304405495014,0.7547452113464177,25.589871516127637,1.7569789215759195,0.25955919414859646,-21.002070939949018,-0.9060127720287744
HYG,future_downside_var,5,ok,2034,2018-01-02,2026-06-16,1.7825031117591565,1.6687005729313542,6.38442301037502,1.3639476417953875,0.11380253882780221,9.591945248872815,0.8309318661897116
HYG,future_rv,22,ok,2107,2018-01-02,2026-05-20,0.7385386741902998,0.6817055744492335,7.695345108822573,1.2329747667687907,0.056833099741066394,6.7740125985141955,1.30897829887418
HYG,future_downside_var,22,ok,2107,2018-01-02,2026-05-20,1.2472383817909134,1.2157264712562375,2.5265347021655873,0.3992260161164348,0.03151191053467548,1.4065074352904716,1.372042723201469
BKLN,future_rv,5,ok,2124,2018-01-02,2026-06-16,1.397697079670832,1.1308372072193764,19.0928260731791,1.6305344815863632,0.26685987245145526,2.2482081863437444,0.39391376948071427
BKLN,future_downside_var,5,ok,1890,2018-01-02,2026-06-16,2.852995059676258,2.740121958195723,3.95630203065768,0.6323226094159681,0.11287310148053524,-638.8155464457711,-1.0980702387106174
BKLN,future_rv,22,ok,2107,2018-01-02,2026-05-20,2.1960849947858136,2.28083296611578,-3.859047875250016,-0.4553749020000925,-0.08474797132996664,97.21696376012022,1.1844603342595386
BKLN,future_downside_var,22,ok,2107,2018-01-02,2026-05-20,4.186634409650044,4.769713317176171,-13.927151274115323,-0.9628529119213255,-0.5830789075261258,-10.513432194914367,-0.45893628000935277
HY_OAS,spread_change_var,5,ok,224,2025-07-30,2026-06-16,0.5268443660269967,0.5761903386603038,-9.36632823948211,-1.1112701002969831,-0.04934597263330696,-25.00179845071268,-1.6163658138586872
HY_OAS,spread_change_var,22,ok,214,2025-07-22,2026-05-25,0.2821273966780264,0.4856234139817324,-72.12912311949016,-1.7528591034447523,-0.203496017303706,-618.9809432235302,-1.5358869395007224
IG_OAS,spread_change_var,5,ok,220,2025-07-28,2026-06-16,0.30424637578754166,0.34261894052472036,-12.612332566937347,-1.5985376213498765,-0.03837256473717858,-24.016521939581832,-1.7187617617421262
IG_OAS,spread_change_var,22,ok,214,2025-07-22,2026-05-25,0.2499200899232915,0.42070270469169585,-68.33488849208682,-1.885591127930851,-0.17078261476840445,-387.9847106301317,-1.6645537294422985
