section,location,description,paper_value,source_exp,source_value,status,notes
abstract,L48,"R2 range low (Low-Vol QE)",0.24,K752,0.2439,MATCH,era4
abstract,L48,"R2 range high (Post-Dot-Com)",0.64,K752,0.6446,MATCH,era2
abstract,L48,"CV of R2 across 5 eras",0.33,K752,0.370,MISMATCH,"computed from k752: mean=0.446 std=0.165 cv=0.370; paper rounds aggressively"
abstract,L48,"Return drag 12/VIX",3.49%/yr,K738,3.486,MATCH,cross-asset avg
abstract,L48,"Break-even CRRA gamma",4.5,K738,4.5,MATCH,from k738 conclusions
abstract,L98,"41.8% QLIKE improvement intraday",41.8%,K745,-41.8%,MISMATCH_DIRECTION,"K745 shows 5-min WORSE than daily: HAR-RV QLIKE=0.109 > HAR-ABS QLIKE=0.077; daily beats 5-min by 41.8% NOT the other way; also N=37 (PRELIMINARY)"
abstract,L88,"Max incremental R2=0.038",0.038,K750,0.038,MATCH,Google Trends family 9 IS delta R2
abstract,L89,"Max Sharpe improvement=+0.010",0.010,K731,0.010,MATCH,TS contango boost
Table1,T1-Row1,"Family 1 sample N",4053,K730,4053,MATCH,
Table1,T1-Row2,"Family 2 sample N",4566,K731,4566,MATCH,
Table2,T2-Row1,"Family 1 partial r|VIX",0.087,K730,0.087,MATCH,
Table2,T2-Row2,"Family 2 partial r|VIX",0.181,K731,0.181,MATCH,
Table2,T2-Row2,"Family 2 IS t-stat (VIX term struct)",17.6,K731,17.6,MATCH,
Table2,T2-Row4,"Family 4 VRP IS t-stat",3.51,K734,3.51,MATCH,
Table2,T2-Row9,"Family 9 Google Trends IS t",7.92,K750,7.92,MATCH,
Table2,T2-Row9,"Family 9 Google Trends OOS DM |t|",0.67,K750,0.67,MATCH,
Table2,T2-Row9,"Family 9 IS partial r",0.271,K750,0.271,MATCH,
Table2,T2-Row10,"Family 10 Overnight VIX IS t",5.07,K751,5.07,MATCH,
Table2,T2-Row8,"Family 8 yield curve yield OOS DM |t|",0.84,K749,0.84,MATCH,
Table2,untraceable,"Family 7 Bitcoin partial r",0.178,K746b,?,UNTRACED,"K746b not verified"
Table2,untraceable,"Family 11 Calendar IS t","-2.39*",K736,?,UNTRACED,
Table3,T3-row-BH,"BH 50/50 Sharpe",0.947,K507,0.947,MISMATCH_PERIOD,"k731 (registered source) shows BH=0.827; paper uses k507 value which has different period/assets; 12/VIX=0.870 matches k731"
Table3,T3-row-VT,"12/VIX Sharpe",0.870,K731,0.870,MATCH,
Table3,T3-row-VT,"12/VIX Delta Sharpe","-0.077",K731,"-0.077",MATCH,
Table3,T3-row-TS,"VIX Term Structure Sharpe",0.880,K731,0.880,MATCH,
Table3,T3-row-BSI,"Behavioral Sentiment Sharpe",0.900,K732,0.900,MATCH,
Table4,T4-row1,"50/50 SPY/GLD Sharpe (short period)",1.849,K747,1.849,MATCH,common period 2023-2026
Table4,T4-row7,"Inverse Vol 2-asset Sharpe",1.795,K747,1.795,MATCH,
Table4,T4-row8,"ERC 2-asset Sharpe",1.795,K747,1.795,MATCH,
Table5,T5-Era1,"Era 1 N",1811,K752,1811,MATCH,
Table5,T5-Era1,"Era 1 R2",0.525,K752,0.5248,MATCH,
Table5,T5-Era1,"Era 1 beta",0.810,K752,0.8097,MATCH,
Table5,T5-Era1,"Era 1 t-stat",44.7,K752,44.7,MATCH,
Table5,T5-Era2,"Era 2 R2",0.645,K752,0.6446,MATCH,
Table5,T5-Era3,"Era 3 R2",0.508,K752,0.508,MATCH,
Table5,T5-Era4,"Era 4 R2 (QE low)",0.244,K752,0.2439,MATCH,
Table5,T5-Era5,"Era 5 R2 (COVID)",0.309,K752,0.3094,MATCH,
Table5,T5-Full,"Full sample R2",0.514,K752,0.5137,MATCH,
Table5,T5-Full,"Full sample N",8325,K752,8325,MATCH,
Table5,T5-Full,"Full sample t-stat",93.8,K752,93.77,MATCH,
