Date,SPY,QQQ,TLT,GLD,HYG,EEM,CL=F
2007-04-11,101.38285827636719,37.93527603149414,48.23844528198242,67.08000183105469,31.692834854125977,26.965635299682617,62.0099983215332
2007-04-12,101.8333511352539,38.23558044433594,48.24946594238281,66.98999786376953,31.71408462524414,27.416475296020508,63.849998474121094
2007-04-13,102.2979965209961,38.312808990478516,48.10040283203125,67.83999633789062,31.65638542175293,27.551054000854492,63.630001068115234
2007-04-16,103.26940155029297,38.66462707519531,48.36539840698242,68.4000015258789,31.644235610961914,27.878530502319336,63.61000061035156
2007-04-17,103.54395294189453,38.75041961669922,48.63591766357422,68.0,31.629064559936523,27.728256225585938,63.099998474121094
2007-04-18,103.67070007324219,38.62171936035156,48.878902435302734,68.37999725341797,31.638160705566406,27.521900177001953,63.130001068115234
2007-04-19,103.64250946044922,38.74186706542969,48.79603958129883,67.52999877929688,31.74749183654785,27.299829483032227,61.83000183105469
2007-04-20,104.62100219726562,38.95634841918945,48.669090270996094,68.69999694824219,31.72927474975586,27.625062942504883,63.380001068115234
2007-04-23,104.22674560546875,39.01646041870117,48.84574890136719,68.26000213623047,31.74749183654785,27.515159606933594,65.88999938964844
2007-04-24,104.2690658569336,39.21379470825195,49.027923583984375,67.7300033569336,31.966184616088867,27.510677337646484,64.58000183105469
2007-04-25,105.2264175415039,39.737213134765625,48.85680389404297,67.88999938964844,32.01476287841797,27.85162353515625,65.83999633789062
2007-04-26,105.34603881835938,39.94315719604492,48.503448486328125,66.87000274658203,32.07247543334961,27.777597427368164,65.05999755859375
2007-04-27,105.26158905029297,39.96030807495117,48.49238586425781,67.55999755859375,32.07247543334961,27.638530731201172,66.45999908447266
2007-04-30,104.38868713378906,39.43689727783203,49.000343322753906,67.08999633789062,32.07554626464844,27.104692459106445,65.70999908447266
2007-05-01,104.65620422363281,39.40258026123047,49.03582763671875,66.69000244140625,32.07948303222656,27.212356567382812,64.4000015258789
2007-05-02,105.26863098144531,39.83159255981445,49.008094787597656,66.66000366210938,32.067283630371094,27.75292205810547,63.68000030517578
2007-05-03,105.83885192871094,39.977474212646484,48.897274017333984,67.48999786376953,32.07036590576172,27.986194610595703,63.189998626708984
2007-05-04,106.24007415771484,40.01179504394531,49.09677505493164,68.19000244140625,32.109954833984375,27.977231979370117,61.93000030517578
2007-05-07,106.26119232177734,40.01179504394531,49.2297477722168,68.25,32.10688018798828,28.15890884399414,61.470001220703125
2007-05-08,106.12042999267578,40.09761428833008,49.118927001953125,67.87999725341797,32.13126754760742,27.793292999267578,62.2599983215332
2007-05-09,106.40900421142578,40.18342208862305,48.924983978271484,67.44999694824219,32.04596710205078,28.241901397705078,61.54999923706055
2007-05-10,105.29681396484375,39.63424301147461,49.04137420654297,66.0,32.161720275878906,27.551054000854492,61.810001373291016
2007-05-11,106.19789123535156,40.140506744384766,48.86956024169922,66.44999694824219,32.179988861083984,28.250879287719727,62.369998931884766
2007-05-14,105.965576171875,39.86591720581055,48.74212646484375,66.27999877929688,32.176944732666016,27.970489501953125,62.459999084472656
2007-05-15,105.99370574951172,39.55703353881836,48.72547149658203,66.54000091552734,32.1525764465332,28.004146575927734,63.16999816894531
2007-05-16,106.71876525878906,39.94315719604492,48.69220733642578,65.5999984741211,32.23786163330078,28.41013526916504,62.54999923706055
2007-05-17,106.50758361816406,39.75437927246094,48.492774963378906,65.05999755859375,32.228721618652344,28.30695152282715,64.86000061035156
2007-05-18,107.43680572509766,40.0804443359375,48.17136001586914,65.5199966430664,32.23786163330078,28.452756881713867,64.94000244140625
2007-05-21,107.38047790527344,40.33786392211914,48.3154182434082,65.66999816894531,32.26832580566406,28.50433921813965,66.2699966430664
2007-05-22,107.29597473144531,40.37218475341797,48.066062927246094,65.19999694824219,32.2713508605957,28.508819580078125,64.97000122070312
2007-05-23,107.31009674072266,40.18342208862305,47.92753982543945,65.54000091552734,32.24699783325195,28.463960647583008,65.7699966430664
2007-05-24,106.338623046875,39.6085205078125,47.971900939941406,64.75,32.25615692138672,27.779844284057617,64.18000030517578
2007-05-25,106.78211975097656,39.85734176635742,47.86104965209961,64.94000244140625,32.30181121826172,28.206018447875977,65.19999694824219
2007-05-29,107.16936492919922,40.166263580322266,47.855491638183594,65.06999969482422,32.17388153076172,28.109567642211914,63.150001525878906
