date,BIL,SHY
2020-01-02,77.05059051513672,73.10525512695312
2020-01-03,77.05059051513672,73.16567993164062
2020-01-06,77.0421371459961,73.13981628417969
2020-01-07,77.0421371459961,73.13981628417969
2020-01-08,77.05899810791016,73.10525512695312
2020-01-09,77.06744384765625,73.11390686035156
2020-01-10,77.06744384765625,73.1312026977539
2020-01-13,77.06744384765625,73.12252044677734
2020-01-14,77.06744384765625,73.1312026977539
2020-01-15,77.07585144042969,73.16567993164062
2020-01-16,77.09269714355469,73.16567993164062
2020-01-17,77.08428192138672,73.19160461425781
2020-01-21,77.09269714355469,73.20890045166016
2020-01-22,77.09269714355469,73.22614288330078
2020-01-23,77.10110473632812,73.2520523071289
2020-01-24,77.10110473632812,73.27794647216797
2020-01-27,77.10953521728516,73.35566711425781
2020-01-28,77.10953521728516,73.32113647460938
2020-01-29,77.11797332763672,73.39022827148438
2020-01-30,77.11797332763672,73.39884185791016
2020-01-31,77.11797332763672,73.49381256103516
2020-02-03,77.12474822998047,73.47222137451172
2020-02-04,77.12474822998047,73.39434051513672
2020-02-05,77.14160919189453,73.34247589111328
2020-02-06,77.1500244140625,73.35977935791016
2020-02-07,77.1500244140625,73.40303039550781
2020-02-10,77.14160919189453,73.4375991821289
2020-02-11,77.1500244140625,73.40303039550781
2020-02-12,77.15846252441406,73.36843872070312
2020-02-13,77.1668930053711,73.38570404052734
2020-02-14,77.1668930053711,73.4203109741211
2020-02-18,77.17530059814453,73.44623565673828
2020-02-19,77.17530059814453,73.45487976074219
2020-02-20,77.17530059814453,73.47222137451172
2020-02-21,77.19219207763672,73.53272247314453
2020-02-24,77.18374633789062,73.65376281738281
2020-02-25,77.18374633789062,73.73161315917969
2020-02-26,77.20063018798828,73.78348541259766
2020-02-27,77.21749114990234,73.87000274658203
2020-02-28,77.20906829833984,74.1380386352539
2020-03-02,77.23187255859375,74.1077651977539
2020-03-03,77.24876403808594,74.4021987915039
2020-03-04,77.28251647949219,74.41087341308594
2020-03-05,77.29942321777344,74.56676483154297
