date,rv_day,rv_night,rv_total
2017-03-30,1.7925587599112158e-05,,1.7925587599112158e-05
2017-03-31,1.0202987076864892e-05,,1.0202987076864892e-05
2017-04-05,2.164225631541375e-05,,2.164225631541375e-05
2017-04-06,1.2432175489765549e-05,,1.2432175489765549e-05
2017-04-07,5.3416740493479575e-05,,5.3416740493479575e-05
2017-04-10,1.716904528639757e-05,,1.716904528639757e-05
2017-04-11,2.1217327801656997e-05,,2.1217327801656997e-05
2017-04-12,1.2420853618403725e-05,,1.2420853618403725e-05
2017-04-13,3.356870386956698e-05,,3.356870386956698e-05
2017-04-14,2.6451025041002463e-05,,2.6451025041002463e-05
2017-04-17,2.181152382455192e-05,,2.181152382455192e-05
2017-04-18,1.3017114538925844e-05,,1.3017114538925844e-05
2017-04-19,3.848727890140905e-05,,3.848727890140905e-05
2017-04-20,1.72180337347714e-05,,1.72180337347714e-05
2017-04-21,1.4754626784227227e-05,,1.4754626784227227e-05
2017-04-24,1.574182013091029e-05,,1.574182013091029e-05
2017-04-25,1.8188810822498084e-05,,1.8188810822498084e-05
2017-04-26,1.796471947973643e-05,,1.796471947973643e-05
2017-04-27,1.037852125599743e-05,,1.037852125599743e-05
2017-04-28,1.4039350770372784e-05,,1.4039350770372784e-05
2017-05-02,6.321742088000519e-06,,6.321742088000519e-06
2017-05-03,3.5046985227862283e-06,,3.5046985227862283e-06
2017-05-04,9.320698703555912e-06,,9.320698703555912e-06
2017-05-05,1.0228902187288351e-05,,1.0228902187288351e-05
2017-05-08,1.1205297416316344e-05,,1.1205297416316344e-05
2017-05-09,2.9072018414429055e-05,,2.9072018414429055e-05
2017-05-10,8.552145399091115e-06,,8.552145399091115e-06
2017-05-11,1.1748869266338127e-05,,1.1748869266338127e-05
2017-05-12,6.305469939513042e-06,,6.305469939513042e-06
2017-05-15,8.467416408095658e-06,,8.467416408095658e-06
2017-05-16,6.221205599023437e-06,2.2655585438431968e-06,8.486764142866635e-06
2017-05-17,1.0091851566574607e-05,2.271353448409543e-06,1.2363205014984151e-05
2017-05-18,1.8804480817577063e-05,8.993052120851477e-06,2.779753293842854e-05
2017-05-19,7.053512404575322e-06,1.2639658294848766e-05,1.9693170699424088e-05
2017-05-22,5.238542021051831e-06,2.9401992635921296e-06,8.17874128464396e-06
2017-05-23,9.376839014307457e-06,1.6980881197148336e-06,1.1074927134022291e-05
2017-05-24,5.613302590872871e-06,1.7790648519023911e-06,7.392367442775262e-06
2017-05-25,6.67635098824561e-06,1.2624417305111873e-06,7.938792718756798e-06
2017-05-26,1.2759453071070234e-05,3.0243122082689815e-06,1.5783765279339215e-05
2017-05-31,1.3275438920030362e-05,2.190451520230194e-06,1.5465890440260556e-05
2017-06-01,8.774207548387496e-06,5.518091963716722e-06,1.4292299512104218e-05
2017-06-02,6.410515084008256e-06,1.880560405171818e-06,8.291075489180075e-06
2017-06-03,1.9330911949718367e-06,2.733451351925846e-06,4.666542546897683e-06
2017-06-05,1.7858579217099008e-05,,1.7858579217099008e-05
2017-06-06,4.783233249734075e-06,2.3720785047069808e-06,7.155311754441056e-06
2017-06-07,1.658555991641957e-05,2.7104350004745386e-06,1.9295994916894107e-05
2017-06-08,5.774983637421047e-06,2.2236169097528133e-06,7.99860054717386e-06
2017-06-09,7.4056151304953325e-06,2.633003385193854e-06,1.0038618515689186e-05
2017-06-12,1.1582011844375002e-05,1.8384647643252492e-05,2.9966659487627496e-05
2017-06-13,5.3716004005516905e-06,9.182610394142072e-06,1.4554210794693763e-05
2017-06-14,3.055872323975341e-05,2.1307430574239247e-06,3.2689466297177335e-05
2017-06-15,1.828296531249121e-05,7.619197938429516e-06,2.5902163250920723e-05
2017-06-16,9.416201251220137e-06,5.7940475748606625e-06,1.52102488260808e-05
2017-06-19,1.0250061883916162e-05,3.353683363024252e-06,1.3603745246940414e-05
2017-06-20,1.7866526738940796e-05,2.287919062221126e-06,2.0154445801161923e-05
2017-06-21,2.1124972228313877e-05,4.163807051444441e-06,2.5288779279758316e-05
2017-06-22,1.9745835801970773e-05,9.819687533016724e-06,2.9565523334987497e-05
2017-06-23,1.0004178722053352e-05,3.481880253413548e-06,1.3486058975466901e-05
2017-06-26,7.42759182797961e-05,4.864951378048571e-06,7.914086965784467e-05
2017-06-27,2.6282789348908146e-05,8.457123648531434e-06,3.473991299743958e-05
2017-06-28,2.6192385019142297e-05,7.185678704331631e-06,3.337806372347393e-05
2017-06-29,2.3433312553458732e-05,1.0338560553738963e-05,3.377187310719769e-05
2017-06-30,1.4264535297134489e-05,2.2111799960324276e-05,3.637633525745876e-05
2017-07-03,2.63067207461113e-05,1.5256370787069492e-05,4.1563091533180797e-05
2017-07-04,2.7339358109689154e-05,5.604105552884922e-06,3.2943463662574073e-05
2017-07-05,3.3612256009943946e-05,2.1150975483731797e-06,3.572735355831712e-05
2017-07-06,3.3850263712493347e-05,8.330885301925019e-06,4.218114901441837e-05
2017-07-07,1.92974586224083e-05,8.213532827505168e-06,2.751099144991347e-05
2017-07-10,1.8366099358678013e-05,6.161941772108077e-06,2.452804113078609e-05
2017-07-11,1.87326952733518e-05,4.326976878720828e-06,2.3059672152072628e-05
2017-07-12,1.896261728726037e-05,7.532453896356371e-06,2.649507118361674e-05
2017-07-13,2.576971732538945e-05,5.427743856097404e-06,3.119746118148685e-05
2017-07-14,7.522904799888374e-06,7.69922772344609e-06,1.5222132523334464e-05
2017-07-17,1.9827714013791585e-05,3.5109097944349056e-06,2.3338623808226492e-05
2017-07-18,8.313970629796482e-06,2.4171458823959772e-06,1.073111651219246e-05
2017-07-19,1.150552592255703e-05,4.338636856645307e-06,1.5844162779202335e-05
2017-07-20,7.639928555444458e-06,2.1903145958803795e-06,9.830243151324839e-06
2017-07-21,1.1898908199310089e-05,3.412083699410525e-06,1.5310991898720614e-05
2017-07-24,1.2992420941850241e-05,4.917822635589287e-06,1.791024357743953e-05
2017-07-25,1.555716990750944e-05,3.780949254622999e-06,1.933811916213244e-05
2017-07-26,2.6111473768329087e-05,2.545356738235691e-06,2.8656830506564776e-05
2017-07-27,1.5921866064998514e-05,2.4220443524968583e-06,1.8343910417495373e-05
2017-07-28,1.633493853735213e-05,1.3074475713384338e-05,2.940941425073647e-05
2017-07-31,2.0578383025086513e-05,5.395119814149769e-06,2.5973502839236283e-05
2017-08-01,2.034524321165728e-05,4.651710618008685e-06,2.4996953829665966e-05
2017-08-02,1.569898034526263e-05,3.0629824087693413e-06,1.876196275403197e-05
2017-08-03,1.7578772616670684e-05,7.2448701803797695e-06,2.4823642797050453e-05
2017-08-04,7.178501868860117e-06,4.295647719501521e-06,1.1474149588361638e-05
2017-08-07,9.90561185874505e-06,2.5393983002695225e-06,1.2445010159014574e-05
2017-08-08,2.563739322484031e-05,1.7563166377516703e-06,2.739370986259198e-05
2017-08-09,1.7527647130718593e-05,5.088884350902908e-06,2.26165314816215e-05
2017-08-10,4.2197818454516714e-05,5.008408144049597e-06,4.720622659856631e-05
2017-08-11,3.626123383356974e-05,1.1024799257454221e-05,4.728603309102396e-05
2017-08-14,3.591580539397442e-05,1.120944980857249e-05,4.712525520254691e-05
2017-08-15,2.5328272756935546e-05,4.7168596977049e-06,3.0045132454640447e-05
2017-08-16,2.9496103324225522e-05,1.3090456007029749e-05,4.258655933125527e-05
2017-08-17,1.8151099842282912e-05,3.1886902053378014e-06,2.1339790047620715e-05
2017-08-18,2.173667396450204e-05,1.02289010324063e-05,3.196557499690834e-05
2017-08-21,2.0785076221855215e-05,9.940137979764878e-06,3.072521420162009e-05
2017-08-22,8.555280094075246e-06,5.366669520124121e-06,1.3921949614199367e-05
2017-08-23,1.4456862964986691e-05,5.162703351223498e-06,1.961956631621019e-05
2017-08-24,1.3325024860395039e-05,5.92256319983514e-06,1.9247588060230177e-05
2017-08-25,1.0519727652883798e-05,1.3716115118620747e-05,2.4235842771504545e-05
2017-08-28,2.0483398697060416e-05,5.729379462911922e-06,2.6212778159972337e-05
2017-08-29,1.0971821342373006e-05,5.553156884407013e-06,1.652497822678002e-05
2017-08-30,1.5047165561367377e-05,6.701626503662797e-06,2.1748792065030174e-05
2017-08-31,1.775006911829033e-05,3.6524481129642322e-06,2.140251723125456e-05
2017-09-01,9.834867405876145e-06,2.3663898933234565e-06,1.2201257299199601e-05
2017-09-04,1.0909519365506548e-05,1.6671969328186133e-06,1.2576716298325161e-05
2017-09-05,8.146205891512811e-06,1.9105118090785535e-06,1.0056717700591364e-05
2017-09-06,2.3069551509864265e-05,1.0435451433739326e-05,3.350500294360359e-05
2017-09-07,1.768800648492482e-05,4.284359543651193e-06,2.1972366028576015e-05
2017-09-08,1.7090854748151158e-05,5.7761236234927465e-06,2.2866978371643904e-05
2017-09-11,2.1957337332558422e-05,2.456752556679921e-06,2.4414089889238343e-05
2017-09-12,1.1441224276111296e-05,2.749542489353201e-06,1.4190766765464498e-05
2017-09-13,2.6851374565617093e-05,2.8938811664917314e-06,2.9745255732108823e-05
2017-09-14,1.759308084068524e-05,4.188375677751843e-06,2.178145651843708e-05
2017-09-15,1.588596694700155e-05,2.6865120408378774e-06,1.8572478987839427e-05
2017-09-18,1.5744455525314396e-05,2.022330373730108e-06,1.7766785899044504e-05
2017-09-19,1.2808591383466847e-05,1.7294912269362933e-06,1.453808261040314e-05
2017-09-20,3.1660853765360064e-05,2.0051070417718733e-06,3.366596080713194e-05
2017-09-21,1.6099340601713876e-05,1.0159351698937453e-05,2.6258692300651327e-05
2017-09-22,2.946704282844984e-05,2.4885793306774616e-06,3.19556221591273e-05
2017-09-25,4.310172910121077e-05,4.6281224736221155e-06,4.772985157483288e-05
2017-09-26,3.29902086342551e-05,1.3163759828504815e-05,4.6153968462759915e-05
2017-09-27,1.8367163880436435e-05,6.560758282825589e-06,2.4927922163262025e-05
2017-09-28,4.2909141981375515e-05,4.741334403673047e-06,4.765047638504856e-05
2017-09-29,2.1770124439742853e-05,5.04455885341661e-06,2.6814683293159464e-05
2017-09-30,4.625981805044164e-06,1.9211104050298804e-06,6.547092210074044e-06
2017-10-02,1.0311004054724797e-05,,1.0311004054724797e-05
2017-10-03,1.635830495318809e-05,3.2422635566505956e-06,1.9600568509838685e-05
2017-10-05,9.921439614239311e-06,1.225075717087899e-06,1.114651533132721e-05
2017-10-06,9.620443606173722e-06,2.769258905444622e-06,1.2389702511618344e-05
2017-10-11,2.5394016205721187e-05,2.9570951661495793e-06,2.8351111371870768e-05
2017-10-12,1.2031522596005553e-05,1.846863120033737e-06,1.387838571603929e-05
2017-10-13,6.592184177910304e-06,2.2031199162381746e-06,8.795304094148479e-06
2017-10-16,1.4865619219121776e-05,2.427581931617525e-06,1.72932011507393e-05
2017-10-17,8.93537965772905e-06,1.5967429775154427e-06,1.0532122635244494e-05
2017-10-18,1.6683976729797444e-05,2.330552232337942e-06,1.9014528962135386e-05
2017-10-19,1.3929730124598911e-05,5.103579099605172e-06,1.9033309224204082e-05
2017-10-20,1.465025885162869e-05,1.20692982596321e-05,2.671955711126079e-05
2017-10-23,1.4810996495454155e-05,3.570180717104973e-06,1.8381177212559127e-05
2017-10-24,9.984016020133892e-06,2.509229319329998e-06,1.249324533946389e-05
2017-10-25,1.2923082569372456e-05,2.6003525905223947e-06,1.552343515989485e-05
2017-10-26,8.05286897052617e-06,8.01589054919538e-06,1.606875951972155e-05
2017-10-27,2.177640406095141e-05,2.634389215791293e-06,2.4410793276742704e-05
2017-10-30,3.2088693317755226e-05,4.255670003753522e-06,3.6344363321508746e-05
2017-10-31,1.4185850015604487e-05,4.4129428645036375e-06,1.8598792880108124e-05
2017-11-01,1.559524321407838e-05,1.5119138499869107e-06,1.710715706406529e-05
2017-11-02,1.3421029445851091e-05,6.721751231900804e-06,2.0142780677751893e-05
2017-11-03,1.2296991931058781e-05,5.616522859238239e-06,1.7913514790297022e-05
2017-11-06,2.1832313360546445e-05,2.6237149309604055e-06,2.445602829150685e-05
2017-11-07,8.709684020851229e-06,1.6793853599707128e-06,1.0389069380821941e-05
2017-11-08,4.485752608023685e-06,3.3257916604948026e-06,7.811544268518487e-06
2017-11-09,2.8033682142930687e-05,1.1824960875081471e-06,2.9216178230438833e-05
2017-11-10,1.3380970022020918e-05,1.0329927498733976e-05,2.3710897520754896e-05
2017-11-13,1.329902659580412e-05,3.3620115438594735e-06,1.6661038139663596e-05
2017-11-14,1.666647031696457e-05,3.2879039663773677e-06,1.9954374283341935e-05
2017-11-15,1.668948855050025e-05,5.0735830777687835e-06,2.1763071628269032e-05
2017-11-16,7.258142637549568e-06,6.716837816833093e-06,1.3974980454382662e-05
2017-11-17,1.1872939053373323e-05,3.019453614326291e-06,1.4892392667699614e-05
2017-11-20,9.121367221268245e-06,2.915993849457675e-06,1.203736107072592e-05
2017-11-21,1.4399563979402309e-05,2.6135954521652374e-06,1.7013159431567545e-05
2017-11-22,2.381022030309402e-05,3.0196115077607954e-06,2.6829831810854815e-05
2017-11-23,9.166181414435506e-06,5.89538460315749e-06,1.5061566017592997e-05
2017-11-24,5.1644359078892135e-06,5.8719140357689e-06,1.1036349943658114e-05
2017-11-27,2.194747437061249e-05,2.0935985385325992e-06,2.404107290914509e-05
2017-11-28,1.4062756741707807e-05,5.985307907272891e-06,2.0048064648980696e-05
2017-11-29,8.778793140358883e-06,5.34964859156848e-06,1.4128441731927364e-05
2017-11-30,2.5255455519321246e-05,1.748367233235045e-05,4.27391278516717e-05
2017-12-01,5.620428594466053e-05,1.1997796500489613e-05,6.820208244515014e-05
2017-12-04,3.827359196902949e-05,3.437318790396854e-05,7.264677987299803e-05
2017-12-05,3.531868581343333e-05,1.019882653374649e-05,4.551751234717982e-05
2017-12-06,4.1257308469069124e-05,1.0250663274628761e-05,5.1507971743697885e-05
2017-12-07,4.808841000183607e-05,2.635458624456793e-05,7.4442996246404e-05
2017-12-08,4.4344248539100393e-05,1.2496040069440443e-05,5.684028860854084e-05
2017-12-11,1.6378169550219897e-05,8.299202180639846e-06,2.4677371730859745e-05
2017-12-12,2.818743253156023e-05,3.7042227290617705e-06,3.1891655260622004e-05
2017-12-13,1.968835384506162e-05,3.4329589094037958e-06,2.3121312754465417e-05
2017-12-14,2.24212866693167e-05,9.424163343543047e-06,3.1845450012859744e-05
2017-12-15,2.8366492845179817e-05,5.600861052729975e-06,3.396735389790979e-05
2017-12-18,2.7265296444834487e-05,7.311389861842081e-06,3.457668630667657e-05
2017-12-19,2.0368357808209818e-05,3.7089371363395427e-06,2.407729494454936e-05
2017-12-20,1.7443072396892974e-05,5.626444196253225e-06,2.30695165931462e-05
2017-12-21,1.962650124195711e-05,6.019413269720621e-06,2.5645914511677732e-05
2017-12-22,7.815307251392557e-06,2.714296837439804e-06,1.0529604088832361e-05
2017-12-25,1.2401363186566505e-05,1.9670783079729558e-06,1.436844149453946e-05
2017-12-26,2.4964160810768588e-05,5.77213041982701e-07,2.554137385275129e-05
2017-12-27,1.7650136811618473e-05,4.604343758910509e-06,2.2254480570528983e-05
2017-12-28,2.6263524700210576e-05,3.320360843848909e-06,2.9583885544059486e-05
2017-12-29,1.5989197836245743e-05,1.743179175720014e-06,1.7732377011965757e-05
2018-01-02,1.4994275626731248e-05,3.55497232965234e-06,1.8549247956383587e-05
2018-01-03,1.0324048553984932e-05,6.288070392898863e-06,1.6612118946883796e-05
2018-01-04,2.4466205611805393e-05,3.5580804010989083e-06,2.80242860129043e-05
2018-01-05,1.727988449675747e-05,6.752157536653465e-06,2.4032042033410935e-05
2018-01-08,1.686902940118837e-05,2.532579005039287e-06,1.9401608406227656e-05
2018-01-09,1.5691293869840445e-05,4.302309010728288e-06,1.9993602880568733e-05
2018-01-10,1.6384143213204426e-05,3.1270036872414677e-06,1.9511146900445892e-05
2018-01-11,1.973637372949541e-05,8.015550186495149e-06,2.7751923915990557e-05
2018-01-12,1.3060968972355937e-05,3.7261803171269805e-06,1.6787149289482916e-05
2018-01-15,1.4099962544458118e-05,3.6803315071610165e-06,1.7780294051619133e-05
2018-01-16,9.103683642754471e-06,1.9297250241583093e-06,1.103340866691278e-05
2018-01-17,1.687015781078143e-05,8.12601715951144e-06,2.499617497029287e-05
2018-01-18,2.780224640012213e-05,4.49996828221447e-06,3.23022146823366e-05
2018-01-19,1.2357927483704693e-05,9.732230306779469e-06,2.2090157790484163e-05
2018-01-22,2.7843541400161326e-05,8.339644476891956e-06,3.618318587705328e-05
2018-01-23,2.739855795110033e-05,6.624782774041337e-06,3.4023340725141667e-05
2018-01-24,2.8634739906820248e-05,8.949787817942595e-06,3.758452772476284e-05
2018-01-25,7.329760770016805e-05,1.1452252896746445e-05,8.474986059691449e-05
2018-01-26,3.45821179197132e-05,1.0764905982823331e-05,4.534702390253653e-05
2018-01-29,2.6523065895567902e-05,3.0697414444895897e-06,2.9592807340057492e-05
2018-01-30,2.5672503782860847e-05,7.335998659851397e-06,3.3008502442712246e-05
2018-01-31,4.200727620885013e-05,1.2739888788263972e-05,5.47471649971141e-05
2018-02-01,2.5131642013682967e-05,8.888450839174673e-06,3.402009285285764e-05
2018-02-02,5.677033585681391e-05,1.3200141549459409e-05,6.997047740627332e-05
2018-02-05,4.20555368003632e-05,1.7584458327507592e-05,5.9639995127870795e-05
2018-02-06,0.0003479726558504144,0.0001530770821065837,0.0005010497379569981
2018-02-07,6.688720962963007e-05,0.00022789984137116674,0.0002947870510007968
2018-02-08,4.841137329629892e-05,7.026183235866605e-05,0.00011867320565496497
2018-02-09,0.00016653079950118983,0.00011462887671743812,0.000281159676218628
2018-02-12,1.7058690875656443e-05,0.0002674411498690081,0.00028449984074466455
2018-02-21,3.024656633160732e-05,4.650031871669825e-05,7.674688504830557e-05
2018-02-22,2.3385266252726413e-05,2.9307290363740134e-05,5.2692556616466544e-05
2018-02-23,1.6411014699452694e-05,3.567875586069154e-05,5.208977056014424e-05
2018-02-26,2.2804206029185317e-05,1.5202729756603573e-05,3.8006935785788893e-05
2018-02-27,2.8783592327960788e-05,1.1127354755193558e-05,3.991094708315435e-05
2018-03-01,3.5092937285766296e-05,2.7577843246795737e-05,6.267078053256203e-05
2018-03-02,5.294161631278888e-05,0.00012443739459526215,0.00017737901090805102
2018-03-05,6.990678186814662e-05,5.7273846363964216e-05,0.00012718062823211082
2018-03-06,3.4899166258571735e-05,3.149993308476125e-05,6.639909934333298e-05
2018-03-07,3.90018677680645e-05,2.925328741931567e-05,6.825515518738017e-05
2018-03-08,2.26397568073724e-05,2.1711611714751772e-05,4.4351368522124176e-05
2018-03-09,2.5396381149456505e-05,1.816262861962776e-05,4.3559009769084265e-05
2018-03-12,2.4076685402080572e-05,1.6733057098830808e-05,4.0809742500911376e-05
2018-03-13,1.3466267664107114e-05,1.3728324155329076e-05,2.7194591819436188e-05
2018-03-14,1.8782723993340642e-05,1.975034000966674e-05,3.853306400300738e-05
2018-03-15,1.7595352330184806e-05,3.308083278918141e-05,5.0676185119366214e-05
2018-03-16,6.389111595013184e-05,1.4383878298136108e-05,7.827499424826795e-05
2018-03-19,2.1932659271939374e-05,9.945793408769941e-06,3.187845268070932e-05
2018-03-20,9.715850908477743e-06,2.0904019121600626e-05,3.061987003007837e-05
2018-03-21,2.081764432073628e-05,1.2859323742587595e-05,3.3676968063323874e-05
2018-03-22,4.634412255815003e-05,1.755463435906919e-05,6.389875691721923e-05
2018-03-23,5.606455898340306e-05,4.096225594225219e-05,9.702681492565525e-05
2018-03-26,4.198819065013279e-05,6.539723177257899e-05,0.00010738542242271179
2018-03-27,1.7516772213683537e-05,5.6093104634101154e-05,7.36098768477847e-05
2018-03-28,3.1466988612695024e-05,3.425734916466981e-05,6.572433777736483e-05
2018-03-29,3.8992148256510355e-05,6.551370736813654e-05,0.00010450585562464689
2018-03-30,1.9509426337827816e-05,1.784738503223804e-05,3.735681137006586e-05
2018-03-31,3.0061035982627945e-06,2.814910640380775e-06,5.82101423864357e-06
2018-04-02,3.969247041510554e-05,,3.969247041510554e-05
2018-04-03,3.28038357915702e-05,3.7845715029776315e-05,7.064955082134651e-05
2018-04-09,3.0149248887402884e-05,2.947590638106488e-05,5.962515526846776e-05
2018-04-10,2.8231106482719318e-05,1.967909138138516e-05,4.7910197864104475e-05
2018-04-11,1.5571975107663303e-05,1.4991497956137027e-05,3.056347306380033e-05
2018-04-12,2.9160782080497933e-05,1.2254341266223774e-05,4.141512334672171e-05
2018-04-13,1.74589280680799e-05,9.031901480778005e-06,2.6490829548857905e-05
2018-04-16,1.7279176630944227e-05,1.3027020712563423e-05,3.030619734350765e-05
2018-04-17,4.389623349162527e-05,5.707303277228894e-06,4.960353676885417e-05
2018-04-18,3.239170737092592e-05,1.0774686549400212e-05,4.3166393920326134e-05
2018-04-19,2.0044346142829423e-05,9.226315890605807e-06,2.927066203343523e-05
2018-04-20,2.6964040239736e-05,2.0183570062787983e-05,4.7147610302523987e-05
2018-04-23,3.8531544646081884e-05,4.5440248602597776e-05,8.397179324867966e-05
2018-04-24,7.047661211789509e-05,2.261702658514829e-05,9.309363870304337e-05
2018-04-25,5.1114564235683755e-05,8.552741308438415e-05,0.0001366419773200679
2018-04-26,3.8363453965354435e-05,3.7200849950689524e-05,7.556430391604397e-05
2018-04-27,3.920939837506333e-05,2.187965683215008e-05,6.10890552072134e-05
2018-04-30,4.160284193622517e-05,2.11932380718158e-05,6.279608000804096e-05
2018-05-02,2.5777525286918445e-05,1.3069268688246804e-05,3.884679397516525e-05
2018-05-03,3.240873645480138e-05,2.496070160946589e-05,5.736943806426727e-05
2018-05-04,4.383666060961805e-05,3.8474551243859896e-05,8.231121185347795e-05
2018-05-07,2.8753258192336903e-05,1.9605529807397843e-05,4.8358787999734746e-05
2018-05-08,1.7021271866118327e-05,7.844188651815328e-06,2.4865460517933656e-05
2018-05-09,2.211337315082163e-05,8.420740919149903e-06,3.053411406997153e-05
2018-05-10,1.1677394607677145e-05,6.700135400008573e-06,1.837753000768572e-05
2018-05-11,1.3245812200121494e-05,8.675948450035741e-06,2.1921760650157237e-05
2018-05-14,1.4494513270546883e-05,1.6264935796930714e-05,3.0759449067477595e-05
2018-05-15,2.420548510159154e-05,6.736523181704672e-06,3.094200828329621e-05
2018-05-16,2.1805045003899582e-05,1.9733648630030345e-05,4.1538693633929924e-05
2018-05-17,2.0675857599336118e-05,7.929690679812623e-06,2.860554827914874e-05
2018-05-18,2.290420525714727e-05,1.1943706402913338e-05,3.484791166006061e-05
2018-05-21,1.612913539317466e-05,6.9091066490081895e-06,2.3038242042182848e-05
2018-05-22,1.78162592246816e-05,8.590564518914217e-06,2.6406823743595817e-05
2018-05-23,2.113947353451956e-05,5.030695872154722e-06,2.6170169406674285e-05
2018-05-24,2.7903626406927465e-05,1.7362107050679455e-05,4.526573345760692e-05
2018-05-25,1.823027486535118e-05,1.8159171716290194e-05,3.638944658164137e-05
2018-05-28,1.2516164889739637e-05,5.723470751970731e-06,1.8239635641710368e-05
2018-05-29,1.9048683502648287e-05,2.482977736535415e-06,2.1531661239183703e-05
2018-05-30,2.446345779848532e-05,1.2263307566440835e-05,3.6726765364926154e-05
2018-05-31,1.9310520310671575e-05,7.447650671199983e-06,2.675817098187156e-05
2018-06-01,2.5324548066815405e-05,1.2522666748738994e-05,3.78472148155544e-05
2018-06-04,1.18653846240039e-05,4.181843243234746e-06,1.6047227867238645e-05
2018-06-05,3.67663239940854e-05,8.0258432482668e-06,4.47921672423522e-05
2018-06-06,1.5716755505744964e-05,8.85454351807729e-06,2.4571299023822253e-05
2018-06-07,2.640403822358999e-05,1.0088989670578828e-05,3.649302789416882e-05
2018-06-08,1.98754313195588e-05,1.2751918145872147e-05,3.262734946543094e-05
2018-06-11,2.676281069164654e-05,1.529442722155939e-05,4.2057237913205935e-05
2018-06-12,5.1735150223360314e-05,7.205925180007554e-06,5.8941075403367866e-05
2018-06-13,2.2512243453676907e-05,8.177242547468295e-06,3.06894860011452e-05
2018-06-14,1.8664613876003734e-05,1.042018700641481e-05,2.9084800882418545e-05
2018-06-15,3.1755595760538175e-05,1.4084999187926645e-05,4.5840594948464824e-05
2018-06-19,2.0219571556655073e-05,1.0021471005987223e-05,3.0241042562642298e-05
2018-06-20,4.156364165432029e-05,1.650473684290586e-05,5.806837849722615e-05
2018-06-21,2.4777146144511806e-05,8.417717135953742e-06,3.3194863280465546e-05
2018-06-22,3.50662632336932e-05,1.5898450762570637e-05,5.0964713996263834e-05
