date,rv_day,rv_night,rv_total
2017-01-03,1.7265486456073135e-05,,1.7265486456073135e-05
2017-01-04,8.802386359963308e-06,,8.802386359963308e-06
2017-01-05,2.5548976641798958e-05,,2.5548976641798958e-05
2017-01-06,4.5200243722377865e-06,,4.5200243722377865e-06
2017-01-09,2.1389269061132354e-05,,2.1389269061132354e-05
2017-01-10,9.697203909990342e-06,,9.697203909990342e-06
2017-01-11,1.1314077065556448e-05,,1.1314077065556448e-05
2017-01-12,2.3232024646098155e-05,,2.3232024646098155e-05
2017-01-13,8.549441916673992e-06,,8.549441916673992e-06
2017-01-16,1.2492924541190435e-05,,1.2492924541190435e-05
2017-01-17,8.479808759282897e-06,,8.479808759282897e-06
2017-01-18,7.161779254753418e-06,,7.161779254753418e-06
2017-01-19,2.146688995178304e-05,,2.146688995178304e-05
2017-01-20,1.4133936806773658e-05,,1.4133936806773658e-05
2017-01-23,1.2819685375998805e-05,,1.2819685375998805e-05
2017-01-24,8.586761142087025e-06,,8.586761142087025e-06
2017-02-02,3.927746566778428e-05,,3.927746566778428e-05
2017-02-03,1.9303509388146486e-05,,1.9303509388146486e-05
2017-02-06,2.0315301800739223e-05,,2.0315301800739223e-05
2017-02-07,8.35154273755972e-06,,8.35154273755972e-06
2017-02-08,3.202399820936922e-05,,3.202399820936922e-05
2017-02-09,2.154160590093575e-05,,2.154160590093575e-05
2017-02-10,2.2019742625419926e-05,,2.2019742625419926e-05
2017-02-13,6.813487118635719e-06,,6.813487118635719e-06
2017-02-14,1.5797752777004537e-05,,1.5797752777004537e-05
2017-02-15,1.3073950229117022e-05,,1.3073950229117022e-05
2017-02-16,3.949011117257784e-05,,3.949011117257784e-05
2017-02-17,1.6906741283810458e-05,,1.6906741283810458e-05
2017-02-18,1.818718403187234e-06,,1.818718403187234e-06
2017-02-20,1.7161089341446195e-05,,1.7161089341446195e-05
2017-02-21,1.1059034274473671e-05,,1.1059034274473671e-05
2017-02-22,1.829220593994058e-05,,1.829220593994058e-05
2017-02-23,1.780026777693327e-05,,1.780026777693327e-05
2017-02-24,1.8574548235115226e-05,,1.8574548235115226e-05
2017-03-01,2.472015900068074e-05,,2.472015900068074e-05
2017-03-02,2.6013542285274675e-05,,2.6013542285274675e-05
2017-03-03,2.867292358867349e-05,,2.867292358867349e-05
2017-03-06,1.7610603876879978e-05,,1.7610603876879978e-05
2017-03-07,1.511180405042025e-05,,1.511180405042025e-05
2017-03-08,1.1308888040348914e-05,,1.1308888040348914e-05
2017-03-09,2.0808079337683556e-05,,2.0808079337683556e-05
2017-03-10,3.308405960925717e-05,,3.308405960925717e-05
2017-03-13,1.2238316284345433e-05,,1.2238316284345433e-05
2017-03-14,8.330094842831581e-06,,8.330094842831581e-06
2017-03-15,1.1164838755188314e-05,,1.1164838755188314e-05
2017-03-16,2.1630734711301842e-05,,2.1630734711301842e-05
2017-03-17,1.5972403605143825e-05,,1.5972403605143825e-05
2017-03-20,1.0635246780969846e-05,,1.0635246780969846e-05
2017-03-21,1.0222414186468219e-05,,1.0222414186468219e-05
2017-03-22,2.8123655216575764e-05,,2.8123655216575764e-05
2017-03-23,1.6295844543937966e-05,,1.6295844543937966e-05
2017-03-24,1.7334635027229525e-05,,1.7334635027229525e-05
2017-03-27,1.5542570767059536e-05,,1.5542570767059536e-05
2017-03-28,3.505124178196376e-05,,3.505124178196376e-05
2017-03-29,1.1570056564191473e-05,,1.1570056564191473e-05
