date,path,n_rows,n_close,n_returns,first_ts_utc,last_ts_utc,open,high,low,close,volume,rv_5min_intraday,intraday_log_return,valid_for_har
2026-01-20,data/intraday/0050_TW_5min_2026-01-20.csv,53,53,52,2026-01-20T01:00:00+00:00,2026-01-20T05:20:00+00:00,71.9000015258789,72.6500015258789,71.8499984741211,72.5999984741211,99384134.0,4.4944450957437254e-05,0.009688614863895738,True
2026-01-21,data/intraday/0050_TW_5min_2026-01-21.csv,54,54,53,2026-01-21T01:00:00+00:00,2026-01-21T05:25:00+00:00,71.80000305175781,72.5,71.69999694824219,71.8499984741211,158722485.0,5.6252416277410325e-05,0.0006960727302590303,True
2026-01-22,data/intraday/0050_TW_5min_2026-01-22.csv,53,53,52,2026-01-22T01:00:00+00:00,2026-01-22T05:20:00+00:00,71.9000015258789,72.05000305175781,71.5999984741211,71.69999694824219,86558722.0,3.340524416043111e-05,-0.0027855809065354164,True
2026-01-23,data/intraday/0050_TW_5min_2026-01-23.csv,53,53,52,2026-01-23T01:00:00+00:00,2026-01-23T05:20:00+00:00,72.0999984741211,72.30000305175781,71.80000305175781,72.25,67596447.0,2.9350550514932724e-05,0.0020783038650074494,True
2026-01-26,data/intraday/0050_TW_5min_2026-01-26.csv,53,53,52,2026-01-26T01:00:00+00:00,2026-01-26T05:20:00+00:00,72.25,72.6500015258789,72.19999694824219,72.3499984741211,80119823.0,3.236319064946155e-05,0.0013831049947104546,True
2026-01-27,data/intraday/0050_TW_5min_2026-01-27.csv,53,53,52,2026-01-27T01:00:00+00:00,2026-01-27T05:20:00+00:00,72.4000015258789,73.1500015258789,72.3499984741211,73.05000305175781,66897514.0,2.731855933431136e-05,0.008937859505649197,True
2026-01-28,data/intraday/0050_TW_5min_2026-01-28.csv,54,54,53,2026-01-28T01:00:00+00:00,2026-01-28T05:25:00+00:00,73.55000305175781,74.19999694824219,73.5,74.1500015258789,89220762.0,2.476853967480445e-05,0.008124600622479354,True
2026-01-29,data/intraday/0050_TW_5min_2026-01-29.csv,53,53,52,2026-01-29T01:00:00+00:00,2026-01-29T05:20:00+00:00,74.4000015258789,74.5,73.5,73.80000305175781,116877978.0,0.00010518006786631549,-0.00809718939001317,True
2026-01-30,data/intraday/0050_TW_5min_2026-01-30.csv,53,53,52,2026-01-30T01:00:00+00:00,2026-01-30T05:20:00+00:00,73.1500015258789,73.19999694824219,72.30000305175781,72.6500015258789,169358046.0,6.908688904860864e-05,-0.006858737306279191,True
2026-02-03,data/intraday/0050_TW_5min_2026-02-03.csv,54,54,53,2026-02-03T01:00:00+00:00,2026-02-03T05:25:00+00:00,73.0,73.05000305175781,72.4000015258789,72.9000015258789,72174072.0,6.62931600335937e-05,-0.0013707812026553916,True
2026-02-04,data/intraday/0050_TW_5min_2026-02-04.csv,53,53,52,2026-02-04T01:00:00+00:00,2026-02-04T05:20:00+00:00,72.4000015258789,73.1500015258789,72.30000305175781,72.8499984741211,53558482.0,6.225236678883169e-05,0.006196191228378166,True
