date,actual_rv,Persistence,EWMA20,HAR_DW_log,HAR_DWM_log
2026-06-02,0.0001360803643595992,0.00010893690573692458,0.00012296849781071208,0.00012320320965762276,0.000118072595488833
2026-06-03,5.535829719590328e-05,0.0001360803643595992,0.0001242172470058442,0.00013085447672327383,0.00012442958525618389
2026-06-04,5.023306029352343e-05,5.535829719590328e-05,0.00011765925178584983,0.00010806100371048038,0.00010743356796533983
2026-06-05,0.0002043311920556004,5.023306029352343e-05,0.00011123770973896159,9.30745716636176e-05,8.559016576081002e-05
2026-06-08,0.0002776438192635058,0.0002043311920556004,0.00012010375567387958,0.00012244677746755652,0.00010998837179546801
2026-06-09,9.961914245529265e-05,0.0002776438192635058,0.00013510757125384398,0.00014059700859038248,0.00011979046771791232
2026-06-10,0.00012669046414012986,9.961914245529265e-05,0.0001317277208920772,0.00011336836949042132,9.956326944716668e-05
2026-06-11,0.0002971793766197556,0.00012669046414012986,0.0001312479821537965,0.00012051129744439766,0.00010364774435263004
2026-06-12,8.896998015191323e-05,0.0002971793766197556,0.00014705097210293544,0.00015342114327208335,0.00013067005235672626
2026-06-15,5.542130399462738e-05,8.896998015191323e-05,0.00014151944905998096,0.00011856479868136882,0.00010195031780675373
2026-06-16,9.461990962441558e-05,5.542130399462738e-05,0.00013331962572042346,0.00010189755240878453,8.611561515961883e-05
2026-06-17,5.730306962717922e-05,9.461990962441558e-05,0.00012963393847318462,0.00011303495308428101,9.61256979864836e-05
2026-06-18,4.583726550383992e-05,5.730306962717922e-05,0.00012274528429737457,0.000100488065600354,8.628271085315455e-05
2026-06-22,5.734993758788415e-05,4.583726550383992e-05,0.0001154207110789427,9.131555509287092e-05,7.298774389665133e-05
2026-06-23,0.00015458672227929737,5.734993758788415e-05,0.00010989016122265142,9.424576820638969e-05,7.456126167406284e-05
2026-06-24,0.00016009170870375875,0.00015458672227929737,0.0001141469765613796,0.00012094255051027316,9.703873574668805e-05
2026-06-25,0.00016156513053253906,0.00016009170870375875,0.00011852266533684428,0.00012441704109233473,0.00010300025276331857
2026-06-26,0.00016090632969265362,0.00016156513053253906,0.00012262194773643426,0.0001260110683442102,0.00010721219458400581
2026-06-29,0.00018523963760870216,0.00016090632969265362,0.0001262680793513123,0.00012657147508789572,0.00011108639186328164
2026-06-30,9.445540204080168e-05,0.00018523963760870216,0.00013188441823296847,0.00013297164175627517,0.00012065543544922223
2026-07-01,8.3670601708538e-05,9.445540204080168e-05,0.00012831975002419068,0.0001103985258363385,0.00010489180903240325
2026-07-02,8.768406932804158e-05,8.3670601708538e-05,0.0001240674501846047,0.00010654873972305515,0.00010112739645741499
2026-07-03,7.419127678397573e-05,8.768406932804158e-05,0.00012060236629350346,0.00010788648135897361,0.00010222383588010543
2026-07-06,0.00012844684925949028,7.419127678397573e-05,0.0001161822625306913,0.00010302049359338277,9.764825640399307e-05
2026-07-07,0.0001603309728970588,0.00012844684925949028,0.00011735031840962453,0.0001200803444506016,0.00011237957992239758
2026-07-08,0.000147119572112729,0.0001603309728970588,0.00012144371407509446,0.0001281727919298905,0.00012049693830852565
