date,actual_rv,base_pred_rv,pollution_pred_rv,aqi_lag1,pm25_defining_lag1
2023-01-03,0.00022001066886392622,4.4666242153620285e-05,4.719245488485797e-05,59.0,1.0
2023-01-04,0.00011700732106692354,7.173936865708419e-05,7.686347445867181e-05,72.0,1.0
2023-01-05,1.8190024931109857e-05,6.203099891694813e-05,6.643068069192466e-05,70.0,1.0
2023-01-06,0.000249951309595514,4.1502206632661465e-05,4.4208108233843926e-05,61.0,1.0
2023-01-09,0.00010304176119766898,7.064683274276392e-05,7.266791611969314e-05,47.0,1.0
2023-01-10,3.52472058593351e-05,5.8999170777417925e-05,6.209950135988834e-05,59.0,1.0
2023-01-11,3.0556935507524417e-05,4.0148609288892406e-05,4.2497960304294075e-05,59.0,1.0
2023-01-12,0.00011759959484081493,3.9905939188522565e-05,4.2073186426564475e-05,53.0,1.0
2023-01-13,4.7024477799496497e-05,4.339161578160524e-05,4.510440523214031e-05,55.0,1.0
2023-01-17,3.038861678483556e-05,3.2241293594746617e-05,3.369140613123635e-05,53.0,1.0
2023-01-18,0.0001097194942283005,3.098615112004957e-05,3.2889913811288876e-05,59.0,1.0
2023-01-19,4.6851506600653194e-05,4.9792438558271005e-05,5.2812810305346315e-05,62.0,1.0
2023-01-20,0.00010716425528453785,4.158992436701491e-05,4.289327501828518e-05,42.0,1.0
2023-01-23,0.0001135414208547562,4.874212236772518e-05,5.019426323151704e-05,45.0,1.0
2023-01-24,3.440058823722673e-05,4.946824965810832e-05,5.1429714669612245e-05,53.0,1.0
2023-01-25,0.00011445375233949625,3.4753370502853845e-05,3.646374654620997e-05,56.0,1.0
2023-01-26,6.759818536138371e-05,4.396487824071027e-05,4.567569272779302e-05,54.0,1.0
2023-01-27,5.8020316152231785e-05,4.1092416576386436e-05,4.222741302726248e-05,47.0,1.0
2023-01-30,6.083300784241507e-05,3.651199083958149e-05,3.819179860876659e-05,57.0,1.0
2023-01-31,3.400684337729236e-05,4.356839672203403e-05,4.619107422056709e-05,61.0,1.0
2023-02-01,0.00031241186352273695,3.715670827910449e-05,3.8437019863643396e-05,45.0,1.0
2023-02-02,7.712118528496216e-05,5.147449445639448e-05,5.271563988671552e-05,53.0,1.0
2023-02-03,9.953540857213025e-05,4.3658321586673795e-05,4.555549780230594e-05,57.0,1.0
2023-02-06,3.0309753852429212e-05,4.4669696301814996e-05,4.617109029992899e-05,54.0,1.0
2023-02-07,0.00014346571431402523,3.6878886484260905e-05,3.9069163074668035e-05,61.0,1.0
2023-02-08,4.825664184307305e-05,5.204222570352791e-05,5.373102849082215e-05,55.0,1.0
2023-02-09,0.00010536626873424075,4.1864504975638105e-05,4.442229801514349e-05,61.0,1.0
2023-02-10,2.4474204234124787e-05,5.4078629246959266e-05,5.7778362762496496e-05,65.0,1.0
2023-02-13,2.768008227559616e-05,3.612476313796519e-05,3.8380164485529325e-05,55.0,1.0
2023-02-14,0.00012166573470642269,3.813759248280102e-05,3.981505478108662e-05,46.0,1.0
2023-02-15,3.216674600965516e-05,4.203160700178038e-05,4.472095881138844e-05,67.0,1.0
2023-02-16,6.690287121299787e-05,3.0225497012681793e-05,3.16668962461666e-05,53.0,1.0
2023-02-17,3.299017991866728e-05,4.3540128963413475e-05,4.6558537709030734e-05,63.0,1.0
2023-02-21,5.060444591641125e-05,3.557007494081633e-05,3.77164130845616e-05,56.0,1.0
2023-02-22,5.070422521822615e-05,5.5496675336631986e-05,5.9070969842019345e-05,55.0,1.0
2023-02-23,0.0001091225461640816,4.59828126161373e-05,4.771881020271215e-05,38.0,1.0
2023-02-24,3.939781589704847e-05,5.256510447911991e-05,5.5257265967094834e-05,56.0,1.0
2023-02-27,5.360642911267946e-05,4.524706380275101e-05,4.855843076407758e-05,63.0,1.0
2023-02-28,2.8659441851201116e-05,4.4450266420670156e-05,4.548988216321354e-05,34.0,1.0
2023-03-01,3.399318380619359e-05,3.7611102441605664e-05,3.909450797546216e-05,42.0,1.0
2023-03-02,6.421964544642582e-05,3.78543062173001e-05,4.0147478296627755e-05,56.0,1.0
2023-03-03,4.302199638684784e-05,3.925449883094956e-05,4.069841370892054e-05,46.0,1.0
2023-03-06,3.515018392378702e-05,3.4423944659825575e-05,3.155571815156536e-05,39.0,0.0
2023-03-07,6.329192179876644e-05,3.0266776305498398e-05,3.115929268653959e-05,41.0,1.0
2023-03-08,3.0020799322366164e-05,4.181079276524298e-05,4.351593159405362e-05,50.0,1.0
2023-03-09,0.0002172104598955307,3.1911340881994114e-05,2.9524646046085746e-05,31.0,0.0
2023-03-10,0.00019251177075411022,7.303119685741386e-05,6.76801505439689e-05,32.0,0.0
2023-03-13,0.00028609792941429875,8.808597499452584e-05,8.932151582189429e-05,32.0,1.0
2023-03-14,0.00013066228234623708,0.00010979572059629204,0.00011449440710771354,55.0,1.0
2023-03-15,8.22162410393371e-05,8.660207157586661e-05,8.860118508634698e-05,43.0,1.0
2023-03-16,0.00012073958904459714,9.234099725304075e-05,9.688077874707149e-05,58.0,1.0
2023-03-17,8.537766182236886e-05,8.254697843781362e-05,8.526590903372398e-05,53.0,1.0
2023-03-20,3.2965548507453725e-05,8.643046617048223e-05,8.057712530021333e-05,34.0,0.0
2023-03-21,3.962227402516956e-05,5.8199768472745924e-05,6.113860219345628e-05,47.0,1.0
2023-03-22,0.0002357234326841391,4.7225555517329805e-05,4.881485226482698e-05,40.0,1.0
2023-03-23,0.00024721278644079987,7.78203450539542e-05,7.976566359215733e-05,41.0,1.0
