date,spy_open,spy_high,spy_low,spy_close,spy_adj_close,vix_close
2020-01-02,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,296.125244140625,12.470000267028809
2020-01-03,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,293.8829040527344,14.020000457763672
2020-01-06,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,295.004150390625,13.850000381469727
2020-01-07,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,294.17462158203125,13.789999961853027
2020-01-08,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,295.7424011230469,13.449999809265137
2020-01-09,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,297.7477722167969,12.539999961853027
2020-01-10,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,296.8909912109375,12.5600004196167
2020-01-13,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,298.9327697753906,12.319999694824219
2020-01-14,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,298.4768981933594,12.390000343322754
2020-01-15,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,299.1515197753906,12.420000076293945
2020-01-16,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,301.6399841308594,12.319999694824219
2020-01-17,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,302.5788879394531,12.100000381469727
2020-01-21,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,301.9863586425781,12.850000381469727
2020-01-22,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,302.0228271484375,12.90999984741211
2020-01-23,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,302.36920166015625,12.979999542236328
2020-01-24,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,299.68023681640625,14.5600004196167
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,294.8764953613281,18.229999542236328
2020-01-28,325.05999755859375,327.8500061035156,323.6000061035156,326.8900146484375,297.96649169921875,16.280000686645508
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,297.7204895019531,16.389999389648438
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,298.68670654296875,15.489999771118164
2020-01-31,327.0,327.1700134277344,320.7300109863281,321.7300109863281,293.26312255859375,18.84000015258789
2020-02-03,323.3500061035156,326.1600036621094,323.2200012207031,324.1199951171875,295.44158935546875,17.969999313354492
2020-02-04,328.07000732421875,330.010009765625,327.7200012207031,329.05999755859375,299.94451904296875,16.049999237060547
2020-02-05,332.2699890136719,333.0899963378906,330.6700134277344,332.8599853515625,303.40838623046875,15.149999618530273
2020-02-06,333.9100036621094,334.19000244140625,332.79998779296875,333.9800109863281,304.42919921875,14.960000038146973
2020-02-07,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,302.80670166015625,15.470000267028809
2020-02-10,331.2300109863281,334.75,331.19000244140625,334.67999267578125,305.0672912597656,15.039999961853027
2020-02-11,336.1600036621094,337.0199890136719,334.67999267578125,335.260009765625,305.5959777832031,15.180000305175781
2020-02-12,336.8299865722656,337.6499938964844,336.42999267578125,337.4200134277344,307.5649108886719,13.739999771118164
2020-02-13,335.8599853515625,338.1199951171875,335.55999755859375,337.05999755859375,307.2367248535156,14.149999618530273
2020-02-14,337.510009765625,337.7300109863281,336.20001220703125,337.6000061035156,307.72894287109375,13.680000305175781
2020-02-18,336.510009765625,337.6700134277344,335.2099914550781,336.7300109863281,306.93597412109375,14.829999923706055
2020-02-19,337.7900085449219,339.0799865722656,337.4800109863281,338.3399963378906,308.4034423828125,14.380000114440918
2020-02-20,337.739990234375,338.6400146484375,333.67999267578125,336.95001220703125,307.1363830566406,15.5600004196167
2020-02-21,335.4700012207031,335.80999755859375,332.5799865722656,333.4800109863281,303.97344970703125,17.079999923706055
2020-02-24,323.1400146484375,333.55999755859375,321.239990234375,322.4200134277344,293.8920593261719,25.030000686645508
2020-02-25,323.94000244140625,324.6099853515625,311.69000244140625,312.6499938964844,284.9864501953125,27.850000381469727
2020-02-26,314.17999267578125,318.1099853515625,310.70001220703125,311.5,283.93829345703125,27.559999465942383
2020-02-27,305.4599914550781,311.55999755859375,297.510009765625,297.510009765625,271.1861267089844,39.15999984741211
2020-02-28,288.70001220703125,297.8900146484375,285.5400085449219,296.260009765625,270.0466613769531,40.11000061035156
2020-03-02,298.2099914550781,309.1600036621094,294.4599914550781,309.0899963378906,281.74151611328125,33.41999816894531
2020-03-03,309.5,313.8399963378906,297.57000732421875,300.239990234375,273.6745910644531,36.81999969482422
2020-03-04,306.1199951171875,313.1000061035156,303.3299865722656,312.8599853515625,285.1778869628906,31.989999771118164
2020-03-05,304.9800109863281,308.4700012207031,300.010009765625,302.4599914550781,275.69805908203125,39.619998931884766
2020-03-06,293.1499938964844,298.7799987792969,290.2300109863281,297.4599914550781,271.14056396484375,41.939998626708984
2020-03-09,275.29998779296875,284.19000244140625,273.45001220703125,274.2300109863281,249.96592712402344,54.459999084472656
2020-03-10,284.6400146484375,288.5199890136719,273.5,288.4200134277344,262.900390625,47.29999923706055
2020-03-11,280.70001220703125,281.94000244140625,270.8800048828125,274.3599853515625,250.0844268798828,53.900001525878906
2020-03-12,256.0,266.6600036621094,247.67999267578125,248.11000061035156,226.1570587158203,75.47000122070312
2020-03-13,263.0899963378906,271.4800109863281,248.52000427246094,269.32000732421875,245.4904327392578,57.83000183105469
2020-03-16,241.17999267578125,256.8999938964844,237.36000061035156,239.85000610351562,218.62794494628906,82.69000244140625
2020-03-17,245.0399932861328,256.1700134277344,237.07000732421875,252.8000030517578,230.43206787109375,75.91000366210938
2020-03-18,236.25,248.3699951171875,228.02000427246094,240.0,218.76466369628906,76.44999694824219
2020-03-19,239.25,247.3800048828125,232.22000122070312,240.50999450683594,219.22950744628906,72.0
2020-03-20,242.52999877929688,244.47000122070312,228.5,228.8000030517578,209.781982421875,66.04000091552734
2020-03-23,228.19000244140625,229.67999267578125,218.25999450683594,222.9499969482422,204.41822814941406,61.59000015258789
2020-03-24,234.4199981689453,244.10000610351562,233.8000030517578,243.14999389648438,222.93919372558594,61.66999816894531
2020-03-25,244.8699951171875,256.3500061035156,239.75,246.7899932861328,226.27662658691406,63.95000076293945
2020-03-26,249.52000427246094,262.79998779296875,249.0500030517578,261.20001220703125,239.48890686035156,61.0
2020-03-27,253.27000427246094,260.80999755859375,251.0500030517578,253.4199981689453,232.35556030273438,65.54000091552734
2020-03-30,255.6999969482422,262.42999267578125,253.52999877929688,261.6499938964844,239.90145874023438,57.08000183105469
2020-03-31,260.55999755859375,263.3299865722656,256.2200012207031,257.75,236.3256378173828,53.540000915527344
2020-04-01,247.97999572753906,257.6600036621094,243.89999389648438,246.14999389648438,225.6898651123047,57.060001373291016
2020-04-02,245.19000244140625,252.67999267578125,244.58999633789062,251.8300018310547,230.8977508544922,50.90999984741211
