date,spy_open,spy_high,spy_low,spy_close,spy_adj_close,vix_close,log_ret,rv_parkinson,rv_garman_klass_raw,rv_garman_klass,range_variance_proxy,squared_return,log_rv,log_rv_lag1,log_rv_week_lag1,log_rv_month_lag1,log_vix_var_lag1,abs_ret_lag1,aqi_lag1,pm25_defining_lag1,aqi_pm25_lag1,high_aqi_150_lag1,high_aqi_p90_lag1,high_aqi_p95_lag1,consec_p90_lag1,aqi_lag1_per10,aqi_pm25_lag1_per10
2020-02-04,328.07000732421875,330.010009765625,327.7200012207031,329.05999755859375,299.94451904296875,16.049999237060547,0.015126370878244299,1.7488676231389386e-05,2.0737433241732445e-05,2.0737433241732445e-05,4.848890648605313e-05,0.0002288070959461972,-10.78357012165808,-10.156833695356724,-10.034157940490132,-10.865744247638274,-8.962362134317987,0.007400914911353332,57.0,1.0,57.0,0.0,0.0,0.0,0.0,5.7,5.7
2020-02-05,332.2699890136719,333.0899963378906,330.6700134277344,332.8599853515625,303.40838623046875,15.149999618530272,0.01148218634125851,1.917700663904209e-05,2.536917045362792e-05,2.536917045362792e-05,5.316995233372551e-05,0.00013184060317538349,-10.581975882813257,-10.78357012165808,-10.285725680581134,-10.864268997854127,-9.188351855405896,0.015126370878244299,66.0,1.0,66.0,0.0,1.0,0.0,0.0,6.6,6.6
2020-02-06,333.9100036621094,334.19000244140625,332.79998779296875,333.9800109863281,304.42919921875,14.960000038146973,0.0033588378620689552,6.2657911900921434e-06,8.669254210928e-06,8.669254210928e-06,1.7372461989558855e-05,1.128179178366795e-05,-11.65572779037252,-10.581975882813257,-10.136401593616092,-10.863986166126004,-9.30376844593589,0.01148218634125851,31.0,1.0,31.0,0.0,0.0,0.0,0.0,3.1,3.1
2020-02-07,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,302.80670166015625,15.470000267028809,-0.005343891615782624,1.8601789892933285e-05,2.4444526443172287e-05,2.4444526443172287e-05,5.157511287062077e-05,2.8557177601231818e-05,-10.619104234460346,-11.65572779037252,-10.486608000698933,-10.896684387420335,-9.329009509295082,0.0033588378620689552,43.0,1.0,43.0,0.0,0.0,0.0,0.0,4.3,4.3
2020-02-10,331.2300109863281,334.75,331.19000244140625,334.67999267578125,305.0672912597656,15.039999961853027,0.007437725736594092,4.12298739181137e-05,1.5681527938679252e-05,1.5681527938679252e-05,0.00011431348344473013,5.531976413279413e-05,-11.063027102720644,-10.619104234460346,-10.759442344932186,-10.844724908525954,-9.26196409579551,0.005343891615782624,55.0,1.0,55.0,0.0,0.0,0.0,0.0,5.5,5.5
2020-02-11,336.1600036621094,337.0199890136719,334.67999267578125,335.260009765625,305.5959777832031,15.18000030517578,0.0017315161475361795,1.750885456368442e-05,2.1496106849249452e-05,2.1496106849249452e-05,4.854485270260795e-05,2.9981481691785324e-06,-10.747638716006131,-11.063027102720644,-10.94068102640497,-10.88447361128499,-9.318342827516954,0.007437725736594092,52.0,1.0,52.0,0.0,0.0,0.0,0.0,5.2,5.2
2020-02-12,336.8299865722656,337.6499938964844,336.42999267578125,337.4200134277344,307.5649108886719,13.739999771118164,0.006422261789036387,4.72577620827509e-06,5.3680567826296975e-06,5.3680567826296975e-06,1.3102633818892589e-05,4.124544648691685e-05,-12.135044580364681,-10.747638716006131,-10.93349474527458,-10.82656432029002,-9.299811875345027,0.0017315161475361795,48.0,1.0,48.0,0.0,0.0,0.0,0.0,4.8,4.8
2020-02-13,335.8599853515625,338.1199951171875,335.55999755859375,337.05999755859375,307.2367248535156,14.149999618530272,-0.0010676161130651223,2.083293807113709e-05,2.3966713494944493e-05,2.3966713494944493e-05,5.776116914715447e-05,1.13980416487628e-06,-10.63884462801531,-12.135044580364681,-11.244108484784865,-10.873074167449632,-9.499146919215333,0.006422261789036387,52.0,1.0,52.0,0.0,0.0,0.0,0.0,5.2,5.2
2020-02-14,337.510009765625,337.7300109863281,336.20001220703125,337.6000061035156,307.72894287109375,13.68000030517578,0.0016007987064081133,7.4358152559342324e-06,1.028077012502602e-05,1.028077012502602e-05,2.0616457519261765e-05,2.5625564984378887e-06,-11.485235385857436,-10.63884462801531,-11.040731852313423,-10.836350322753376,-9.440340265227096,0.0010676161130651223,45.0,1.0,45.0,0.0,0.0,0.0,0.0,4.5,4.5
2020-02-18,336.510009765625,337.6700134277344,335.2099914550781,336.7300109863281,306.93597412109375,14.829999923706056,-0.0025801673985141175,1.928329010504751e-05,2.656731452102183e-05,2.656731452102183e-05,5.3464632672932695e-05,6.657263804355109e-06,-10.535828875147782,-11.485235385857436,-11.21395808259284,-10.852752173335661,-9.507899590482456,0.0016007987064081133,53.0,1.0,53.0,0.0,0.0,0.0,0.0,5.3,5.3
