,date,session_type,r,x
0,2017-05-16,0,0.001195933967536278,2.762176895257209e-06
1,2017-05-16,1,-0.001794437726050252,6.221205599023437e-06
2,2017-05-17,0,-0.0028978286578806344,1.234388918147196e-05
3,2017-05-17,1,0.0007002451143935023,1.0091851566574607e-05
4,2017-05-18,0,-0.009747351454880074,1.4065457583950026e-05
5,2017-05-18,1,0.004835307093859504,1.8804480817577063e-05
6,2017-05-19,0,0.0017069134120722815,1.3093107542475615e-05
7,2017-05-19,1,-0.003618094399177154,7.053512404575322e-06
8,2017-05-22,0,0.0033170860188379233,3.232642640516945e-06
9,2017-05-22,1,0.0010030091111691661,5.238542021051831e-06
10,2017-05-23,0,0.0009018488511448012,2.0590259697963873e-06
11,2017-05-23,1,0.0010011012949414973,9.376839014307457e-06
12,2017-05-24,0,0.0012999351863057598,1.939321163710754e-06
13,2017-05-24,1,0.0012982475483997251,5.613302590872871e-06
14,2017-05-25,0,0.002193201955794962,1.2823183701062081e-06
15,2017-05-25,1,0.006451955480011823,6.67635098824561e-06
16,2017-05-26,0,0.002273065168066554,3.415493257871811e-06
17,2017-05-26,1,-0.0036592040038696174,1.2759453071070234e-05
18,2017-05-31,0,-0.0007929428505472981,2.9959605680973723e-06
19,2017-05-31,1,-0.005368873504826958,1.3275438920030362e-05
20,2017-06-01,0,-9.969592750391895e-05,5.806483701128531e-06
21,2017-06-01,1,0.003880794959633676,8.774207548387496e-06
22,2017-06-02,0,0.004360327986555456,4.083827075563193e-06
23,2017-06-02,1,0.002173054983930025,6.410515084008256e-06
24,2017-06-03,0,0.00118331539298253,2.9858770399711244e-06
25,2017-06-03,1,0.0009850276604181864,1.9330911949718367e-06
26,2017-06-05,0,-0.0008864812203286076,7.858489539952974e-07
27,2017-06-05,1,0.00511107855318986,1.7858579217099008e-05
28,2017-06-06,0,-0.0003922337763563644,2.564365054047347e-06
29,2017-06-06,1,-0.0010794368350999048,4.783233249734075e-06
30,2017-06-07,0,-0.0004910385563924552,2.758636053815911e-06
31,2017-06-07,1,0.0011780877074307446,1.658555991641957e-05
32,2017-06-08,0,0.0011767014497575208,2.608084542322139e-06
33,2017-06-08,1,0.0006857702938360352,5.774983637421047e-06
34,2017-06-09,0,0.0018590093901341535,2.6425934362064116e-06
35,2017-06-09,1,-0.0037214811337275334,7.4056151304953325e-06
36,2017-06-12,0,-0.006200502125147395,1.9046456988528037e-05
37,2017-06-12,1,-0.0008889328453405744,1.1582011844375002e-05
38,2017-06-13,0,0.00029639875729511205,1.3582942472753672e-05
39,2017-06-13,1,0.001382033783648022,5.3716004005516905e-06
40,2017-06-14,0,0.0023647661034817196,2.2276718048305243e-06
41,2017-06-14,1,-0.009492803411989563,3.055872323975341e-05
42,2017-06-15,0,-0.001391927049152057,8.647584357684901e-06
43,2017-06-15,1,0.002186444917941196,1.828296531249121e-05
44,2017-06-16,0,0.0004962532978621941,7.302260402723043e-06
45,2017-06-16,1,0.0067247088860919015,9.416201251220137e-06
46,2017-06-19,0,0.001772526313419502,5.5445918630933134e-06
47,2017-06-19,1,0.007351893134761934,1.0250061883916162e-05
48,2017-06-20,0,0.003607120654957524,2.8374574249301896e-06
49,2017-06-20,1,0.004466460478898289,1.7866526738940796e-05
50,2017-06-21,0,-0.004758445492408758,1.1062774079611653e-05
51,2017-06-21,1,0.009301491342014377,2.1124972228313877e-05
52,2017-06-22,0,-0.01662896294317706,0.00035563819394835973
53,2017-06-22,1,0.0032307042638388636,1.9745835801970773e-05
54,2017-06-23,0,-0.000977899549863762,4.103357723988254e-06
55,2017-06-23,1,-0.0005871990773538649,1.0004178722053352e-05
56,2017-06-26,0,-0.0007834688482240335,6.258345935546531e-06
57,2017-06-26,1,0.016903452789747062,7.42759182797961e-05
58,2017-06-27,0,0.000866592900027742,8.605280492205937e-06
59,2017-06-27,1,-0.0021196655012171153,2.6282789348908146e-05
60,2017-06-28,0,-0.00628902464698789,8.120847150393357e-06
61,2017-06-28,1,-0.004084814082858903,2.6192385019142297e-05
62,2017-06-29,0,0.006217837967024413,1.1404441942712018e-05
63,2017-06-29,1,-0.0027155481724826388,2.3433312553458732e-05
64,2017-06-30,0,-0.007506005899055419,2.2197941622925334e-05
65,2017-06-30,1,0.003126223726266256,1.4264535297134489e-05
66,2017-07-03,0,0.0007800312407988958,1.5351405687447184e-05
67,2017-07-03,1,0.0028225236510496525,2.63067207461113e-05
68,2017-07-04,0,0.00135975156925776,5.622972144455906e-06
69,2017-07-04,1,-0.008382115353644401,2.7339358109689154e-05
70,2017-07-05,0,-0.00019577133970117468,2.392893755759657e-06
71,2017-07-05,1,0.008383749631970866,3.3612256009943946e-05
72,2017-07-06,0,0.0021334375818967827,8.45322105479482e-06
73,2017-07-06,1,-0.005439547166625305,3.3850263712493347e-05
74,2017-07-07,0,-0.0040991663879622765,8.978001304616765e-06
75,2017-07-07,1,-0.0021539072356973883,1.92974586224083e-05
76,2017-07-10,0,0.002251701964639298,6.200200749761316e-06
77,2017-07-10,1,-0.0015658644812333142,1.8366099358678013e-05
78,2017-07-11,0,0.002152432099967402,5.436623463050399e-06
79,2017-07-11,1,0.010693209697488241,1.87326952733518e-05
80,2017-07-12,0,0.00038669760729357917,7.952704307608418e-06
81,2017-07-12,1,-0.0006768189767673282,1.896261728726037e-05
82,2017-07-13,0,0.005209350001728514,6.697628882734939e-06
83,2017-07-13,1,0.0025945337189362252,2.576971732538945e-05
84,2017-07-14,0,0.0,1.2203195716671312e-05
85,2017-07-14,1,-0.0016328102364626573,7.522904799888374e-06
86,2017-07-17,0,0.005273009677180616,5.05804962422871e-06
87,2017-07-17,1,-0.0021058684914569124,1.9827714013791585e-05
88,2017-07-18,0,-0.0008627714670259784,2.600973832817258e-06
89,2017-07-18,1,0.0033510491409631683,8.313970629796482e-06
90,2017-07-19,0,0.0016236095443852869,4.602950895016695e-06
91,2017-07-19,1,0.0020020026706729687,1.150552592255703e-05
92,2017-07-20,0,-0.008512317670861889,0.00011875096003976085
93,2017-07-20,1,-0.0020191343814798084,7.639928555444458e-06
94,2017-07-21,0,-0.0011556241655881075,3.6809114413898762e-06
95,2017-07-21,1,-0.004732707921051526,1.1898908199310089e-05
96,2017-07-24,0,-0.002811577788906316,5.604998243897243e-06
97,2017-07-24,1,0.006001373157006514,1.2992420941850241e-05
98,2017-07-25,0,0.0010610080570945472,4.720535953162076e-06
99,2017-07-25,1,-0.0009645062476105926,1.555716990750944e-05
100,2017-07-26,0,0.0022169752200468682,3.0112098592641544e-06
101,2017-07-26,1,-0.005503272397630792,2.6111473768329087e-05
102,2017-07-27,0,0.0034792728632464147,3.549521796947778e-06
103,2017-07-27,1,0.00797582664633233,1.5921866064998514e-05
104,2017-07-28,0,-0.005085651224098992,2.0133093929390987e-05
105,2017-07-28,1,-0.005305052229693229,1.633493853735213e-05
