date,Symbol,short_volume,short_exempt_volume,offex_total_volume
2023-01-03,AFRM,3193735.0,30869.0,6300728.0
2023-01-04,AFRM,3819209.0,73261.0,7598762.0
2023-01-05,AFRM,2399729.0,27088.0,4901222.0
2023-01-06,AFRM,2513782.0,51013.0,5643012.0
2023-01-09,AFRM,2704522.0,66088.0,6050302.0
2023-01-10,AFRM,2895345.0,31563.0,5893079.0
2023-01-11,AFRM,4310304.0,61331.0,11516527.0
2023-01-12,AFRM,4081714.0,108273.0,9937077.0
2023-01-13,AFRM,4959756.0,63875.0,9312106.0
2023-01-17,AFRM,4263201.0,91176.0,7386268.0
2023-01-18,AFRM,6220697.0,91370.0,10938642.0
2023-01-19,AFRM,5125727.0,86216.0,9806897.0
2023-01-20,AFRM,5021501.0,175826.0,11203851.0
2023-01-23,AFRM,7485878.0,127853.0,13890531.0
2023-01-24,AFRM,6728695.0,142006.0,10559792.0
2023-01-25,AFRM,7531914.0,261246.0,11568440.0
2023-01-26,AFRM,5383379.0,352009.0,8382989.0
2023-01-27,AFRM,7581384.0,173252.0,12418185.0
2023-01-30,AFRM,4858932.0,80917.0,7628256.0
2023-01-31,AFRM,5657832.0,90557.0,9487584.0
2023-02-01,AFRM,6214549.0,154218.0,10862440.0
2023-02-02,AFRM,11744115.0,208962.0,19135370.0
2023-02-03,AFRM,9518203.0,590777.0,14762288.0
2023-02-06,AFRM,5878104.0,211921.0,8724493.0
2023-02-07,AFRM,7798369.0,104171.0,12551725.0
2023-02-08,AFRM,6540697.0,67183.0,11060737.0
2023-02-09,AFRM,17009956.0,610362.0,29132768.0
2023-02-10,AFRM,6813748.0,309645.0,10076138.0
2023-02-13,AFRM,6398565.0,262989.0,9720231.0
2023-02-14,AFRM,5743598.0,184736.0,10010390.0
2023-02-15,AFRM,8291535.0,133920.0,13696597.0
2023-02-16,AFRM,5833667.0,67031.0,8604945.0
2023-02-17,AFRM,5441773.0,65687.0,7575247.0
