asset,date,actual_r2,return,open_to_next_open_return,garch,garch_x_vix,gjr,gjr_x_vix,har_r2,har_r2_x_vix
n225,2020-01-06,0.00037176630528172166,-0.019281242316866454,1.541075052280405e-05,6.594516456337191e-05,9.297084355959773e-05,6.465018102560038e-05,9.658629905794063e-05,0.00025691988288024985,0.00028694476947468213
n225,2020-01-07,0.00025140278316042016,0.01585568614599886,-0.004400874010596856,0.0001149335617139728,0.0001381077089315479,0.00016503371667406968,0.00020369809217648326,0.0004094771012718103,0.0003321590697158682
n225,2020-01-08,0.0002515389263832168,-0.015859978763643312,0.013472551295052648,0.00013718993214095014,0.00013507238024641598,0.00014166037005368214,0.00013518835187604502,0.00046190734738810023,0.00034591707774836585
n225,2020-01-09,0.0005197696432318159,0.022798457036207864,0.012026636545914737,0.00015525189399585203,0.00013131680327078618,0.00019365562146983755,0.00017973770536293263,0.0005166946536507452,0.000340854119253098
n225,2020-01-10,2.1643453744873237e-05,0.004652252545259472,0.006540878460424393,0.0002087952884431558,0.0001594741854809375,0.00016490704176541922,0.00012074490119357095,0.0006327504031351563,0.0003109732158070293
n225,2020-01-14,5.320094832349606e-05,0.007293898019817391,-0.0019007267513396764,0.0001799574199773142,9.85497922912941e-05,0.00014155748486709084,8.76034035173634e-05,0.0005801333303087023,0.00029342397498131315
n225,2020-01-15,2.0521642961379005e-05,-0.004530082003824987,0.0015348414729188242,0.00016115665540809805,8.464513271122794e-05,0.00012259300686665302,7.421480007131931e-05,0.0005697801047585373,0.0002938752824651058
n225,2020-01-16,4.785621935038956e-07,0.0006917818973519729,0.005978664813767409,0.00014117627290912603,7.614206744736928e-05,0.0001129808645777301,7.442562881524708e-05,0.0005329751772375933,0.0002896182578796435
n225,2020-01-17,2.0320114378661397e-05,0.004507783754647221,-0.0009446586272096047,0.00012207225485713147,7.003579658583911e-05,9.938311516874055e-05,6.746455523807355e-05,0.00045584779667684656,0.00027318248774411394
n225,2020-01-20,3.0830198126181158e-06,0.0017558530156644991,-0.0003267823303627626,0.00010946311729179625,6.921494276709733e-05,8.833904179959193e-05,6.348328711861755e-05,0.0003605762621066182,0.00023316029646129022
n225,2020-01-21,8.340854807979163e-05,-0.009132828043918906,-0.009858438092963273,9.674157991339236e-05,6.661265504567907e-05,7.936906059796002e-05,6.154904111617966e-05,0.0003333069053810966,0.0002286461620347378
n225,2020-01-22,4.850670522204675e-05,0.006964675528841724,0.00033645337986110135,9.80783926641227e-05,8.250195283455502e-05,9.56198110355974e-05,9.139232977084564e-05,0.00033083253719562417,0.0002575761162624734
n225,2020-01-23,9.73235322722107e-05,-0.009865268991376297,0.0002771980746529845,9.410028527955994e-05,8.310476673865569e-05,8.528249135828315e-05,7.885859534231114e-05,0.00034343588167238116,0.0002653127169239601
n225,2020-01-24,1.7768625114810488e-06,0.001332990064284445,-0.017703003809352746,9.795530094002967e-05,9.05009293445114e-05,0.00010434921038429394,0.00010399312658943753,0.0003919495531702198,0.0002821332448178368
n225,2020-01-27,0.00042057567064822203,-0.020507941648254757,-0.012846678452049343,8.722329039836261e-05,9.309620865864562e-05,9.237249750384918e-05,9.426052921854978e-05,0.0003484813964004144,0.0003645584478470526
n225,2020-01-28,3.013731174594854e-05,-0.005489746054777811,0.00788650406537017,0.00013926156322194362,0.00018789607125102548,0.00020132273134887733,0.00025101688592214696,0.0005372552423250803,0.0007234935763746657
n225,2020-01-29,4.9365580984046055e-05,0.007026064402213095,-0.0010613880646589413,0.00012482148405480736,0.00014318556347738803,0.00017963838018926695,0.00017921195125871227,0.0004992406016476246,0.0005428812051466914
n225,2020-01-30,0.00030029261426224574,-0.017328953063074692,-0.0058261800640092565,0.00011590424330813688,0.00013315838353697074,0.00015352225767509498,0.00014040345631132585,0.0005107694254163059,0.0005553133954257308
n225,2020-01-31,9.700594768900846e-05,0.009849159745328961,-0.011864501305111186,0.00014506729142950748,0.00015548187615843667,0.0002170471066112792,0.0002111911592211973,0.000600358028999861,0.0005112999047339235
n225,2020-02-03,0.00010205179460710326,-0.010102068828071964,0.00029995834907969865,0.00013922585226429073,0.00016990784300423923,0.00018390557382725022,0.00017495758871503392,0.0006081642654446247,0.0008323344324702032
n225,2020-02-04,2.3930110962387773e-05,0.00489184126504405,0.02055579536871055,0.0001352222630113426,0.00016521010818024845,0.00018578495958297356,0.00018285919920834554,0.0005655447726784772,0.0007212757723726515
n225,2020-02-05,0.0001025607520066404,0.010127228248965281,0.012403026341772927,0.00012064678113338887,0.0001330816491881532,0.00015851450100534158,0.0001390487868592417,0.0005463359368349565,0.0005457512502898772
n225,2020-02-06,0.0005513246597408071,0.0234803036552087,0.01090939763849752,0.00012023487744327354,0.0001253074363689634,0.0001363654720533456,0.00011472490322599089,0.0005800792268845547,0.00048164693930036477
n225,2020-02-07,3.6568163153737985e-06,-0.0019122803966400426,-0.011181245823387864,0.00018498501299354532,0.00018233926223358812,0.00011837606119984629,0.00010887210009729724,0.0006654075743614186,0.0004884863160314393
n225,2020-02-10,3.572702003211731e-05,-0.005977208381185761,0.004630283162675886,0.0001580469287942474,0.00012997882470352663,0.0001047969639241443,0.00010388348383531629,0.000553347314356913,0.0005073064772007272
n225,2020-02-12,5.43292152999347e-05,0.00737083545467776,0.004572168977006186,0.0001408605900524795,0.00011552118528722834,0.00010281758401414225,0.00010978693707167389,0.000550874151899364,0.00047653760732714205
n225,2020-02-13,1.971550153380739e-06,-0.0014041189954490108,-0.0056705071960483355,0.00012962628357726037,0.0001008378130448786,9.112851267244059e-05,9.200261997617754e-05,0.0005066531391081168,0.0003601404600515719
n225,2020-02-14,3.4795516490910074e-05,-0.005898772456275125,-0.009476904395168018,0.00011292573654285181,9.269152880372036e-05,8.219099543690655e-05,8.696164274087448e-05,0.0004530858548686739,0.0003775592877425583
n225,2020-02-17,4.8474973416881494e-05,-0.0069623971027859,-0.0038829221518966728,0.0001041478167595616,9.064906347842958e-05,8.41941965804859e-05,9.209892520197902e-05,0.0003524895735413039,0.0003096986022368794
n225,2020-02-18,0.00019891839717003804,-0.014103843347472278,-0.002959165173352929,9.901588651665112e-05,9.188574787746943e-05,8.968125191805027e-05,9.861997498322649e-05,0.00037907138550855,0.00031810747542405953
n225,2020-02-19,7.886981286691574e-05,0.008880867799202719,0.014456051625598487,0.00011667441496271427,0.0001228311209190416,0.00013658983470822515,0.00015658719909443278,0.00046709768617564585,0.00041699957711974965
n225,2020-02-20,1.1201785524111142e-05,0.0033469068591927,-0.01009062340594502,0.00011357877541295709,0.00011195125338748375,0.00011855828823957602,0.00011660706590789316,0.0004692863852080913,0.0003899923316999226
n225,2020-02-21,1.5552018953615352e-05,-0.003943604817120416,-0.02042022779790742,0.00010125541616879343,0.00011021617808154203,0.0001039130909963234,0.00010684725259274826,0.00045108573140418813,0.0004704446626148722
n225,2020-02-25,0.0011546363243153405,-0.03397994002813043,-0.025065112339263784,9.189634754276517e-05,0.00022817094522446842,9.640673810331336e-05,0.00019744829317640137,0.0004432532213023661,0.0014764637436542017
n225,2020-02-26,6.335868903203362e-05,-0.007959817148153192,-0.005287825300552718,0.0002495103139036043,0.00046546973766973637,0.0004117359792925029,0.0006308098808080186,0.0007930126900401617,0.0023562450109610726
n225,2020-02-27,0.0004640977516618316,-0.021542928112534554,-0.03315177685622228,0.00021901316429125202,0.00038475456327046305,0.0003599101122416813,0.0004683550938371848,0.0007225432352504149,0.0022534006015682336
n225,2020-02-28,0.0013972259669563002,-0.037379485910808086,-0.031054019883961614,0.00025240954932790515,0.0006519398120781993,0.00043089743981999164,0.000706468272773814,0.000850566797252534,0.005576156095060857
n225,2020-03-02,8.963142814963984e-05,0.009467387609559452,0.038475265599584585,0.0004148136698643734,0.0008844176738074063,0.0007518626169322564,0.001120772432148939,0.00110199198777272,0.006521638963565718
n225,2020-03-03,0.0001517867699178661,-0.012320177349286254,-0.034860121746530415,0.00035682732568023895,0.0006267836776189523,0.0006182819957841572,0.0007433013976344134,0.0010439211232840758,0.004170319294844543
n225,2020-03-04,6.75134744309526e-07,0.0008216658349411432,0.02405441593455171,0.0003188348242410095,0.0006292691230845671,0.000552619067328328,0.0006841231047190782,0.0009914110892004207,0.005154209506747686
n225,2020-03-05,0.00011658222492405231,0.010797324896660854,-0.01822760488915809,0.0002661203897145026,0.0005074976366316796,0.0004564566588132723,0.0005330048790918577,0.0008398528410106215,0.003544009695382441
n225,2020-03-06,0.0007583985304313122,-0.027539036483350543,-0.031722825043148606,0.00024019717744787363,0.0006534292750808466,0.00037835368286842907,0.000597703122686844,0.0009177713158972909,0.005977385070701398
n225,2020-03-09,0.002701766615082784,-0.05197852070887343,-0.04268823011249767,0.0003122647778132535,0.0008438409297139637,0.0005289228389354819,0.0009076360412941845,0.0009387080060430441,0.006858392356150224
n225,2020-03-10,7.242661840104097e-05,0.008510382976167463,0.014550486884955305,0.0006525325532950385,0.0015375067537555572,0.0011995929393370998,0.0019366771536345141,0.0015092661439389695,0.015549948813991563
n225,2020-03-11,0.0005274129895294608,-0.022965473858151952,-0.035111897921646484,0.0005470398972339113,0.0011689307871677337,0.0009819279478828654,0.0013552985149291894,0.0013767411492049014,0.010889454526793943
n225,2020-03-12,0.0020350698710001856,-0.04511174870252965,-0.046213570311080976,0.0005275083355282132,0.0013224589918584037,0.0009539657132352275,0.0014279955610425877,0.0014795116152733782,0.015194181201332561
n225,2020-03-13,0.003935767379096695,-0.06273569461715311,-0.03285349836416729,0.00073032985981979,0.0024310836623304423,0.0013566842276913616,0.002588648612671564,0.00184834209972405,0.03733856444178334
n225,2020-03-16,0.0006209995113569184,-0.02491986178446659,-0.04885289135261339,0.0011704053383027712,0.0023099502873996213,0.0022201089413173163,0.0031356077375643567,0.0024135413161003668,0.02175862634135561
n225,2020-03-17,3.1139346768277384e-07,0.0005580264041089578,0.025535490888930923,0.0010464148766909504,0.002892250034679297,0.001986022782503709,0.003141841048938686,0.0022431865801925094,0.05092079880201221
n225,2020-03-18,0.000285406697346227,-0.01689398405783038,-0.009228740110457934,0.0008558833603248261,0.002656913422630847,0.0016206651849346165,0.00269663998525336,0.0018697980675568715,0.04032557021471895
n225,2020-03-19,0.00010899851018116941,-0.010440235159284939,-0.02501794449308048,0.0007427754688529929,0.0026486353597115083,0.0014044580783554163,0.002615118623396974,0.0022021808538122997,0.04199880406706977
n225,2020-03-23,0.0004013272159669199,0.020033152921268282,0.03840003903758227,0.0006254996897474064,0.002167091900837678,0.0011790762437471304,0.0021770815247790505,0.002022210483774988,0.028643772349986257
n225,2020-03-24,0.004747063048508966,0.06889893358034627,0.0720595401344597,0.0005728259164765172,0.001884648301459366,0.0009652643159410742,0.0018271354333083203,0.0016425501629181829,0.022115366908236726
n225,2020-03-25,0.005977417735260002,0.07731376161628667,0.04271574021664071,0.0011603860079276195,0.002393236821897044,0.0007916065622301488,0.0017366926291219255,0.0026164719407019256,0.02635254275282217
n225,2020-03-26,0.002132063791630611,-0.04617427629785453,-0.011063237736187781,0.0018151318214746702,0.0028052258921379887,0.0006505619734957018,0.0017812127432255559,0.003479790129488922,0.03227257036467499
n225,2020-03-27,0.0014515639287688974,0.038099395385870594,-0.00724953227913161,0.0017882140559464879,0.0022946634738248753,0.001137629793846547,0.00230823214537454,0.0036417570400353624,0.02951582455303665
n225,2020-03-30,0.00025049092145492015,-0.015826904986601775,0.01577149805081257,0.0016677004417869259,0.0022210740794842312,0.0009316015663326594,0.0020148200440538127,0.003697371242568451,0.035427194840070286
n225,2020-03-31,7.813934500957778e-05,-0.008839646203869123,-0.025846305105531098,0.0013958144615548384,0.001716536281574506,0.0008349490495048141,0.0017060050003224142,0.003551533771828042,0.02520706462211584
n225,2020-04-01,0.0021217480201077246,-0.04606243610695948,-0.04022767986723097,0.0011504129086789734,0.0014177645121745527,0.0007078139794119703,0.0014274770919056703,0.0031795639803054985,0.02080395096290412
n225,2020-04-02,0.00018904708090708685,-0.013749439294279853,0.000948986993955625,0.001247860878048618,0.0017238769119059,0.0011812188982244045,0.002044368156250422,0.0031616081940901023,0.023755486627017684
n225,2020-04-03,6.793708703365176e-09,8.242395709601169e-05,-0.005205667155217086,0.0010465586392556152,0.0013508872548086313,0.0010203497297962575,0.001543229558847535,0.002771033469129186,0.017356543244936826
n225,2020-04-06,0.0017267817291885367,0.04155456327755758,0.05716595917159362,0.0008559557260525082,0.0010872328770260339,0.000836346859604975,0.0011746302538414612,0.0019895781693701187,0.013212221722327043
n225,2020-04-07,0.0003970772355407646,0.019926796921250656,0.008946535766279684,0.0009518761668368716,0.0011975095879993617,0.000686899981492705,0.0010057271080390845,0.0030049022001138468,0.013288133913190331
n225,2020-04-08,0.0004429528789751024,0.02104644575635284,0.01723248499633878,0.0008367879599498149,0.0010913243950558698,0.0005655194326225396,0.0009472158745245416,0.002958899863253135,0.014394455523427116
n225,2020-04-09,1.49067598292075e-07,-0.0003860927327625774,0.006403298539430224,0.0007501445636225554,0.0009723967837326348,0.0004669343177635027,0.0008520826115313776,0.0026875138627318186,0.011561094610382688
n225,2020-04-10,6.183892323196897e-05,0.007863772837001903,-0.009642593436161473,0.0006156870859745852,0.0008316473310008771,0.0003869056868326712,0.0007720491175165335,0.002089907998750792,0.009971565782924137
n225,2020-04-13,0.0005577595796789101,-0.023616934171879933,-0.008374997623325164,0.0005156354404169146,0.0007967698095611216,0.00032186447907845886,0.0007385021712309676,0.002421588997208387,0.01018902835308314
n225,2020-04-14,0.0009478475548960487,0.030787132943748574,0.022921270206877065,0.0005064513387138131,0.0008409453861428912,0.00042642624798590784,0.0008896787693045641,0.0022739856739201433,0.009526178201541668
n225,2020-04-15,2.0501482645051247e-05,-0.00452785629686403,-0.014188864747246566,0.0005555805097059711,0.0008251586872700923,0.00035396302449493185,0.0007278813756814909,0.0024020300688273946,0.007862481649788682
