market,ticker,converged,theta0,alpha,gamma,beta,persistence,theta_eav_noVIX,theta_eav_noVIX_se,theta_eav_noVIX_t,loglik_noVIX,theta_vix_full,theta_eav,theta_eav_full_se,theta_eav_full_t,loglik_full,LR_stat,LR_p,n_obs,n_events,sigma2_sample,analyst_count,market_cap,median_daily_turnover
TW,2330.TW,True,0.00027728091573813514,0.04611449916535258,0.056296499829981375,0.8831447010414476,0.9574074501217908,-2.5120189449688926e-06,4.994730040393236e-05,-0.05029338772373613,10765.173249219153,3.4466629465400036e-07,-2.532313647301927e-06,6.465572750986798e-05,-0.039166114818141,10788.026861884033,45.70722532975924,1.3731571435471324e-11,3911,60,0.00025985349967299064,33.0,51605722365952.0,5083485395.53833
TW,2303.TW,True,0.00042119092985496245,0.07573062166743448,0.01192893271568618,0.8950690785883217,0.9767641666135993,0.0008180377865761065,0.000219430097814409,3.7280108550468394,10189.97715251311,4.624740982981924e-07,0.0013684129895576,0.0005608282696491,2.4399857560921836,10203.791536928124,27.628768830029003,1.4697644235006635e-07,3911,60,0.00036545948205307264,20.0,756548173824.0,489784974.01189804
TW,6239.TW,True,0.00039562484955052657,0.06314859651080117,0.03236720580459988,0.8800937384448265,0.9594259378579276,-0.00010015497250883983,5.3078336905210106e-05,-1.8869274801827625,10086.434161687737,9.775206553709487e-08,-0.0001071132599356,5.274445619339652e-05,-2.0307965550515403,10088.035328789418,3.202334203360806,0.07353325060086568,3911,60,0.0003762484492164116,8.0,161427144704.0,184921716.66378403
TW,2454.TW,True,0.0005320625175819506,0.01972419887492647,0.04758784504706367,0.9285519632419728,0.9720700846404311,-5.183708013908867e-05,8.799613085515492e-05,-0.5890836294201904,9403.658001563228,5.297766241925819e-07,-4.313797318374628e-05,8.451852595900254e-05,-0.5103966579430319,9424.073704439888,40.83140575332072,1.6594470242381476e-10,3911,59,0.0005094605269575156,24.0,2585698500608.0,1908644049.6425018
TW,2379.TW,True,0.0004973658138803062,0.04783636094430102,0.015086059923257032,0.9048313976985228,0.9602107886044524,-5.752401523344969e-05,7.885776220801064e-05,-0.7294654783851602,9464.27192903938,6.595828599919444e-07,-0.000166193828707,5.987449690362057e-05,-2.7757031340839498,9482.719868693956,36.895879309151496,1.2460903420219438e-09,3911,60,0.00048803182415695654,16.0,270643806208.0,306153705.9650421
TW,3034.TW,True,0.0005084682188625639,0.029211922815555076,0.016952834191833313,0.9541403761287577,0.9918287160402294,0.0010756839137332408,0.0002840354821588916,3.7871462591828404,9599.365389874913,3.230831503900029e-07,0.0010108346439917,0.0002718965340143,3.7177180196723993,9599.586447717287,0.44211568474929663,0.5061030681556906,3911,60,0.00047342042582531674,18.0,240057991168.0,343262805.8129883
TW,3035.TW,True,0.0008276690223526728,0.04739656984849027,0.017097359304371666,0.9270183981551118,0.9829636476557879,0.002382052742540256,0.0005701809923317268,4.177713348175585,8570.333711283974,7.348938077777756e-07,0.0027834514942197,0.00065546816961,4.246509019462646,8579.70458769218,18.741752816411463,1.4966923200354643e-05,3911,60,0.0008562467058674519,7.0,38821998592.0,188723899.32849503
TW,3443.TW,True,0.0008797573848551463,0.028476868316222956,0.011734067544057581,0.9618818135940305,0.9962257156822822,0.0005887907146409748,0.000260352460492727,2.2615139243418936,8547.468960447168,8.069247700654275e-07,0.0004340210789627,0.0002176668614083,1.9939694823294736,8577.808567476084,60.67921405783272,6.772360450213455e-15,3911,60,0.0008722185926539888,16.0,371880525824.0,355540489.06256866
TW,2388.TW,True,0.001139050885442971,0.16081286444392404,0.030038410960756524,0.7128357711116896,0.888667841035992,-5.4520442903937294e-05,0.00018981760647339324,-0.28722542611756846,8012.37316558383,6.832927394128143e-07,-0.0001047920872915,0.0001962474807769,-0.5339792739081052,8004.733014932744,-15.28030130217303,1.0,3911,60,0.0011474129039160802,,30790764544.0,70226069.69035244
TW,2881.TW,True,0.00024177674482624733,0.07693036957798613,0.04827229621196591,0.8701873376852206,0.9712538553691897,7.326191762480579e-05,5.588397370615246e-05,1.3109647143209526,11314.685661603617,2.500282449450813e-07,3.5018420861855365e-05,4.053228422834147e-05,0.8639636657183354,11336.362983569308,43.35464393138318,4.5665138337369626e-11,3911,60,0.00021744049903159288,10.0,1214438440960.0,544284354.1551824
