month_end,low1_ticker,high1_ticker,low1_minus_high1_excess_return,low2_minus_high2_excess_return,high1_minus_low1_rv,high2_minus_low2_rv,high1_max_lag1,low1_max_lag1
2013-06-30,USMV,SIZE,0.01249087458519835,0.014876575486072803,-0.001474912908769832,0.006558542004498791,0.03050117389568796,0.009479104821919604
2013-07-31,USMV,VLUE,-0.012197237712273108,-0.0016989230789574948,0.014881919758046841,0.015651517738830473,0.02207313330440308,0.014058683263989735
2013-08-31,USMV,SIZE,0.0004661321242522762,0.0029469679408048385,0.02857134104730287,0.006883263317611868,0.019020022198969144,0.015337971527392469
2013-09-30,USMV,VLUE,-0.001990232566221904,-0.0048395448697589865,0.032470140577837855,0.0158290028464141,0.012630548787381235,0.007106740908463749
2013-10-31,MTUM,VLUE,0.007992195141019953,0.003923313562460774,-0.029688232004727116,-0.018851758533465338,0.017557327877003148,0.012052834137346702
2013-11-30,QUAL,SIZE,0.030547417336085667,0.005618138431844191,-0.000533324927030579,0.004936139960740979,0.022859960245633193,0.01444635422543561
2013-12-31,USMV,VLUE,-0.008768334476252885,-0.0035705261471355876,0.0016661468718122824,0.007531576722974248,0.01327441365739701,0.007736135245526743
2014-01-31,VLUE,USMV,-0.0053608876025229985,0.008905923200443389,0.006590679304687402,0.01313352433916154,0.01738146665423579,0.009922878108117539
2014-02-28,VLUE,MTUM,-0.026088746396759753,-0.016948148698318677,0.06435621736386021,0.03523414407722751,0.021938194735541927,0.006407965625166545
2014-03-31,USMV,MTUM,0.04321925379167637,0.024306650514461292,0.05506299373884349,0.02400305911833106,0.021316993286502273,0.012595036229932077
2014-04-30,SIZE,MTUM,0.014205688563485223,0.01000231900263197,0.11786442851345892,0.08204501167898093,0.02030944022342629,0.012276556805609795
2014-05-31,USMV,MTUM,-0.02843881895950239,-0.017882020888077686,0.05645262463669336,0.019617033628258063,0.021352205838329308,0.009794994246064448
2014-06-30,USMV,MTUM,-0.0081422306641613,-0.006253504395536525,0.017750072175819448,0.011404259936978946,0.016588262416566968,0.006068924520688634
2014-07-31,QUAL,SIZE,0.010519295473626457,0.003332406857011954,-0.029207674333630362,0.006104114390739893,0.012309164598524935,0.0061950288840415535
2014-08-31,VLUE,MTUM,-0.016406042893619445,-0.012480996089725027,0.0027034119343308932,0.004299431427900471,0.014713006456875677,0.006303162095689263
