month_end,ticker,n_days,monthly_log_return,monthly_simple_return,monthly_rv_ann,max_daily_return,avg_top5_daily_return,min_daily_return,spy_monthly_log_return,monthly_excess_vs_spy,max_daily_return_lag1,avg_top5_daily_return_lag1,monthly_log_return_lag1,monthly_rv_ann_lag1,max_daily_return_lag1_z,avg_top5_daily_return_lag1_z,monthly_log_return_lag1_z,monthly_rv_ann_lag1_z
2013-06-30,MTUM,20,-0.008320634330797693,-0.008286113663930728,0.17772867913516377,0.016747943463870207,0.011610098259877822,-0.03238850346878097,-0.01343453901855714,0.005113904687759447,0.011339962076658106,0.006781013482427678,0.003081736280078339,0.09479109539447549,-0.8613371297841306,-0.9187231388419772,-0.3808433780731408,-1.125668133609115
2013-07-31,MTUM,22,0.05804446635048605,0.05976211841638168,0.08046214125644029,0.0184376730517557,0.009680531091977107,-0.0039018230667733356,0.05038617764358458,0.007658288706901474,0.016747943463870207,0.011610098259877822,-0.008320634330797693,0.17772867913516377,-0.4846670847615173,0.3807382284437568,0.6523342199851819,0.29569575886284616
2013-08-31,MTUM,22,-0.0362854038756952,-0.03563497931145909,0.10239275623276964,0.008450026541729105,0.006213311486732831,-0.017231813022764886,-0.030451570448687272,-0.005833833427007926,0.0184376730517557,0.009680531091977107,0.05804446635048605,0.08046214125644029,0.7721807644653013,0.012998681219875493,1.2955085370080694,-0.3453005921530219
2013-09-30,MTUM,20,0.02968262394145201,0.030127544247114724,0.08248986999668996,0.012052834137346702,0.007774935739565869,-0.0067197477078976275,0.03115589351770797,-0.0014732695762559624,0.008450026541729105,0.006213311486732831,-0.0362854038756952,0.10239275623276964,-0.826789481025122,0.09239039148800927,-1.0070630045846451,-0.13855124636250343
2013-10-31,MTUM,23,0.054184485839433354,0.055679342080744654,0.13169477725366743,0.01849399436785215,0.014204004986613183,-0.012989336765397486,0.045266892224325596,0.008917593615107758,0.012052834137346702,0.007774935739565869,0.02968262394145201,0.08248986999668996,-1.4623266855783144,-0.8238315210839565,-0.08139509021095646,-0.8895918783656304
2013-11-30,MTUM,20,0.03098513603852173,0.03147017203967373,0.07788015413153437,0.010600949385808578,0.007981001277300637,-0.009852121810453474,0.029206861945868454,0.0017782740926532772,0.01849399436785215,0.014204004986613183,0.054184485839433354,0.13169477725366743,-0.013402519191755431,1.7865672878541803,1.9560602805426517,1.817533624004969
2013-12-31,MTUM,21,0.026423478792083885,0.02677567414062132,0.09629830540894511,0.013545853244925077,0.008349513604645375,-0.014004671367204624,0.025596331886625783,0.0008271469054581017,0.010600949385808578,0.007981001277300637,0.03098513603852173,0.07788015413153437,-0.10254373940226764,0.8278999722547474,0.47909829037898644,-0.20833249392554629
2014-01-31,MTUM,21,-0.02342753264863415,-0.023155238543494328,0.18136672686097047,0.021938194735541927,0.012865789609444267,-0.024929329834243896,-0.0358845711361031,0.012457038487468947,0.013545853244925077,0.008349513604645375,0.026423478792083885,0.09629830540894511,0.019665986044532943,0.4577453515923442,1.2424681440631062,0.36208328196968104
2014-02-28,MTUM,19,0.06502855867689805,0.06718950146915947,0.160684238953581,0.021316993286502273,0.013509934762491849,-0.026773565566464264,0.044510264930475704,0.020518293746422347,0.021938194735541927,0.012865789609444267,-0.02342753264863415,0.18136672686097047,1.9019783596100932,1.8904746219504756,0.8556770079155229,1.9219308996022888
2014-03-31,MTUM,21,-0.03478570900495609,-0.03418764102477534,0.14099555812575015,0.02030944022342629,0.010253311493131578,-0.014499671558663496,0.00826154068306097,-0.043047249688017056,0.021316993286502273,0.013509934762491849,0.06502855867689805,0.160684238953581,1.4518712040704758,1.7173320456813757,1.8940543697767012,1.6191517620241567
2014-04-30,MTUM,21,-0.009993619746351637,-0.00994384946161675,0.20777818355847866,0.021352205838329308,0.01292202619810796,-0.030695131964022515,0.006927531791446582,-0.016921151537798218,0.02030944022342629,0.010253311493131578,-0.03478570900495609,0.14099555812575015,1.6689664924619085,1.2541085630933764,-1.8267157570804886,1.7510399572960833
2014-05-31,MTUM,21,0.039870540321746174,0.04067603988595625,0.12205934428736791,0.016588262416566968,0.010985965996571733,-0.014588818063654752,0.022941006295827546,0.016929534025918628,0.021352205838329308,0.01292202619810796,-0.009993619746351637,0.20777818355847866,1.7766140292099772,1.7242026505026156,-1.8591520820106455,1.7458389957520108
2014-06-30,MTUM,21,0.020508247230506926,0.020719986321490858,0.065032536162585,0.009593912060630982,0.006242635220069204,-0.008447652827810903,0.020434544011149507,7.3703219357419e-05,0.016588262416566968,0.010985965996571733,0.039870540321746174,0.12205934428736791,1.3636702059767802,1.822165450969585,1.7856844083910168,1.806109772813141
2014-07-31,MTUM,22,-0.010488034660917562,-0.010433227000954615,0.1270905383297427,0.014713006456875677,0.008312866840079591,-0.021569042558566953,-0.013528744978682157,0.0030407103177645944,0.009593912060630982,0.006242635220069204,0.020508247230506926,0.065032536162585,0.317214501247854,1.1567959890119672,0.4602399263018812,1.0663440857780417
2014-08-31,MTUM,21,0.04497952167580872,0.04600643923041914,0.08222619038085932,0.010843221453480822,0.00811934158487504,-0.011253932332121241,0.038704772190817964,0.006274749484990759,0.014713006456875677,0.008312866840079591,-0.010488034660917562,0.1270905383297427,1.3881436008131156,1.1182407504688459,0.3100356833239258,1.4687689413121574
2014-09-30,MTUM,21,-0.006681306341736995,-0.006659036040359001,0.10562670338530743,0.011087336477251242,0.0083107672203242,-0.013571249174751499,-0.01389199745075642,0.0072106911090194245,0.010843221453480822,0.00811934158487504,0.04497952167580872,0.08222619038085932,-0.9768543856231521,0.9084679260439552,1.2091870424250326,1.327470987892479
2014-10-31,MTUM,23,0.022709149625783583,0.022968965368145522,0.22094430841314222,0.024919178820573373,0.0184181080455041,-0.023769218890869137,0.023277610472452824,-0.0005684608466692415,0.011087336477251242,0.0083107672203242,-0.006681306341736995,0.10562670338530743,1.0870537142003902,1.132674535094501,0.9383420440415295,1.2744336626254065
