Date,EEM,EWY,EWZ,FXY,JPY=X,TLT,^MOVE,^VIX
2015-06-01,31.90389633178711,46.27781295776367,18.719112396240234,77.80999755859375,124.19300079345703,89.06376647949219,83.55000305175781,13.970000267028809
2015-06-02,32.028507232666016,46.140357971191406,19.352876663208008,78.26000213623047,124.84700012207031,87.82111358642578,87.5,14.239999771118164
2015-06-03,31.864938735961914,45.84123229980469,19.168508529663086,78.18000030517578,124.03600311279297,86.40941619873047,91.80999755859375,13.65999984741211
2015-06-04,31.38202667236328,45.52591323852539,18.8919620513916,78.11000061035156,124.30400085449219,87.53443145751953,92.20999908447266,14.710000038146973
2015-06-05,31.241819381713867,45.14592361450195,18.851625442504883,77.29000091552734,124.37999725341797,86.46824645996094,88.9000015258789,14.210000038146973
2015-06-08,31.23403549194336,45.17826843261719,19.041757583618164,78.08999633789062,125.62899780273438,86.37263488769531,87.5999984741211,15.289999961853027
2015-06-09,31.047094345092773,45.048912048339844,19.110897064208984,78.12000274658203,124.56300354003906,85.68883514404297,87.19999694824219,14.470000267028809
2015-06-10,31.49884605407715,45.469322204589844,19.37592124938965,79.23999786376953,124.33899688720703,84.93887329101562,89.80000305175781,13.220000267028809
2015-06-11,31.343074798583984,45.25910949707031,19.387441635131836,78.72000122070312,122.86599731445312,86.7255630493164,87.80000305175781,12.850000381469727
2015-06-12,31.343074798583984,44.79827117919922,19.220361709594727,78.70999908447266,123.58100128173828,86.7255630493164,87.69999694824219,13.779999732971191
2015-06-15,30.99256706237793,44.579978942871094,19.064804077148438,78.69999694824219,123.29000091552734,86.86527252197266,86.0,15.390000343322754
2015-06-16,31.00035858154297,44.28892517089844,19.485389709472656,78.69999694824219,123.41999816894531,87.549072265625,85.69999694824219,14.8100004196167
2015-06-17,31.187299728393555,44.676998138427734,19.54300880432129,78.68000030517578,123.43900299072266,86.8726577758789,82.4000015258789,14.5
2015-06-18,31.475486755371094,45.113582611083984,19.89445686340332,79.02999877929688,123.52999877929688,86.4461898803711,82.5999984741211,13.1899995803833
2015-06-19,31.20287322998047,45.0246467590332,19.473865509033203,79.16999816894531,123.00199890136719,87.556396484375,84.69999694824219,13.960000038146973
2015-06-22,31.654640197753906,45.614845275878906,19.640953063964844,78.70999908447266,122.7509994506836,85.76969909667969,84.4000015258789,12.739999771118164
2015-06-23,31.966201782226562,45.93015670776367,19.65823745727539,78.38999938964844,123.37899780273438,85.25498962402344,84.19999694824219,12.109999656677246
2015-06-24,31.74032211303711,45.53399658203125,19.496915817260742,78.41999816894531,123.86000061035156,85.99027252197266,82.69999694824219,13.260000228881836
2015-06-25,31.631248474121094,45.33995819091797,19.127857208251953,78.58000183105469,123.85099792480469,85.68883514404297,83.31999969482422,14.010000228881836
2015-06-26,31.33305549621582,45.097415924072266,19.409488677978516,78.41999816894531,123.5979995727539,84.72565460205078,84.30000305175781,14.020000457763672
2015-06-29,30.634679794311523,44.35361099243164,19.080909729003906,79.29000091552734,122.61199951171875,86.96820068359375,89.80000305175781,18.850000381469727
2015-06-30,31.08980369567871,44.555728912353516,19.22760581970215,79.3499984741211,122.66999816894531,86.36530303955078,92.30000305175781,18.229999542236328
2015-07-01,31.066261291503906,45.04082489013672,18.928356170654297,78.8499984741211,122.38600158691406,85.19951629638672,90.30000305175781,16.09000015258789
2015-07-02,31.215351104736328,45.08932876586914,19.350814819335938,78.91000366210938,123.31999969482422,85.47957611083984,88.0,16.790000915527344
2015-07-03,,,,,123.05899810791016,,,
