event_date,recipient,event_type,primary_ticker,test_ticker,is_primary_recipient,pre_mean,post_mean,ratio,n_pre,n_post,pre_start,pre_end,post_start,post_end,boot_p_value,boot_n_anchors,boot_null_dist_mean,boot_null_dist_p95,boot_null_dist_p99
2024-02-19,GlobalFoundries,award,GFS,AMAT,False,0.0005636561312375898,0.0007167936614609287,1.2716860896857505,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.306,507,1.475871919018412,4.554474439142292,14.895415934070996
2024-02-19,GlobalFoundries,award,GFS,AMD,False,0.0010535689016312859,0.00228367464052122,2.1675607897929683,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.135,507,1.492179103001601,4.720047300203009,17.44015259758808
2024-02-19,GlobalFoundries,award,GFS,ASML,False,0.0005531735814277933,0.0005740319912758589,1.037706807679116,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.357,507,1.342820008759868,5.386693809064132,8.648681470100378
2024-02-19,GlobalFoundries,award,GFS,GFS,True,0.0007262391116224796,0.0003855328973113046,0.530862206594728,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.558,507,1.4361106915498971,5.8316169515656835,15.439733649128762
2024-02-19,GlobalFoundries,award,GFS,KLAC,False,0.0005986901387728655,0.0006679978431377919,1.1157655686579144,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.34,507,1.2874225264979935,5.0462966107978335,7.547893756050153
2024-02-19,GlobalFoundries,award,GFS,LRCX,False,0.0004930837984997714,0.0005194906415975094,1.0535544732519746,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.413,507,1.3018930441402794,4.379969968740845,7.880922517810635
2024-02-19,GlobalFoundries,award,GFS,NVDA,False,0.0006929609007836851,0.004790061091537487,6.912455069427869,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.026,507,1.343783812315362,4.12421244419008,12.743393161049129
2024-02-19,GlobalFoundries,award,GFS,SMH,False,0.00029267465567002786,0.0009042697864765357,3.089675750728627,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.062,507,1.2049151662760327,3.4178223722468304,8.656251085586366
2024-02-19,GlobalFoundries,award,GFS,SOXX,False,0.00027636567075718313,0.0005069198463124349,1.8342359415465113,25,5,2024-01-05,2024-02-09,2024-02-21,2024-02-27,0.191,507,1.5264943909962867,5.590021000334064,11.478575243685675
2024-03-20,Intel,award,INTC,AMAT,False,0.0009054544220363686,0.00019152062986631913,0.2115187967557648,25,5,2024-02-06,2024-03-12,2024-03-21,2024-03-27,0.879,507,1.2189537970929407,3.9792607926171555,11.203715946496226
2024-03-20,Intel,award,INTC,AMD,False,0.0012739772455458629,4.13707876670146e-05,0.03247372573698394,25,5,2024-02-06,2024-03-12,2024-03-21,2024-03-27,0.996,507,1.5575821827434033,4.824713905697313,16.779778611205337
2024-03-20,Intel,award,INTC,ASML,False,0.0006566334287923475,0.00012025964151372761,0.18314578003575613,25,5,2024-02-06,2024-03-12,2024-03-21,2024-03-27,0.9,507,1.351488078212839,5.184503399478996,7.558720872601255
