Date,KRE
2010-01-04,15.798855781555176
2010-01-05,15.436938285827637
2010-01-06,15.55526351928711
2010-01-07,16.105085372924805
2010-01-08,16.404367446899414
2010-01-11,16.1538028717041
2010-01-12,16.04244613647461
2010-01-13,16.188608169555664
2010-01-14,16.682756423950195
2010-01-15,16.480926513671875
2010-01-19,16.85675048828125
2010-01-20,16.828914642333984
2010-01-21,17.350910186767578
2010-01-22,16.947229385375977
2010-01-25,16.814992904663086
2010-01-26,16.794126510620117
2010-01-27,17.32306480407715
2010-01-28,17.10034942626953
2010-01-29,16.752357482910156
2010-02-01,16.710594177246094
2010-02-02,16.5992431640625
2010-02-03,16.272125244140625
2010-02-04,15.875412940979004
2010-02-05,16.08422088623047
2010-02-08,15.903258323669434
2010-02-09,16.056367874145508
2010-02-10,16.24428939819336
2010-02-11,16.188608169555664
2010-02-12,16.24428939819336
2010-02-16,16.606204986572266
2010-02-17,16.508758544921875
2010-02-18,16.668846130371094
2010-02-19,16.731481552124023
2010-02-22,17.0585880279541
2010-02-23,16.926361083984375
2010-02-24,17.33002471923828
2010-02-25,17.22563362121582
2010-02-26,17.072505950927734
2010-03-01,16.96811294555664
2010-03-02,17.065553665161133
2010-03-03,17.037708282470703
2010-03-04,17.0585880279541
2010-03-05,17.517932891845703
2010-03-08,17.44833755493164
2010-03-09,17.44833755493164
2010-03-10,17.74066162109375
2010-03-11,17.977294921875
2010-03-12,17.88681411743164
2010-03-15,17.90073585510254
2010-03-16,18.151290893554688
2010-03-17,18.450565338134766
2010-03-18,18.38096809387207
2010-03-19,18.44379425048828
2010-03-22,18.688125610351562
2010-03-23,18.716053009033203
2010-03-24,18.534543991088867
2010-03-25,18.576425552368164
2010-03-26,18.38096809387207
2010-03-29,18.29718589782715
2010-03-30,18.311153411865234
2010-03-31,18.30417251586914
2010-04-01,18.3460636138916
2010-04-05,18.56246566772461
2010-04-06,19.19774055480957
2010-04-07,18.988309860229492
2010-04-08,19.13490867614746
2010-04-09,19.225664138793945
2010-04-12,19.42113494873047
2010-04-13,19.183773040771484
2010-04-14,19.770185470581055
2010-04-15,19.826030731201172
2010-04-16,19.26058006286621
2010-04-19,19.358301162719727
2010-04-20,19.672447204589844
2010-04-21,20.077335357666016
2010-04-22,20.649784088134766
2010-04-23,20.733552932739258
2010-04-26,19.97262191772461
2010-04-27,19.546791076660156
2010-04-28,19.6096248626709
2010-04-29,20.09130859375
2010-04-30,19.49094009399414
