Date,DHI
2010-01-04,9.328272819519043
2010-01-05,9.662618637084961
2010-01-06,9.746204376220703
2010-01-07,10.256084442138672
2010-01-08,10.17249870300293
2010-01-11,10.231009483337402
2010-01-12,10.2059326171875
2010-01-13,10.381463050842285
2010-01-14,10.239365577697754
2010-01-15,10.147420883178711
2010-01-19,10.306238174438477
2010-01-20,10.139062881469727
2010-01-21,9.654257774353027
2010-01-22,9.361710548400879
2010-01-25,9.503807067871094
2010-01-26,9.436934471130371
2010-01-27,9.754566192626953
2010-01-28,9.854866981506348
2010-01-29,9.854866981506348
2010-02-01,9.955174446105957
2010-02-02,11.041801452636719
2010-02-03,11.075234413146973
2010-02-04,11.041801452636719
2010-02-05,10.590435981750488
2010-02-08,10.799399375915527
2010-02-09,10.8495454788208
2010-02-10,10.740888595581055
2010-02-11,10.999100685119629
2010-02-12,10.95718002319336
2010-02-16,11.082935333251953
2010-02-17,10.999100685119629
2010-02-18,10.714057922363281
2010-02-19,10.856579780578613
2010-02-22,10.831428527832031
2010-02-23,10.538007736206055
2010-02-24,10.345187187194824
2010-02-25,10.3535737991333
2010-02-26,10.361955642700195
2010-03-01,10.529624938964844
2010-03-02,10.454171180725098
2010-03-03,10.538007736206055
2010-03-04,10.470938682556152
2010-03-05,10.789511680603027
2010-03-08,10.86496353149414
2010-03-09,10.973941802978516
2010-03-10,10.90688419342041
2010-03-11,10.86496353149414
2010-03-12,10.89849853515625
2010-03-15,10.764364242553711
2010-03-16,10.923645973205566
2010-03-17,10.806278228759766
2010-03-18,10.697298049926758
2010-03-19,10.487710952758789
2010-03-22,10.688909530639648
2010-03-23,10.697298049926758
2010-03-24,10.772743225097656
2010-03-25,10.873343467712402
2010-03-26,11.00748062133789
2010-03-29,10.923645973205566
2010-03-30,10.730825424194336
2010-03-31,10.563159942626953
2010-04-01,10.487710952758789
2010-04-05,10.554777145385742
2010-04-06,10.49609088897705
2010-04-07,10.001466751098633
2010-04-08,10.06853199005127
2010-04-09,10.177519798278809
2010-04-12,10.085301399230957
2010-04-13,10.21104907989502
2010-04-14,10.605074882507324
2010-04-15,10.563159942626953
2010-04-16,10.370335578918457
2010-04-19,10.345187187194824
2010-04-20,10.697298049926758
2010-04-21,10.88172721862793
2010-04-22,11.476956367492676
2010-04-23,11.879358291625977
2010-04-26,11.63624382019043
2010-04-27,11.242219924926758
2010-04-28,11.418274879455566
2010-04-29,11.938041687011719
2010-04-30,12.315298080444336
2010-05-03,12.550034523010254
2010-05-04,12.264999389648438
2010-05-05,11.85421085357666
2010-05-06,11.443421363830566
2010-05-07,10.948798179626465
2010-05-10,11.686541557312012
2010-05-11,11.602707862854004
2010-05-12,11.802780151367188
2010-05-13,11.315204620361328
2010-05-14,11.020976066589355
2010-05-17,11.180697441101074
2010-05-18,10.945317268371582
2010-05-19,10.651091575622559
2010-05-20,10.205540657043457
2010-05-21,10.306419372558594
2010-05-24,10.138285636901855
2010-05-25,10.171916007995605
2010-05-26,10.096253395080566
2010-05-27,10.37367057800293
2010-05-28,10.247574806213379
2010-06-01,9.894498825073242
2010-06-02,10.197134017944336
2010-06-03,9.902904510498047
2010-06-04,9.5330171585083
2010-06-07,9.154723167419434
2010-06-08,9.112693786621094
2010-06-09,8.860494613647461
2010-06-10,9.499385833740234
2010-06-11,9.465765953063965
2010-06-14,9.306041717529297
2010-06-15,9.575054168701172
2010-06-16,9.44895076751709
2010-06-17,9.196752548217773
2010-06-18,9.037031173706055
2010-06-21,8.860494613647461
2010-06-22,8.591485977172852
2010-06-23,8.801647186279297
2010-06-24,8.894121170043945
2010-06-25,8.801647186279297
2010-06-28,8.709176063537598
2010-06-29,8.372912406921387
2010-06-30,8.263628005981445
2010-07-01,8.280440330505371
2010-07-02,8.162751197814941
2010-07-06,8.230003356933594
2010-07-07,8.574671745300293
2010-07-08,8.23840618133545
2010-07-09,8.616705894470215
2010-07-12,8.490605354309082
2010-07-13,8.76801872253418
2010-07-14,8.692361831665039
2010-07-15,8.92774486541748
2010-07-16,8.490605354309082
2010-07-19,8.381321907043457
2010-07-20,8.734393119812012
2010-07-21,8.574671745300293
2010-07-22,8.868903160095215
2010-07-23,9.121099472045898
2010-07-26,9.390110969543457
2010-07-27,9.314447402954102
2010-07-28,8.944557189941406
2010-07-29,9.146315574645996
2010-07-30,9.264006614685059
2010-08-02,9.457355499267578
2010-08-03,8.910933494567871
2010-08-04,8.810053825378418
2010-08-05,8.759613990783691
2010-08-06,8.910933494567871
2010-08-09,9.29763412475586
2010-08-10,9.104284286499023
2010-08-11,8.860494613647461
2010-08-12,8.614134788513184
2010-08-13,8.639447212219238
2010-08-16,8.588825225830078
2010-08-17,8.83349609375
2010-08-18,8.96004867553711
2010-08-19,8.79974365234375
2010-08-20,8.66475772857666
2010-08-23,8.420083999633789
2010-08-24,8.411648750305176
2010-08-25,8.79974365234375
2010-08-26,8.580385208129883
2010-08-27,8.83349609375
2010-08-30,8.681631088256836
2010-08-31,8.656319618225098
2010-09-01,9.035979270935059
2010-09-02,9.263777732849121
2010-09-03,9.457834243774414
2010-09-07,9.238466262817383
2010-09-08,9.21316146850586
2010-09-09,9.263777732849121
2010-09-10,9.331275939941406
2010-09-13,9.466268539428711
2010-09-14,9.356588363647461
2010-09-15,9.263777732849121
2010-09-16,8.94317626953125
2010-09-17,8.951614379882812
2010-09-20,9.322836875915527
2010-09-21,9.263777732849121
2010-09-22,9.187849044799805
2010-09-23,8.96004867553711
2010-09-24,9.21316146850586
2010-09-27,9.314403533935547
2010-09-28,9.500014305114746
2010-09-29,9.398770332336426
2010-09-30,9.381897926330566
2010-10-01,9.348152160644531
2010-10-04,9.263777732849121
2010-10-05,9.145666122436523
