Date,UWMC
2020-05-01,6.333357334136963
2020-05-04,6.644197463989258
2020-05-05,6.605340957641602
2020-05-06,6.605340957641602
2020-05-07,6.47582483291626
2020-05-08,6.47582483291626
2020-05-11,6.47582483291626
2020-05-12,6.47582483291626
2020-05-13,6.508204460144043
2020-05-14,6.449920654296875
2020-05-15,6.449920654296875
2020-05-18,6.449920654296875
2020-05-19,6.508204460144043
2020-05-20,6.508204460144043
2020-05-21,6.508204460144043
2020-05-22,6.508204460144043
2020-05-26,6.508204460144043
2020-05-27,6.508204460144043
2020-05-28,6.506261348724365
2020-05-29,6.464817047119141
2020-06-01,6.501728057861328
2020-06-02,6.501728057861328
2020-06-03,6.508204460144043
2020-06-04,6.489423751831055
2020-06-05,6.443445205688477
2020-06-08,6.443445205688477
2020-06-09,6.5049662590026855
2020-06-10,6.508204460144043
2020-06-11,6.47582483291626
2020-06-12,6.501728057861328
2020-06-15,6.501728057861328
2020-06-16,6.47582483291626
2020-06-17,6.540585041046143
2020-06-18,6.47582483291626
2020-06-19,6.47582483291626
2020-06-22,6.49266242980957
2020-06-23,6.488777160644531
2020-06-24,6.5341081619262695
2020-06-25,6.624767780303955
2020-06-26,6.631245136260986
2020-06-29,6.501728057861328
2020-06-30,6.56648588180542
2020-07-01,6.605340957641602
2020-07-02,6.605340957641602
2020-07-06,6.605340957641602
2020-07-07,6.605340957641602
2020-07-08,6.605340957641602
2020-07-09,6.605340957641602
2020-07-10,6.702479362487793
2020-07-13,6.767238140106201
2020-07-14,6.831995010375977
2020-07-15,6.721907615661621
2020-07-16,6.851421356201172
2020-07-17,6.799615859985352
2020-07-20,6.708953857421875
2020-07-21,6.864374160766602
2020-07-22,6.851421356201172
2020-07-23,6.95503568649292
2020-07-24,6.831995010375977
2020-07-27,6.838471412658691
2020-07-28,6.838471412658691
2020-07-29,6.793140411376953
2020-07-30,6.734859466552734
2020-07-31,6.644197463989258
2020-08-03,6.702479362487793
2020-08-04,6.793140411376953
2020-08-05,6.78018856048584
2020-08-06,6.799615859985352
2020-08-07,6.844945907592773
2020-08-10,6.922657012939453
2020-08-11,6.9841766357421875
2020-08-12,7.015262126922607
2020-08-13,6.851421356201172
2020-08-14,6.857898235321045
2020-08-17,6.857898235321045
2020-08-18,6.71543025970459
2020-08-19,6.702479362487793
2020-08-20,6.773712158203125
2020-08-21,6.728382587432861
2020-08-24,6.799615859985352
2020-08-25,6.799615859985352
2020-08-26,6.799615859985352
2020-08-27,6.78018856048584
2020-08-28,6.942083835601807
2020-08-31,6.825519561767578
2020-09-01,6.799615859985352
2020-09-02,7.045697212219238
2020-09-03,6.806093692779541
2020-09-04,6.864374160766602
2020-09-08,6.961512088775635
2020-09-09,6.993889808654785
2020-09-10,6.980938911437988
2020-09-11,6.993889808654785
2020-09-14,6.993889808654785
2020-09-15,6.922657012939453
2020-09-16,6.967988014221191
2020-09-17,7.026270866394043
2020-09-18,7.123408317565918
2020-09-21,7.0845513343811035
2020-09-22,7.000367641448975
2020-09-23,6.767238140106201
2020-09-24,6.605340957641602
2020-09-25,6.702479362487793
2020-09-28,6.773712158203125
2020-09-29,6.767238140106201
2020-09-30,6.67657470703125
2020-10-01,6.585911750793457
2020-10-02,6.56001091003418
2020-10-05,6.495253562927246
2020-10-06,6.508204460144043
2020-10-07,6.469348907470703
2020-10-08,6.469348907470703
2020-10-09,6.462872505187988
2020-10-12,6.469348907470703
2020-10-13,6.47582483291626
2020-10-14,6.47582483291626
2020-10-15,6.479063034057617
2020-10-16,6.482301235198975
2020-10-19,6.495253562927246
2020-10-20,6.495253562927246
2020-10-21,6.462872505187988
2020-10-22,6.443445205688477
2020-10-23,6.430493354797363
2020-10-26,6.43696928024292
2020-10-27,6.43696928024292
2020-10-28,6.417542457580566
2020-10-29,6.411066055297852
2020-10-30,6.443445205688477
2020-11-02,6.424018383026123
2020-11-03,6.430493354797363
2020-11-04,6.430493354797363
2020-11-05,6.443445205688477
2020-11-06,6.424018383026123
2020-11-09,6.430493354797363
2020-11-10,6.430493354797363
2020-11-11,6.449920654296875
2020-11-12,6.462872505187988
2020-11-13,6.469348907470703
2020-11-16,6.469348907470703
2020-11-17,6.469348907470703
2020-11-18,6.47582483291626
2020-11-19,6.488777160644531
2020-11-20,6.514679431915283
2020-11-23,6.495253562927246
2020-11-24,6.495253562927246
2020-11-25,6.501728057861328
2020-11-27,6.56001091003418
2020-11-30,6.579437732696533
2020-12-01,6.553534984588623
2020-12-02,6.508204460144043
2020-12-03,6.592390060424805
2020-12-04,6.683051109313965
2020-12-07,6.864374160766602
2020-12-08,6.831995010375977
2020-12-09,7.071601390838623
2020-12-10,7.382441520690918
2020-12-11,7.265875339508057
2020-12-14,7.2464470863342285
2020-12-15,7.05217170715332
2020-12-16,6.935608863830566
2020-12-17,6.942083835601807
2020-12-18,6.942083835601807
2020-12-21,7.110457420349121
2020-12-22,7.2075910568237305
2020-12-23,7.842221736907959
2020-12-24,8.256677627563477
2020-12-28,8.943116188049316
2020-12-29,8.522183418273926
2020-12-30,8.470379829406738
2020-12-31,8.50275993347168
2021-01-04,8.386191368103027
2021-01-05,8.178966522216797
2021-01-06,7.770992279052734
2021-01-07,8.049450874328613
2021-01-08,8.224298477172852
2021-01-11,8.353814125061035
2021-01-12,8.334386825561523
2021-01-13,8.159540176391602
2021-01-14,8.295530319213867
2021-01-15,8.02354621887207
2021-01-19,7.997644901275635
2021-01-20,7.57671594619751
2021-01-21,7.473103046417236
2021-01-22,7.350061893463135
2021-01-25,7.026270866394043
2021-01-26,6.521156311035156
2021-01-27,6.644197463989258
2021-01-28,6.449920654296875
2021-01-29,6.417542457580566
2021-02-01,6.540585041046143
2021-02-02,6.68952751159668
2021-02-03,7.369488716125488
2021-02-04,6.728382587432861
2021-02-05,6.469348907470703
2021-02-08,6.158509731292725
2021-02-09,6.009565830230713
2021-02-10,5.886524677276611
2021-02-11,5.957757472991943
2021-02-12,5.8411946296691895
2021-02-16,5.808815002441406
2021-02-17,5.737581253051758
2021-02-18,5.575685024261475
2021-02-19,5.387885093688965
2021-02-22,5.187136173248291
2021-02-23,5.2065629959106445
2021-02-24,5.15475606918335
2021-02-25,4.947530269622803
2021-02-26,4.9021992683410645
2021-03-01,4.941054344177246
2021-03-02,5.912428379058838
2021-03-03,6.229744911193848
2021-03-04,5.6533942222595215
2021-03-05,5.621016502380371
2021-03-08,5.284273147583008
2021-03-09,5.690755367279053
2021-03-10,5.625194072723389
2021-03-11,5.671087265014648
2021-03-12,5.441621780395508
2021-03-15,5.507183074951172
2021-03-16,5.546519756317139
2021-03-17,5.933333396911621
2021-03-18,5.887441158294678
2021-03-19,5.808766841888428
2021-03-22,5.756317138671875
2021-03-23,5.533407211303711
2021-03-24,5.330166816711426
2021-03-25,5.369502544403076
2021-03-26,5.2318243980407715
2021-03-29,5.205599308013916
2021-03-30,5.1531500816345215
2021-03-31,5.199042320251465
2021-04-01,5.081031322479248
2021-04-05,5.081031322479248
2021-04-06,5.205599308013916
2021-04-07,5.081031322479248
2021-04-08,5.126925468444824
2021-04-09,5.054807186126709
2021-04-12,4.9236836433410645
2021-04-13,5.041695594787598
2021-04-14,4.976132869720459
2021-04-15,4.969576835632324
2021-04-16,4.910572528839111
2021-04-19,4.9171271324157715
2021-04-20,4.740111827850342
2021-04-21,4.877790451049805
2021-04-22,5.008913516998291
2021-04-23,5.1465935707092285
2021-04-26,5.3498358726501465
2021-04-27,5.435065746307373
2021-04-28,5.38261604309082
2021-04-29,5.441621780395508
2021-04-30,5.3498358726501465
2021-05-03,5.179374694824219
2021-05-04,5.1597065925598145
2021-05-05,5.1138129234313965
2021-05-06,4.7138872146606445
2021-05-07,4.563095569610596
2021-05-10,4.405746936798096
2021-05-11,4.451639175415039
2021-05-12,4.838454246520996
2021-05-13,4.864677906036377
2021-05-14,4.9236836433410645
2021-05-17,5.323609828948975
2021-05-18,5.5202956199646
2021-05-19,5.480958938598633
2021-05-20,5.454733371734619
2021-05-21,5.290828704833984
2021-05-24,5.402284622192383
2021-05-25,5.487513542175293
2021-05-26,5.618637561798096
2021-05-27,6.012007236480713
2021-05-28,5.828434944152832
2021-06-01,5.834990978240967
2021-06-02,5.90710973739624
2021-06-03,5.802211284637451
2021-06-04,5.808766841888428
2021-06-07,5.9661149978637695
2021-06-08,6.06445837020874
2021-06-09,6.601309776306152
2021-06-10,6.402476787567139
2021-06-11,6.773634910583496
2021-06-14,6.707355499267578
2021-06-15,6.501894474029541
2021-06-16,6.482010841369629
2021-06-17,6.541659832000732
2021-06-18,6.309685707092285
2021-06-21,6.05120325088501
2021-06-22,6.011435508728027
2021-06-23,6.223524570465088
2021-06-24,6.296431064605713
2021-06-25,6.230152130126953
2021-06-28,6.130736827850342
2021-06-29,5.885505676269531
2021-06-30,5.6005096435546875
2021-07-01,5.4480695724487305
2021-07-02,5.30888557434082
2021-07-06,5.322140693664551
2021-07-07,5.401675224304199
2021-07-08,5.42818546295166
2021-07-09,5.414930820465088
2021-07-12,5.269118309020996
2021-07-13,5.090167999267578
2021-07-14,5.083539962768555
2021-07-15,5.189585208892822
2021-07-16,5.110050678253174
2021-07-19,5.057028293609619
2021-07-20,4.970866680145264
2021-07-21,5.143191337585449
2021-07-22,5.090167999267578
2021-07-23,5.076910972595215
2021-07-26,5.063655376434326
2021-07-27,4.990750789642334
2021-07-28,5.076910972595215
2021-07-29,5.129933834075928
2021-07-30,5.057028293609619
2021-08-02,5.209467887878418
2021-08-03,4.964239597320557
2021-08-04,4.924471378326416
2021-08-05,4.917844295501709
2021-08-06,4.931099891662598
2021-08-09,4.990750789642334
2021-08-10,4.937727928161621
2021-08-11,5.023889541625977
2021-08-12,4.937727928161621
2021-08-13,5.209467887878418
2021-08-16,4.9443559646606445
2021-08-17,4.844937801361084
2021-08-18,4.931099891662598
2021-08-19,4.692498207092285
2021-08-20,4.811798095703125
2021-08-23,4.9443559646606445
2021-08-24,4.9841227531433105
2021-08-25,4.931099891662598
2021-08-26,4.884704113006592
2021-08-27,4.858192443847656
2021-08-30,4.831681728363037
2021-08-31,4.871448993682861
2021-09-01,4.90458869934082
2021-09-02,4.911216735839844
2021-09-03,4.917844295501709
2021-09-07,4.911216735839844
2021-09-08,4.778659343719482
2021-09-09,4.778659343719482
2021-09-10,4.724891185760498
2021-09-13,4.731612682342529
2021-09-14,4.7584967613220215
2021-09-15,4.832428455352783
2021-09-16,4.86603307723999
2021-09-17,4.745054244995117
2021-09-20,4.570308685302734
2021-09-21,4.610633850097656
2021-09-22,4.637518405914307
2021-09-23,4.650960922241211
2021-09-24,4.5904717445373535
2021-09-27,4.745054244995117
2021-09-28,4.671123504638672
2021-09-29,4.543423175811768
2021-09-30,4.671123504638672
2021-10-01,4.704728603363037
2021-10-04,4.52325963973999
2021-10-05,4.543423175811768
2021-10-06,4.462770462036133
2021-10-07,4.476213455200195
2021-10-08,4.34179162979126
2021-10-11,4.348513603210449
2021-10-12,4.288023948669434
2021-10-13,4.4963765144348145
2021-10-14,4.577028751373291
2021-10-15,4.7652177810668945
2021-10-18,4.805544376373291
2021-10-19,4.818986415863037
2021-10-20,4.859312534332275
2021-10-21,4.818986415863037
2021-10-22,4.691286563873291
2021-10-25,4.785381317138672
2021-10-26,4.671123504638672
2021-10-27,4.644237995147705
2021-10-28,4.55686616897583
2021-10-29,4.570308685302734
2021-11-01,4.778659343719482
2021-11-02,4.859312534332275
2021-11-03,4.8727545738220215
2021-11-04,4.859312534332275
2021-11-05,4.745054244995117
2021-11-08,4.805544376373291
2021-11-09,4.7584967613220215
2021-11-10,4.731612682342529
2021-11-11,4.684564590454102
2021-11-12,4.698007106781006
2021-11-15,4.603911876678467
2021-11-16,4.442607879638672
2021-11-17,3.999018907546997
2021-11-18,3.710015058517456
2021-11-19,4.32835054397583
2021-11-22,4.617354393005371
2021-11-23,4.570308685302734
2021-11-24,4.664401531219482
2021-11-26,4.724891185760498
2021-11-29,4.637518405914307
2021-11-30,4.630797863006592
2021-12-01,4.570308685302734
2021-12-02,4.805544376373291
2021-12-03,4.71144962310791
2021-12-06,4.644237995147705
2021-12-07,4.698007106781006
2021-12-08,4.704728603363037
2021-12-09,4.691091537475586
2021-12-10,4.759275913238525
