Date,Z
2015-08-03,27.739999771118164
2015-08-04,25.799999237060547
2015-08-05,25.239999771118164
2015-08-06,26.950000762939453
2015-08-07,26.5
2015-08-10,26.139999389648438
2015-08-11,25.3799991607666
2015-08-12,25.989999771118164
2015-08-13,26.200000762939453
2015-08-14,25.190000534057617
2015-08-17,24.799999237060547
2015-08-18,26.059999465942383
2015-08-19,26.770000457763672
2015-08-20,25.170000076293945
2015-08-21,25.18000030517578
2015-08-24,24.3700008392334
2015-08-25,24.600000381469727
2015-08-26,25.0
2015-08-27,25.15999984741211
2015-08-28,24.860000610351562
2015-08-31,24.65999984741211
2015-09-01,24.43000030517578
2015-09-02,25.31999969482422
2015-09-03,25.510000228881836
2015-09-04,25.06999969482422
2015-09-08,25.239999771118164
2015-09-09,25.06999969482422
2015-09-10,25.450000762939453
2015-09-11,25.8700008392334
2015-09-14,26.1200008392334
2015-09-15,27.649999618530273
2015-09-16,27.450000762939453
2015-09-17,27.90999984741211
2015-09-18,28.06999969482422
2015-09-21,27.360000610351562
2015-09-22,27.260000228881836
2015-09-23,27.489999771118164
2015-09-24,27.260000228881836
2015-09-25,27.899999618530273
2015-09-28,27.579999923706055
2015-09-29,27.5
2015-09-30,27.0
2015-10-01,26.110000610351562
2015-10-02,26.559999465942383
2015-10-05,27.1200008392334
2015-10-06,28.549999237060547
2015-10-07,29.989999771118164
2015-10-08,31.600000381469727
2015-10-09,33.45000076293945
2015-10-12,32.0
2015-10-13,31.649999618530273
2015-10-14,31.8700008392334
2015-10-15,31.149999618530273
2015-10-16,30.450000762939453
2015-10-19,30.65999984741211
2015-10-20,31.15999984741211
2015-10-21,29.889999389648438
2015-10-22,29.950000762939453
2015-10-23,29.989999771118164
2015-10-26,29.43000030517578
2015-10-27,28.459999084472656
2015-10-28,28.229999542236328
2015-10-29,27.56999969482422
2015-10-30,27.690000534057617
2015-11-02,28.459999084472656
2015-11-03,29.5
2015-11-04,27.649999618530273
2015-11-05,25.790000915527344
2015-11-06,25.479999542236328
2015-11-09,25.299999237060547
2015-11-10,24.399999618530273
2015-11-11,24.360000610351562
2015-11-12,23.790000915527344
2015-11-13,23.270000457763672
2015-11-16,23.729999542236328
2015-11-17,24.709999084472656
2015-11-18,25.280000686645508
2015-11-19,25.229999542236328
2015-11-20,25.290000915527344
2015-11-23,24.479999542236328
2015-11-24,24.809999465942383
2015-11-25,24.940000534057617
2015-11-27,24.549999237060547
2015-11-30,24.649999618530273
2015-12-01,24.100000381469727
2015-12-02,24.649999618530273
2015-12-03,24.5
2015-12-04,24.65999984741211
2015-12-07,24.950000762939453
2015-12-08,24.709999084472656
2015-12-09,23.56999969482422
2015-12-10,23.459999084472656
2015-12-11,23.280000686645508
2015-12-14,23.549999237060547
2015-12-15,24.559999465942383
2015-12-16,25.459999084472656
2015-12-17,24.43000030517578
2015-12-18,24.610000610351562
2015-12-21,24.09000015258789
2015-12-22,23.950000762939453
2015-12-23,24.079999923706055
2015-12-24,24.40999984741211
2015-12-28,23.950000762939453
2015-12-29,24.170000076293945
2015-12-30,24.239999771118164
2015-12-31,23.479999542236328
2016-01-04,22.110000610351562
2016-01-05,21.989999771118164
2016-01-06,21.959999084472656
2016-01-07,21.5
2016-01-08,22.100000381469727
2016-01-11,22.15999984741211
2016-01-12,22.34000015258789
2016-01-13,21.450000762939453
2016-01-14,20.770000457763672
2016-01-15,20.829999923706055
2016-01-19,20.670000076293945
2016-01-20,19.530000686645508
2016-01-21,18.940000534057617
2016-01-22,20.18000030517578
2016-01-25,19.75
2016-01-26,20.1200008392334
2016-01-27,19.649999618530273
2016-01-28,19.5
2016-01-29,20.5
2016-02-01,19.25
2016-02-02,17.920000076293945
2016-02-03,17.649999618530273
2016-02-04,18.43000030517578
2016-02-05,16.920000076293945
2016-02-08,16.010000228881836
2016-02-09,16.200000762939453
2016-02-10,16.780000686645508
2016-02-11,17.969999313354492
2016-02-12,17.809999465942383
2016-02-16,18.829999923706055
2016-02-17,19.3799991607666
2016-02-18,19.549999237060547
2016-02-19,20.309999465942383
2016-02-22,20.0
2016-02-23,20.770000457763672
2016-02-24,20.200000762939453
2016-02-25,21.0
2016-02-26,21.010000228881836
2016-02-29,21.600000381469727
2016-03-01,21.459999084472656
2016-03-02,22.3799991607666
2016-03-03,23.3700008392334
2016-03-04,23.280000686645508
2016-03-07,23.549999237060547
2016-03-08,24.270000457763672
2016-03-09,22.440000534057617
2016-03-10,22.520000457763672
2016-03-11,23.079999923706055
2016-03-14,22.8700008392334
2016-03-15,21.809999465942383
2016-03-16,22.770000457763672
2016-03-17,22.200000762939453
2016-03-18,22.31999969482422
2016-03-21,22.760000228881836
2016-03-22,23.020000457763672
2016-03-23,22.360000610351562
2016-03-24,22.530000686645508
2016-03-28,22.40999984741211
2016-03-29,23.34000015258789
2016-03-30,23.049999237060547
2016-03-31,23.729999542236328
2016-04-01,23.450000762939453
2016-04-04,22.09000015258789
2016-04-05,21.079999923706055
2016-04-06,21.260000228881836
2016-04-07,20.729999542236328
2016-04-08,21.09000015258789
2016-04-11,19.940000534057617
2016-04-12,20.68000030517578
2016-04-13,21.6299991607666
2016-04-14,21.6299991607666
2016-04-15,21.850000381469727
2016-04-18,21.6200008392334
2016-04-19,22.280000686645508
2016-04-20,23.239999771118164
2016-04-21,23.329999923706055
2016-04-22,24.850000381469727
2016-04-25,24.860000610351562
2016-04-26,24.850000381469727
2016-04-27,24.739999771118164
2016-04-28,23.979999542236328
2016-04-29,24.040000915527344
2016-05-02,25.09000015258789
2016-05-03,25.059999465942383
2016-05-04,28.079999923706055
2016-05-05,26.719999313354492
2016-05-06,26.6299991607666
2016-05-09,26.489999771118164
2016-05-10,27.190000534057617
2016-05-11,27.239999771118164
2016-05-12,27.610000610351562
2016-05-13,27.649999618530273
2016-05-16,28.360000610351562
2016-05-17,28.0
2016-05-18,28.780000686645508
2016-05-19,27.329999923706055
2016-05-20,27.790000915527344
2016-05-23,27.760000228881836
2016-05-24,28.530000686645508
2016-05-25,28.6200008392334
2016-05-26,28.329999923706055
2016-05-27,28.600000381469727
2016-05-31,28.68000030517578
2016-06-01,28.34000015258789
2016-06-02,29.139999389648438
2016-06-03,29.329999923706055
2016-06-06,30.329999923706055
2016-06-07,32.06999969482422
2016-06-08,32.5
2016-06-09,32.279998779296875
2016-06-10,32.220001220703125
2016-06-13,32.400001525878906
2016-06-14,32.709999084472656
2016-06-15,32.779998779296875
2016-06-16,33.06999969482422
2016-06-17,34.04999923706055
2016-06-20,34.7599983215332
2016-06-21,34.65999984741211
2016-06-22,34.59000015258789
2016-06-23,35.380001068115234
2016-06-24,34.58000183105469
2016-06-27,32.810001373291016
2016-06-28,33.7400016784668
2016-06-29,35.16999816894531
2016-06-30,36.279998779296875
2016-07-01,35.560001373291016
2016-07-05,34.9900016784668
2016-07-06,35.08000183105469
2016-07-07,35.45000076293945
2016-07-08,36.15999984741211
2016-07-11,36.470001220703125
2016-07-12,36.66999816894531
2016-07-13,36.2400016784668
2016-07-14,37.060001373291016
2016-07-15,37.279998779296875
2016-07-18,37.630001068115234
2016-07-19,37.5099983215332
2016-07-20,38.04999923706055
2016-07-21,37.70000076293945
2016-07-22,38.029998779296875
2016-07-25,37.63999938964844
2016-07-26,38.41999816894531
2016-07-27,38.70000076293945
2016-07-28,39.099998474121094
2016-07-29,39.25
2016-08-01,39.84000015258789
2016-08-02,39.310001373291016
2016-08-03,39.040000915527344
2016-08-04,39.2599983215332
2016-08-05,37.400001525878906
2016-08-08,37.47999954223633
2016-08-09,36.13999938964844
2016-08-10,35.31999969482422
2016-08-11,35.29999923706055
2016-08-12,35.20000076293945
2016-08-15,35.56999969482422
2016-08-16,33.880001068115234
2016-08-17,34.099998474121094
2016-08-18,34.0
2016-08-19,34.90999984741211
2016-08-22,35.04999923706055
2016-08-23,34.9900016784668
2016-08-24,33.95000076293945
2016-08-25,33.97999954223633
2016-08-26,34.27000045776367
2016-08-29,34.599998474121094
2016-08-30,34.369998931884766
2016-08-31,33.849998474121094
2016-09-01,34.209999084472656
2016-09-02,34.7599983215332
