Date,TOL
2010-01-04,17.209169387817383
2010-01-05,17.209169387817383
2010-01-06,17.109804153442383
2010-01-07,18.302248001098633
2010-01-08,18.094472885131836
2010-01-11,18.02220344543457
2010-01-12,17.859600067138672
2010-01-13,18.229970932006836
2010-01-14,17.832489013671875
2010-01-15,17.471147537231445
2010-01-19,17.669889450073242
2010-01-20,17.25433921813965
2010-01-21,16.85685157775879
2010-01-22,16.513572692871094
2010-01-25,16.396141052246094
2010-01-26,16.459365844726562
2010-01-27,16.621980667114258
2010-01-28,16.70328140258789
2010-01-29,16.68521499633789
2010-02-01,16.820724487304688
2010-02-02,17.76021957397461
2010-02-03,17.615690231323242
2010-02-04,17.001394271850586
2010-02-05,16.847820281982422
2010-02-08,17.173038482666016
2010-02-09,17.227235794067383
2010-02-10,17.290470123291016
2010-02-11,17.913795471191406
2010-02-12,17.949932098388672
2010-02-16,18.1125431060791
2010-02-17,17.805395126342773
2010-02-18,17.25433921813965
2010-02-19,17.308536529541016
2010-02-22,17.51631736755371
2010-02-23,17.07366943359375
2010-02-24,16.965259552001953
2010-02-25,16.920087814331055
2010-02-26,17.01043128967285
2010-03-01,17.173038482666016
2010-03-02,17.11882972717285
2010-03-03,17.471147537231445
2010-03-04,17.308536529541016
2010-03-05,17.642791748046875
2010-03-08,17.85055923461914
2010-03-09,18.19384765625
2010-03-10,18.257078170776367
2010-03-11,18.157705307006836
2010-03-12,17.97703742980957
2010-03-15,17.90476417541504
2010-03-16,18.46485137939453
2010-03-17,18.3203182220459
2010-03-18,18.356449127197266
2010-03-19,18.311279296875
2010-03-22,18.356449127197266
2010-03-23,18.455812454223633
2010-03-24,18.618425369262695
2010-03-25,18.708755493164062
2010-03-26,19.205608367919922
2010-03-29,19.033979415893555
2010-03-30,18.979772567749023
2010-03-31,18.79006004333496
2010-04-01,18.491947174072266
2010-04-05,18.79006004333496
2010-04-06,18.446775436401367
2010-04-07,18.19384765625
2010-04-08,18.311279296875
2010-04-09,18.3654842376709
2010-04-12,18.3654842376709
2010-04-13,18.121572494506836
2010-04-14,18.690690994262695
2010-04-15,18.573259353637695
2010-04-16,18.455812454223633
2010-04-19,18.46485137939453
2010-04-20,18.862335205078125
