date,n_bars,open,close,oc_ret,oc_r2,rv_5m,range_var,close30_ret,close30_vol_share,close30_rv_share,close30_range_share,is_friday,is_monthly_opex,is_triple_witching,close30_vol_share_z,high_close_concentration,next_oc_r2,next_rv_5m,next_reversal_payoff
2026-01-14,78,691.0,690.4400024414062,-0.0008107447131663729,6.573069899272243e-07,5.157464032477792e-05,0.0001240911840369366,0.0018700894877159422,0.20894400873630925,0.14511751767311068,0.0953679560843032,0,0,0,,0.0,1.1981249116718593e-05,1.5158728333111749e-05,-0.003461394100173887
2026-01-15,78,694.5700073242188,692.1699829101562,-0.003461394100173887,1.1981249116718593e-05,1.5158728333111749e-05,5.628378613780965e-05,0.00048404585656606754,0.17123471456742725,0.04580002580073658,0.08689879148785079,0,0,0,,0.0,9.018180456226658e-06,2.072235515487977e-05,-0.0030030285473545966
2026-01-16,78,693.6599731445312,691.5800170898438,-0.0030030285473545966,9.018180456226658e-06,2.072235515487977e-05,4.966852989247273e-05,-0.0008238707542128352,0.16641937441227353,0.09187649938528573,0.0827189882259423,1,1,0,,0.0,3.260048686189066e-05,4.158558822242713e-05,-0.00570968360435941
2026-01-20,78,681.489990234375,677.6099853515625,-0.00570968360435941,3.260048686189066e-05,4.158558822242713e-05,0.00012276519631862568,0.0003099031559431272,0.16850607574909732,0.05038168872689483,0.057667221207732725,0,0,0,,0.0,6.926406144105443e-05,8.877377944674284e-05,0.008322503315773111
2026-01-21,77,679.6500244140625,685.3300170898438,0.008322503315773111,6.926406144105443e-05,8.877377944674284e-05,0.00021427404927370887,-2.9122036072323727e-05,0.13783523492417157,0.008529137636319942,0.036443890941758636,0,0,0,,0.0,1.7044777578640012e-06,2.1876870493760362e-05,0.0013055564935551434
2026-01-22,78,689.8300170898438,688.9299926757812,-0.0013055564935551434,1.7044777578640012e-06,2.1876870493760362e-05,6.491212523439149e-05,0.0011183286940065066,0.15832472617103083,0.04030293210289661,0.044795001452467904,0,0,0,,0.0,2.236823994175033e-06,2.2999691024621118e-05,0.0014956015492687325
2026-01-23,78,688.1500244140625,689.1799926757812,0.0014956015492687325,2.236823994175033e-06,2.2999691024621118e-05,6.844060826457796e-05,0.0004934120294207182,0.15718304627345234,0.021818671169028536,0.0472811268954057,1,0,0,,0.0,1.030407795303318e-05,9.961998316643288e-06,-0.0032099965658911817
2026-01-26,78,690.489990234375,692.7100219726562,0.0032099965658911817,1.030407795303318e-05,9.961998316643288e-06,3.213719422742565e-05,-0.001247925679501138,0.23212138317199776,0.10902451940527559,0.06961963633806167,0,0,0,,0.0,3.8306646396049405e-06,7.304816899414098e-06,-0.001957208379198531
2026-01-27,78,694.1799926757812,695.5399780273438,0.001957208379198531,3.8306646396049405e-06,7.304816899414098e-06,1.9356480406874857e-05,-0.0006467876840358562,0.18818362856241858,0.07731638484024228,0.07535578713757117,0,0,0,,0.0,5.413895567620143e-06,2.451131935126418e-05,0.00232677793689474
2026-01-28,78,697.0499877929688,695.4299926757812,-0.00232677793689474,5.413895567620143e-06,2.451131935126418e-05,6.974134106833599e-05,-1.4393531617380184e-05,0.1947355533407146,0.0913904965245826,0.1080037351661095,0,0,0,,0.0,1.2118611211611483e-05,6.48457526025977e-05,-0.0034811795718709317
2026-01-29,78,696.3900146484375,693.969970703125,-0.0034811795718709317,1.2118611211611483e-05,6.48457526025977e-05,0.00018321535579074176,0.0034498300380910165,0.14817326125968375,0.047587384007450724,0.04544644816303333,0,0,0,,0.0,9.491934897784157e-05,6.909275724105367e-05,-0.009742656156194858
2026-02-03,78,696.2100219726562,689.4600219726562,-0.009742656156194858,9.491934897784157e-05,6.909275724105367e-05,0.00017578694030608263,0.002803206802867027,0.1308277957410033,0.06874370842999172,0.047549854726883875,0,0,0,,0.0,3.7775129980900775e-05,0.0001029722399205924,-0.006146147572333484
2026-02-04,78,690.3499755859375,686.1199951171875,-0.006146147572333484,3.7775129980900775e-05,0.0001029722399205924,0.0002999381707704207,-0.0020529751390337032,0.11222473167567172,0.0726402931318736,0.05089440389353148,0,0,0,,0.0,2.6555558628568905e-05,9.677836376092583e-05,-0.005153208576078491
2026-02-05,78,680.9400024414062,677.4400024414062,-0.005153208576078491,2.6555558628568905e-05,9.677836376092583e-05,0.00029755192525785277,-0.0005164814810195393,0.13998824645329727,0.02041922824306816,0.04983841333429406,0,0,0,,0.0,0.00019227300460049015,3.348010613121696e-05,0.013866254166157858
2026-02-06,76,681.0900268554688,690.5999755859375,0.013866254166157858,0.00019227300460049015,3.348010613121696e-05,0.0001300362043284781,0.001202512598267941,0.18189268730686042,0.21869283604172873,0.0830016457434821,1,0,0,,0.0,4.2140751001071525e-05,1.9642618194526683e-05,-0.00649159079125229
2026-02-09,78,689.4199829101562,693.9099731445312,0.00649159079125229,4.2140751001071525e-05,1.9642618194526683e-05,6.456108737976668e-05,-0.0009507291983871272,0.178267440209781,0.092495017670356,0.09248840332775843,0,0,0,,0.0,1.7006339475744454e-05,2.450221425694068e-05,0.004123874328316087
2026-02-10,78,694.9500122070312,692.0900268554688,-0.004123874328316087,1.7006339475744454e-05,2.450221425694068e-05,7.494916536887176e-05,-0.0017467445735147077,0.232125930384145,0.1182434560132249,0.07854961483030731,0,0,0,,0.0,4.146782948661303e-05,5.185970127390507e-05,-0.006439551963189134
2026-02-11,78,696.3900146484375,691.9199829101562,-0.006439551963189134,4.146782948661303e-05,5.185970127390507e-05,0.00013211662921209158,-0.0004768447519764548,0.13053820619670684,0.0534173163121117,0.04504859450051572,0,0,0,,0.0,0.0003584373858056962,6.41708393845033e-05,-0.01893244267931891
2026-02-12,78,694.239990234375,681.219970703125,-0.01893244267931891,0.0003584373858056962,6.41708393845033e-05,0.0001869837432325314,-0.002902395037714111,0.17880725266013928,0.03548473068794689,0.07097256100775144,0,0,0,,0.0,3.0987858516924495e-08,7.872622813461032e-05,-0.0001760336857448724
2026-02-13,78,681.719970703125,681.5999755859375,-0.0001760336857448724,3.0987858516924495e-08,7.872622813461032e-05,0.0002666474889671232,0.0014093861629152983,0.16217829652182275,0.0369983829305534,0.05497054692373076,1,0,0,,0.0,1.4669508855279036e-05,0.00011437101846307024,0.0038300794841986028
2026-02-17,78,680.1400146484375,682.75,0.0038300794841986028,1.4669508855279036e-05,0.00011437101846307024,0.00025894656882220383,-0.0001903954698422978,0.1305999688867979,0.02371672275688755,0.04056532382313549,0,0,0,-1.1913909730247068,0.0,1.0032266611026474e-05,3.49083202813164e-05,-0.0031673753505112832
2026-02-18,78,684.02001953125,686.1900024414062,0.0031673753505112832,1.0032266611026474e-05,3.49083202813164e-05,0.00010233869158648203,0.0028896407052191146,0.19822532940413806,0.15535521305476965,0.10876200121111029,0,0,0,0.9591462867752316,1.0,9.58943664579135e-07,5.9806351306389045e-05,-0.0009792566898311878
2026-02-19,78,683.8400268554688,684.510009765625,0.0009792566898311878,9.58943664579135e-07,5.9806351306389045e-05,0.00015003246110716775,0.002369454214119298,0.13985588833155996,0.028125659159694838,0.038341618672334286,0,0,0,-0.8857471014281406,0.0,0.00010506911046087856,6.508826076862461e-05,-0.010250322456434166
2026-02-20,78,682.3200073242188,689.3499755859375,0.010250322456434166,0.00010506911046087856,6.508826076862461e-05,0.0002983878545381454,0.0014371535850638275,0.11783513238234773,0.019850979414390502,0.014127611520242672,1,1,0,-1.5365489891647828,0.0,6.258595170035977e-05,4.1540463384741106e-05,0.00791112834558761
2026-02-23,78,687.8300170898438,682.4099731445312,-0.00791112834558761,6.258595170035977e-05,4.1540463384741106e-05,0.00012212570433460632,0.0015691241189268344,0.1924280595296393,0.17669981711193736,0.10911895945409292,0,0,0,0.8237207015813662,1.0,6.395104134070187e-05,4.048764942935524e-05,0.00799693949837698
2026-02-24,78,681.9000244140625,687.375,0.00799693949837698,6.395104134070187e-05,4.048764942935524e-05,9.925548340380616e-05,0.0012300279737558013,0.19566272986557082,0.04780081202964765,0.04790776563750459,0,0,0,0.8951888915944178,1.0,9.473398320306144e-06,7.506050171785539e-06,-0.003077888614018731
2026-02-25,78,690.969970703125,693.0999755859375,0.003077888614018731,9.473398320306144e-06,7.506050171785539e-06,2.7286566465252773e-05,0.0002597259522703242,0.2111689306780711,0.07470455093799191,0.07895265961633242,0,0,0,1.3396335996837097,1.0,3.281439712903933e-05,5.4326512430051524e-05,0.005728385211299894
2026-02-26,78,693.280029296875,689.3200073242188,-0.005728385211299894,3.281439712903933e-05,5.4326512430051524e-05,0.0001377107770130907,0.0009507060718006224,0.12773430947011805,0.028150187336267576,0.02946350132351336,0,0,0,-1.2479219212621877,0.0,2.1707106623216767e-05,4.644063367241673e-05,0.004659088604353513
2026-02-27,78,683.0900268554688,686.280029296875,0.004659088604353513,2.1707106623216767e-05,4.644063367241673e-05,0.0001433417678688644,0.0010205301475601516,0.2235659214950593,0.06751219723336865,0.08828849780414859,1,0,0,1.6758614095760087,1.0,0.00012628392605436306,5.575672552960794e-05,-0.011237612115318941
2026-03-02,78,678.7000122070312,686.3699951171875,0.011237612115318941,0.00012628392605436306,5.575672552960794e-05,0.00018218541518782554,0.001487212756308944,0.16022445185022213,0.03004471853520907,0.04704991675869254,0,0,0,-0.26958504426445484,0.0,5.9335423229731575e-05,9.702306759391317e-05,-0.007702948995659492
2026-03-03,78,675.0599975585938,680.280029296875,0.007702948995659492,5.9335423229731575e-05,9.702306759391317e-05,0.000315819457282578,-0.0011164881222968674,0.09362350656741941,0.00709723996728046,0.03602952317863246,0,0,0,-2.2317266084220613,0.0,2.6680867889541032e-05,4.243170216401207e-05,-0.005165352639417858
2026-03-04,78,681.6300048828125,685.1599731445312,0.005165352639417858,2.6680867889541032e-05,4.243170216401207e-05,0.0001282885313933563,-0.0015750581040691355,0.16518685399955294,0.05150457164993544,0.04676421619263012,0,0,0,-0.04364416557067372,0.0,8.81285948802888e-07,8.36434986001899e-05,0.00093876831476296
2026-03-05,78,682.0800170898438,681.4400024414062,-0.00093876831476296,8.81285948802888e-07,8.36434986001899e-05,0.00023997109224271247,0.002895170368688088,0.17698797227347007,0.03513963798215317,0.0432554064174419,0,0,0,0.2906746918420384,0.0,1.9304795796747677e-06,9.341478085735576e-05,-0.0013894169927256424
2026-03-06,78,673.4099731445312,672.4749755859375,-0.0013894169927256424,1.9304795796747677e-06,9.341478085735576e-05,0.0002735049374130533,0.00036438494376807426,0.18057676285913304,0.01071352432580357,0.06557863361258269,1,0,0,0.38895215413856454,0.0,0.00031464084380021415,0.00012349954490834363,0.01773811838387077
