market,ticker,theta_eav,theta_eav_t,theta_eav_se,sigma2_sample,analyst_count,market_cap,institutions_pct,n_obs,n_events,source,log_analyst,log_mcap
TW,2330.TW,-2.532313647301927e-06,-0.039166114818141,6.465572750986798e-05,0.0002598534996729,33.0,51605722365952.0,0.41823003,3911,60,K1166,3.5263605246161616,31.574653680832235
TW,2303.TW,0.0013684129895576,2.4399857560921836,0.0005608282696491,0.000365459482053,20.0,756548173824.0,0.37787998,3911,60,K1166,3.044522437723423,27.352032048020444
TW,6239.TW,-0.0001071132599356,-2.0307965550515403,5.274445619339652e-05,0.0003762484492164,8.0,161427144704.0,0.39099997,3911,60,K1166,2.1972245773362196,25.807319761441615
TW,2454.TW,-4.313797318374628e-05,-0.5103966579430319,8.451852595900254e-05,0.0005094605269575,24.0,2585698500608.0,0.43749002,3911,59,K1166,3.2188758248682006,28.581016800389143
TW,2379.TW,-0.000166193828707,-2.7757031340839498,5.987449690362057e-05,0.0004880318241569,16.0,270643806208.0,0.49078998,3911,60,K1166,2.833213344056216,26.32406942505039
TW,3034.TW,0.0010108346439917,3.7177180196723993,0.0002718965340143,0.0004734204258253,18.0,240057991168.0,0.46422002,3911,60,K1166,2.9444389791664403,26.204146360967275
TW,3035.TW,0.0027834514942197,4.246509019462646,0.00065546816961,0.0008562467058674,7.0,38821998592.0,0.14632,3911,60,K1166,2.0794415416798357,24.382252896927216
TW,3443.TW,0.0004340210789627,1.9939694823294736,0.0002176668614083,0.0008722185926539,16.0,371880525824.0,0.31055,3911,60,K1166,2.833213344056216,26.641838472494562
TW,2881.TW,3.5018420861855365e-05,0.8639636657183354,4.053228422834147e-05,0.0002174404990315,10.0,1214438440960.0,0.22516,3911,60,K1166,2.3978952727983707,27.82530289736874
TW,2882.TW,9.992873763796924e-05,2.033879462015935,4.91320845232992e-05,0.0002222409388181,9.0,1056183091200.0,0.31827998,3911,60,K1166,2.302585092994046,27.68568266800191
TW,2883.TW,-6.676187069632314e-06,-0.1622928419966327,4.113666990791147e-05,0.0002266861180398,2.0,357320523776.0,0.23103,3911,59,K1166,1.0986122886681098,26.601899041624716
