date_utc,ticker,count
2024-01-09,2330.TW,1
2024-01-09,2454.TW,0
2024-01-09,2317.TW,0
2024-01-09,2303.TW,0
2024-01-09,AMZN,0
2024-01-09,META,30
2024-01-09,NVDA,5
2024-01-09,AAPL,5
2024-01-09,7974.T,0
2024-01-09,6758.T,9
2024-01-09,8035.T,0
2024-01-09,7203.T,2
2024-01-09,ADS.DE,0
2024-01-09,SAP.DE,1
2024-01-09,MBG.DE,0
2024-01-09,ASML.AS,0
2024-01-09,MC.PA,0
2024-01-09,000660.KS,0
2024-01-09,005930.KS,2
2024-01-09,005380.KS,0
2024-01-09,ENB.TO,1
2024-01-09,CP.TO,0
2024-01-09,CNQ.TO,0
2024-01-09,0700.HK,0
2024-01-09,0388.HK,0
2024-01-09,0939.HK,0
2024-01-09,ABEV3.SA,0
2024-01-09,RENT3.SA,0
2024-01-09,B3SA3.SA,0
2024-01-09,TCS.NS,0
2024-01-09,INFY.NS,1
2024-01-09,ICICIBANK.NS,0
2024-01-10,2330.TW,0
2024-01-10,2454.TW,0
2024-01-10,2317.TW,0
2024-01-10,2303.TW,0
2024-01-10,AMZN,2
2024-01-10,META,27
2024-01-10,NVDA,11
2024-01-10,AAPL,1
2024-01-10,7974.T,0
2024-01-10,6758.T,5
2024-01-10,8035.T,0
2024-01-10,7203.T,2
2024-01-10,ADS.DE,0
2024-01-10,SAP.DE,2
2024-01-10,MBG.DE,2
2024-01-10,ASML.AS,0
2024-01-10,MC.PA,0
2024-01-10,000660.KS,0
2024-01-10,005930.KS,1
2024-01-10,005380.KS,1
2024-01-10,ENB.TO,0
2024-01-10,CP.TO,0
2024-01-10,CNQ.TO,0
2024-01-10,0700.HK,0
2024-01-10,0388.HK,0
2024-01-10,0939.HK,0
2024-01-10,ABEV3.SA,0
2024-01-10,RENT3.SA,0
2024-01-10,B3SA3.SA,0
2024-01-10,TCS.NS,1
2024-01-10,INFY.NS,1
2024-01-10,ICICIBANK.NS,0
2024-01-11,2330.TW,0
2024-01-11,2454.TW,0
2024-01-11,2317.TW,0
2024-01-11,2303.TW,0
2024-01-11,AMZN,0
2024-01-11,META,38
2024-01-11,NVDA,2
2024-01-11,AAPL,1
2024-01-11,7974.T,0
2024-01-11,6758.T,5
2024-01-11,8035.T,0
2024-01-11,7203.T,4
2024-01-11,ADS.DE,0
2024-01-11,SAP.DE,2
2024-01-11,MBG.DE,0
2024-01-11,ASML.AS,0
2024-01-11,MC.PA,0
