Date,DIS
2004-01-02,18.4682674407959
2004-01-05,18.83497428894043
2004-01-06,18.881797790527344
2004-01-07,19.193889617919922
2004-01-08,19.474767684936523
2004-01-09,19.404550552368164
2004-01-12,19.412349700927734
2004-01-13,19.25630760192871
2004-01-14,19.427955627441406
2004-01-15,19.365541458129883
2004-01-16,19.388944625854492
2004-01-20,19.09245491027832
2004-01-21,19.178281784057617
2004-01-22,19.271913528442383
2004-01-23,18.764753341674805
2004-01-26,19.0378360748291
2004-01-27,18.850582122802734
2004-01-28,18.4682674407959
2004-01-29,19.076847076416016
2004-01-30,18.72574234008789
2004-02-02,18.5696964263916
2004-02-03,18.148359298706055
2004-02-04,18.09375
2004-02-05,18.101551055908203
2004-02-06,18.218589782714844
2004-02-09,18.546289443969727
2004-02-10,18.78816032409668
2004-02-11,21.534603118896484
2004-02-12,21.846702575683594
2004-02-13,21.004045486450195
2004-02-17,20.988439559936523
2004-02-18,20.840190887451172
2004-02-19,21.06646156311035
2004-02-20,20.715351104736328
2004-02-23,20.87139892578125
2004-02-24,20.255014419555664
2004-02-25,20.520292282104492
2004-02-26,20.855798721313477
2004-02-27,20.69974708557129
2004-03-01,20.96503448486328
2004-03-02,20.87920570373535
2004-03-03,20.793380737304688
2004-03-04,20.91041374206543
2004-03-05,20.660736083984375
2004-03-08,20.473480224609375
2004-03-09,20.46567726135254
2004-03-10,19.85708999633789
2004-03-11,19.466970443725586
2004-03-12,20.3642520904541
2004-03-15,19.763458251953125
2004-03-16,19.818077087402344
2004-03-17,20.130168914794922
2004-03-18,20.0755615234375
2004-03-19,19.810277938842773
2004-03-22,19.427955627441406
2004-03-23,19.584009170532227
2004-03-24,19.32652473449707
2004-03-25,19.54498863220215
2004-03-26,19.584009170532227
2004-03-29,19.66203498840332
2004-03-30,19.646425247192383
2004-03-31,19.498178482055664
2004-04-01,19.77906608581543
2004-04-02,20.247209548950195
2004-04-05,20.67634391784668
2004-04-06,20.746566772460938
2004-04-07,20.29402732849121
2004-04-08,20.481279373168945
2004-04-12,20.052152633666992
2004-04-13,19.5059814453125
2004-04-14,19.5059814453125
2004-04-15,19.271913528442383
2004-04-16,19.427955627441406
2004-04-19,19.474767684936523
2004-04-20,19.349937438964844
2004-04-21,19.5059814453125
2004-04-22,19.412349700927734
2004-04-23,19.23289680480957
2004-04-26,19.022233963012695
2004-04-27,18.866186141967773
2004-04-28,18.686729431152344
2004-04-29,18.491668701171875
2004-04-30,17.968914031982422
2004-05-03,18.04694175720215
2004-05-04,17.961109161376953
2004-05-05,17.945505142211914
2004-05-06,17.750442504882812
2004-05-07,17.516372680664062
2004-05-10,17.243289947509766
2004-05-11,17.929899215698242
2004-05-12,17.945505142211914
2004-05-13,18.179574966430664
2004-05-14,18.132766723632812
2004-05-17,17.867477416992188
2004-05-18,17.820669174194336
2004-05-19,17.945505142211914
2004-05-20,17.984514236450195
2004-05-21,17.69582748413086
2004-05-24,18.101551055908203
2004-05-25,18.53068733215332
2004-05-26,18.460466384887695
2004-05-27,18.499473571777344
2004-05-28,18.312210083007812
2004-06-01,18.600906372070312
2004-06-02,19.053449630737305
2004-06-03,18.702335357666016
2004-06-04,18.772558212280273
2004-06-07,19.0378360748291
2004-06-08,19.193889617919922
2004-06-09,19.178281784057617
2004-06-10,19.287517547607422
2004-06-14,19.287517547607422
2004-06-15,19.271913528442383
2004-06-16,19.404550552368164
2004-06-17,19.396747589111328
2004-06-18,19.521587371826172
2004-06-21,19.466970443725586
2004-06-22,19.443565368652344
2004-06-23,19.23289680480957
2004-06-24,19.77126121520996
2004-06-25,19.646425247192383
2004-06-28,19.693241119384766
2004-06-29,19.888303756713867
2004-06-30,19.888303756713867
2004-07-01,19.724451065063477
2004-07-02,19.71664810180664
2004-07-06,19.271913528442383
2004-07-07,19.295320510864258
2004-07-08,18.998830795288086
2004-07-09,19.193889617919922
2004-07-12,18.998830795288086
2004-07-13,18.905202865600586
2004-07-14,18.873992919921875
2004-07-15,18.624311447143555
2004-07-16,18.29660987854004
2004-07-19,18.327821731567383
2004-07-20,18.647714614868164
2004-07-21,18.444856643676758
2004-07-22,18.187381744384766
2004-07-23,17.91429328918457
2004-07-26,17.828466415405273
2004-07-27,17.906490325927734
2004-07-28,17.820669174194336
2004-07-29,17.945505142211914
2004-07-30,18.015724182128906
2004-08-02,18.023529052734375
2004-08-03,17.76605224609375
2004-08-04,17.54758644104004
2004-08-05,17.38372802734375
2004-08-06,17.1574649810791
2004-08-09,17.11845588684082
2004-08-10,17.508567810058594
2004-08-11,16.993614196777344
2004-08-12,16.548877716064453
2004-08-13,16.2992000579834
2004-08-16,16.81415557861328
2004-08-17,17.149658203125
2004-08-18,17.368125915527344
2004-08-19,17.47736358642578
2004-08-20,17.508567810058594
2004-08-23,17.297901153564453
2004-08-24,17.407142639160156
2004-08-25,17.555389404296875
2004-08-26,17.69582748413086
2004-08-27,17.680217742919922
2004-08-30,17.47736358642578
2004-08-31,17.516372680664062
2004-09-01,17.539775848388672
2004-09-02,17.586591720581055
2004-09-03,17.45395278930664
2004-09-07,17.703632354736328
2004-09-08,17.859676361083984
2004-09-09,17.836271286010742
2004-09-10,18.07033920288086
2004-09-13,18.195178985595703
2004-09-14,18.140565872192383
2004-09-15,17.95330810546875
2004-09-16,18.257598876953125
2004-09-17,18.273202896118164
2004-09-20,18.04694175720215
2004-09-21,18.26540184020996
2004-09-22,18.179574966430664
2004-09-23,18.148359298706055
2004-09-24,18.304410934448242
2004-09-27,18.078142166137695
2004-09-28,17.633407592773438
2004-09-29,17.789459228515625
2004-09-30,17.594396591186523
2004-10-01,18.00792121887207
2004-10-04,18.36682891845703
2004-10-05,18.632112503051758
2004-10-06,18.99102210998535
2004-10-07,19.310924530029297
2004-10-08,19.388944625854492
2004-10-11,19.427955627441406
2004-10-12,19.381141662597656
2004-10-13,19.513784408569336
2004-10-14,19.388944625854492
2004-10-15,19.435760498046875
2004-10-18,19.568405151367188
2004-10-19,19.420154571533203
2004-10-20,19.303119659423828
2004-10-21,19.740055084228516
2004-10-22,19.209491729736328
2004-10-25,19.18608856201172
2004-10-26,19.404550552368164
2004-10-27,19.482574462890625
2004-10-28,19.599609375
2004-10-29,19.677640914916992
2004-11-01,19.685440063476562
2004-11-02,19.864891052246094
2004-11-03,20.005338668823242
2004-11-04,20.5358943939209
2004-11-05,20.621721267700195
2004-11-08,20.317432403564453
2004-11-09,20.496885299682617
2004-11-10,20.801183700561523
2004-11-11,20.746566772460938
2004-11-12,20.91041374206543
2004-11-15,20.855798721313477
2004-11-16,20.69974708557129
2004-11-17,20.72315788269043
2004-11-18,20.574913024902344
2004-11-19,20.801183700561523
2004-11-22,21.21470832824707
2004-11-23,21.316133499145508
2004-11-24,21.331745147705078
2004-11-26,21.16009521484375
2004-11-29,21.113277435302734
2004-11-30,20.972835540771484
2004-12-01,21.597023010253906
2004-12-02,21.550212860107422
2004-12-03,21.35515022277832
2004-12-06,21.316133499145508
2004-12-07,21.144489288330078
2004-12-08,21.41213607788086
2004-12-09,21.742769241333008
2004-12-10,21.750635147094727
2004-12-13,21.82935905456543
2004-12-14,21.77425765991211
2004-12-15,21.727022171020508
2004-12-16,21.687664031982422
2004-12-17,21.545963287353516
2004-12-20,21.585323333740234
2004-12-21,21.6325626373291
2004-12-22,21.750635147094727
2004-12-23,21.719152450561523
2004-12-27,21.84510040283203
2004-12-28,22.03403663635254
2004-12-29,22.00255012512207
2004-12-30,21.94744110107422
2004-12-31,21.884464263916016
2005-01-03,21.923824310302734
2005-01-04,21.687664031982422
2005-01-05,21.569581985473633
2005-01-06,21.601064682006836
2005-01-07,21.38852310180664
2005-01-10,21.475120544433594
2005-01-11,21.420013427734375
2005-01-12,21.821483612060547
2005-01-13,21.84510040283203
2005-01-14,22.278066635131836
2005-01-18,22.624441146850586
2005-01-19,22.43551254272461
2005-01-20,22.451255798339844
2005-01-21,22.159990310668945
2005-01-24,22.00255012512207
2005-01-25,22.671669006347656
2005-01-26,22.498489379882812
2005-01-27,22.278066635131836
2005-01-28,22.22296714782715
2005-01-31,22.537851333618164
2005-02-01,22.671669006347656
2005-02-02,22.69529151916504
2005-02-03,22.671669006347656
2005-02-04,23.073150634765625
2005-02-07,23.521865844726562
2005-02-08,23.490373611450195
2005-02-09,23.104642868041992
2005-02-10,23.104642868041992
2005-02-11,23.096773147583008
2005-02-14,23.136131286621094
2005-02-15,23.28569793701172
2005-02-16,23.088897705078125
2005-02-17,23.104642868041992
2005-02-18,22.87635040283203
2005-02-22,22.380409240722656
2005-02-23,22.553590774536133
2005-02-24,22.159990310668945
2005-02-25,21.9553165435791
2005-02-28,21.994674682617188
2005-03-01,22.41976547241211
2005-03-02,22.585081100463867
2005-03-03,22.490619659423828
2005-03-04,22.73465347290039
2005-03-07,22.797630310058594
2005-03-08,22.459129333496094
2005-03-09,22.02616310119629
2005-03-10,22.041906356811523
2005-03-11,21.719152450561523
2005-03-14,22.057647705078125
2005-03-15,22.514230728149414
2005-03-16,22.553590774536133
2005-03-17,22.333175659179688
2005-03-18,22.112756729125977
2005-03-21,22.18360710144043
2005-03-22,21.86872100830078
2005-03-23,21.86872100830078
2005-03-24,21.84510040283203
2005-03-28,22.175731658935547
2005-03-29,21.963186264038086
2005-03-30,22.31743812561035
2005-03-31,22.61656951904297
2005-04-01,22.498489379882812
2005-04-04,22.380409240722656
2005-04-05,22.46700096130371
2005-04-06,22.364662170410156
2005-04-07,22.59295654296875
2005-04-08,22.35679054260254
2005-04-11,22.144243240356445
2005-04-12,22.152118682861328
2005-04-13,21.805740356445312
2005-04-14,21.750635147094727
2005-04-15,21.545963287353516
2005-04-18,21.207462310791016
2005-04-19,21.372777938842773
2005-04-20,20.95555305480957
2005-04-21,21.78212547302246
2005-04-22,21.490859985351562
2005-04-25,21.41213607788086
2005-04-26,21.097257614135742
2005-04-27,21.128740310668945
2005-04-28,20.388763427734375
2005-04-29,20.782363891601562
2005-05-02,20.727266311645508
2005-05-03,20.664287567138672
2005-05-04,21.08938217163086
2005-05-05,21.026405334472656
2005-05-06,21.16810417175293
2005-05-09,21.30193328857422
2005-05-10,21.215330123901367
2005-05-11,20.99491310119629
2005-05-12,21.057891845703125
2005-05-13,21.25469970703125
2005-05-16,21.309799194335938
2005-05-17,21.475120544433594
2005-05-18,21.648305892944336
2005-05-19,21.994674682617188
2005-05-20,21.9080810546875
2005-05-23,21.687664031982422
2005-05-24,21.77425765991211
2005-05-25,21.766382217407227
2005-05-26,21.884464263916016
2005-05-27,21.94744110107422
2005-05-31,21.601064682006836
2005-06-01,21.711278915405273
2005-06-02,21.601064682006836
2005-06-03,21.506603240966797
2005-06-06,21.317672729492188
2005-06-07,21.48298454284668
2005-06-08,21.57745361328125
2005-06-09,21.687664031982422
2005-06-10,21.664045333862305
2005-06-13,21.852975845336914
2005-06-14,21.75851058959961
2005-06-15,21.286184310913086
2005-06-16,21.081510543823242
2005-06-17,21.018531799316406
2005-06-20,20.931936264038086
2005-06-21,21.04214859008789
2005-06-22,21.010662078857422
2005-06-23,20.680036544799805
2005-06-24,20.49896812438965
2005-06-27,20.17622184753418
2005-06-28,20.35727310180664
2005-06-29,20.018775939941406
2005-06-30,19.821971893310547
2005-07-01,19.751123428344727
2005-07-05,19.71176528930664
2005-07-06,19.51495361328125
2005-07-07,19.2473087310791
2005-07-08,19.680273056030273
2005-07-11,19.821971893310547
2005-07-12,20.00303077697754
2005-07-13,20.23919105529785
2005-07-14,20.727266311645508
2005-07-15,20.766624450683594
2005-07-18,20.50684356689453
2005-07-19,20.278549194335938
2005-07-20,20.333656311035156
2005-07-21,20.12111473083496
2005-07-22,20.333656311035156
2005-07-25,20.184085845947266
2005-07-26,20.373018264770508
2005-07-27,20.333656311035156
2005-07-28,20.428125381469727
2005-07-29,20.184085845947266
2005-08-01,20.160478591918945
2005-08-02,20.12111473083496
2005-08-03,20.286426544189453
2005-08-04,20.1683406829834
2005-08-05,20.058137893676758
2005-08-08,20.00303077697754
2005-08-09,20.577693939208984
2005-08-10,20.050262451171875
2005-08-11,20.373018264770508
2005-08-12,20.278549194335938
2005-08-15,20.60131072998047
2005-08-16,20.672157287597656
