Date,NEM
2004-01-02,32.48707580566406
2004-01-05,33.22843551635742
2004-01-06,32.62063980102539
2004-01-07,31.685588836669922
2004-01-08,31.992822647094727
2004-01-09,32.47370910644531
2004-01-12,31.72564125061035
2004-01-13,31.091121673583984
2004-01-14,29.82210350036621
2004-01-15,28.446216583251953
2004-01-16,28.773475646972656
2004-01-20,29.207630157470703
2004-01-21,29.387956619262695
2004-01-22,28.58647918701172
2004-01-23,28.21912384033203
2004-01-26,27.89185905456543
2004-01-27,28.392793655395508
2004-01-28,27.86513328552246
2004-01-29,27.451045989990234
2004-01-30,27.825071334838867
2004-02-02,27.958641052246094
2004-02-03,27.71819496154785
2004-02-04,27.74492073059082
2004-02-05,28.152339935302734
2004-02-06,29.454771041870117
2004-02-09,29.815431594848633
2004-02-10,29.58834457397461
2004-02-11,30.343088150024414
2004-02-12,29.82881736755371
2004-02-13,29.561616897583008
2004-02-17,30.356441497802734
2004-02-18,29.14084243774414
2004-02-19,29.414690017700195
2004-02-20,28.553085327148438
2004-02-23,28.259197235107422
2004-02-24,29.234344482421875
2004-02-25,28.806896209716797
2004-02-26,29.047325134277344
2004-02-27,29.0206298828125
2004-03-01,29.2546443939209
2004-03-02,28.25832748413086
2004-03-03,28.131261825561523
2004-03-04,28.458934783935547
2004-03-05,29.395084381103516
2004-03-08,29.04735565185547
2004-03-09,29.054065704345703
2004-03-10,28.30512237548828
2004-03-11,28.58597755432129
2004-03-12,28.54586410522461
2004-03-15,28.07778549194336
2004-03-16,28.458934783935547
2004-03-17,28.793270111083984
2004-03-18,29.629121780395508
2004-03-19,29.67592430114746
2004-03-22,29.81634521484375
2004-03-23,29.876514434814453
2004-03-24,29.21453094482422
2004-03-25,30.230932235717773
2004-03-26,30.859485626220703
2004-03-29,30.792598724365234
2004-03-30,31.23394012451172
2004-03-31,31.180429458618164
2004-04-01,31.260692596435547
2004-04-02,30.67892837524414
2004-04-05,29.99019432067871
2004-04-06,30.291107177734375
2004-04-07,30.331226348876953
2004-04-08,30.1306209564209
2004-04-12,30.264354705810547
2004-04-13,28.659526824951172
2004-04-14,28.512428283691406
2004-04-15,28.786571502685547
2004-04-16,28.793270111083984
2004-04-19,28.371999740600586
2004-04-20,26.70030403137207
2004-04-21,26.666873931884766
2004-04-22,27.201814651489258
2004-04-23,27.014591217041016
2004-04-26,27.114887237548828
2004-04-27,26.874155044555664
2004-04-28,25.055370330810547
2004-04-29,25.041980743408203
2004-04-30,25.008544921875
2004-05-03,24.99518394470215
2004-05-04,26.10517692565918
2004-05-05,25.817655563354492
2004-05-06,25.316137313842773
2004-05-07,23.67787742614746
2004-05-10,24.29306411743164
2004-05-11,24.540481567382812
2004-05-12,24.39336395263672
2004-05-13,24.199447631835938
2004-05-14,24.707651138305664
2004-05-17,24.74108123779297
2004-05-18,25.1021728515625
2004-05-19,25.302753448486328
2004-05-20,25.16234588623047
2004-05-21,25.67723846435547
2004-05-24,25.91794204711914
2004-05-25,26.613384246826172
2004-05-26,26.600008010864258
2004-05-27,26.86078453063965
2004-05-28,26.602863311767578
2004-06-01,26.16741180419922
2004-06-02,26.00663948059082
2004-06-03,25.778860092163086
2004-06-04,26.401897430419922
2004-06-07,26.77705192565918
2004-06-08,26.45548439025879
2004-06-09,25.129003524780273
2004-06-10,25.41709327697754
2004-06-14,24.639978408813477
2004-06-15,25.437192916870117
2004-06-16,25.450580596923828
2004-06-17,25.825754165649414
2004-06-18,26.207599639892578
2004-06-21,26.127214431762695
2004-06-22,26.17411231994629
2004-06-23,26.020030975341797
2004-06-24,26.596168518066406
2004-06-25,26.66316032409668
2004-06-28,25.99992561340332
2004-06-29,25.51087760925293
2004-06-30,25.966434478759766
2004-07-01,25.53098487854004
2004-07-02,26.234405517578125
2004-07-06,26.38849639892578
2004-07-07,27.54745864868164
2004-07-08,28.16380500793457
2004-07-09,28.364788055419922
2004-07-12,27.79534149169922
2004-07-13,27.668052673339844
2004-07-14,27.99633026123047
2004-07-15,28.070016860961914
2004-07-16,28.311174392700195
2004-07-19,27.76184844970703
2004-07-20,27.735036849975586
2004-07-21,26.931127548217773
2004-07-22,27.11871337890625
2004-07-23,26.127214431762695
2004-07-26,25.711868286132812
2004-07-27,26.093713760375977
2004-07-28,26.395177841186523
2004-07-29,26.49567413330078
2004-07-30,27.112001419067383
2004-08-02,27.07851219177246
2004-08-03,27.045026779174805
2004-08-04,26.348283767700195
2004-08-05,25.859243392944336
2004-08-06,27.22589683532715
2004-08-09,27.272783279418945
2004-08-10,27.34649658203125
2004-08-11,26.98472023010254
2004-08-12,26.92443084716797
2004-08-13,27.413476943969727
2004-08-16,28.13029670715332
2004-08-17,28.056604385375977
2004-08-18,28.31787109375
2004-08-19,29.496965408325195
2004-08-20,29.731430053710938
2004-08-23,29.322784423828125
2004-08-24,28.706457138061523
2004-08-25,29.503658294677734
2004-08-26,29.38974380493164
2004-08-27,29.45006561279297
2004-08-30,29.282567977905273
2004-08-31,29.738122940063477
2004-09-01,30.05689239501953
2004-09-02,29.855587005615234
2004-09-03,29.29859161376953
2004-09-07,29.13752555847168
2004-09-08,28.889245986938477
2004-09-09,28.922792434692383
2004-09-10,29.056995391845703
2004-09-13,29.124103546142578
2004-09-14,29.62070083618164
2004-09-15,29.05028533935547
2004-09-16,28.708044052124023
2004-09-17,27.882638931274414
2004-09-20,27.996715545654297
2004-09-21,28.781869888305664
2004-09-22,28.332260131835938
2004-09-23,28.419490814208984
2004-09-24,28.41278648376465
2004-09-27,28.587251663208008
2004-09-28,29.72134780883789
2004-09-29,29.714643478393555
2004-09-30,30.5534610748291
2004-10-01,30.224639892578125
2004-10-04,29.95623016357422
2004-10-05,30.727954864501953
2004-10-06,30.935983657836914
2004-10-07,30.60045623779297
2004-10-08,31.036632537841797
2004-10-11,30.76149559020996
2004-10-12,29.862276077270508
2004-10-13,29.506610870361328
2004-10-14,29.613998413085938
2004-10-15,30.050189971923828
2004-10-18,30.03005027770996
2004-10-19,30.05689239501953
2004-10-20,31.003068923950195
2004-10-21,31.144001007080078
2004-10-22,30.94938850402832
2004-10-25,31.982831954956055
2004-10-26,32.07006072998047
2004-10-27,31.405731201171875
2004-10-28,31.231239318847656
2004-10-29,31.888887405395508
2004-11-01,31.419143676757812
2004-11-02,30.741361618041992
2004-11-03,31.53993034362793
2004-11-04,32.17071533203125
2004-11-05,32.915611267089844
2004-11-08,32.8686408996582
2004-11-09,32.89549255371094
2004-11-10,32.44586944580078
2004-11-11,32.60692596435547
2004-11-12,33.31825256347656
2004-11-15,32.80153274536133
2004-11-16,33.01626968383789
2004-11-17,33.25114822387695
2004-11-18,32.633750915527344
2004-11-19,32.99613952636719
2004-11-22,33.143768310546875
2004-11-23,32.44586944580078
2004-11-24,32.12375259399414
2004-11-26,32.8753547668457
2004-11-29,33.09052658081055
2004-11-30,31.839799880981445
2004-12-01,31.71875762939453
2004-12-02,30.844573974609375
2004-12-03,31.187538146972656
2004-12-06,30.898393630981445
2004-12-07,30.46802520751953
2004-12-08,30.09819793701172
2004-12-09,30.225948333740234
2004-12-10,29.977148056030273
2004-12-13,30.629413604736328
2004-12-14,30.710113525390625
2004-12-15,30.763896942138672
2004-12-16,30.138532638549805
2004-12-17,30.024219512939453
2004-12-20,30.199050903320312
2004-12-21,30.562175750732422
2004-12-22,30.078022003173828
2004-12-23,30.23940658569336
2004-12-27,30.286474227905273
2004-12-28,30.05112648010254
2004-12-29,29.876285552978516
2004-12-30,29.95026397705078
2004-12-31,29.86282730102539
2005-01-03,28.484344482421875
2005-01-04,27.953126907348633
2005-01-05,28.02035140991211
2005-01-06,27.973299026489258
2005-01-07,27.90606117248535
2005-01-10,28.013643264770508
2005-01-11,28.538143157958984
2005-01-12,28.760032653808594
2005-01-13,28.437274932861328
2005-01-14,28.154863357543945
2005-01-18,28.55158805847168
2005-01-19,28.457448959350586
2005-01-20,28.080875396728516
2005-01-21,28.578493118286133
2005-01-24,28.37675666809082
2005-01-25,27.986740112304688
2005-01-26,28.2691707611084
2005-01-27,28.309490203857422
2005-01-28,28.242265701293945
2005-01-31,27.966571807861328
2005-02-01,27.865718841552734
2005-02-02,27.94640350341797
2005-02-03,27.4891414642334
2005-02-04,27.82535743713379
2005-02-07,27.260507583618164
2005-02-08,27.166379928588867
2005-02-09,27.233619689941406
2005-02-10,27.83208656311035
2005-02-11,28.32967758178711
2005-02-14,28.37675666809082
2005-02-15,28.470901489257812
2005-02-16,28.605403900146484
2005-02-17,28.665903091430664
2005-02-18,28.558305740356445
2005-02-22,29.92336082458496
2005-02-23,30.078022003173828
2005-02-24,30.057842254638672
2005-02-25,30.138532638549805
2005-02-28,30.259572982788086
2005-03-01,29.686721801757812
2005-03-02,29.72042465209961
2005-03-03,29.302583694458008
2005-03-04,30.077613830566406
2005-03-07,29.9832706451416
2005-03-08,30.906553268432617
2005-03-09,31.162656784057617
2005-03-10,30.825674057006836
2005-03-11,30.78523063659668
2005-03-14,30.522401809692383
2005-03-15,30.407840728759766
2005-03-16,30.286540985107422
2005-03-17,30.084365844726562
2005-03-18,30.165224075317383
2005-03-21,29.329557418823242
2005-03-22,28.783653259277344
2005-03-23,28.210819244384766
2005-03-24,28.163639068603516
2005-03-28,28.102991104125977
2005-03-29,27.954723358154297
2005-03-30,28.581478118896484
2005-03-31,28.47365379333496
2005-04-01,28.60843849182129
2005-04-04,28.183866500854492
2005-04-05,28.150178909301758
2005-04-06,28.412994384765625
2005-04-07,28.45343017578125
2005-04-08,28.291696548461914
2005-04-11,28.20408058166504
2005-04-12,28.1771240234375
2005-04-13,27.927766799926758
2005-04-14,27.098827362060547
2005-04-15,26.802305221557617
2005-04-18,27.53014373779297
2005-04-19,28.20408058166504
2005-04-20,27.77950668334961
2005-04-21,27.476238250732422
2005-04-22,27.44927978515625
2005-04-25,27.577320098876953
2005-04-26,27.125795364379883
2005-04-27,25.407272338867188
2005-04-28,24.82094383239746
2005-04-29,25.589223861694336
2005-05-02,25.42073631286621
2005-05-03,25.690303802490234
2005-05-04,26.189027786254883
2005-05-05,25.926189422607422
2005-05-06,25.690303802490234
2005-05-09,25.80488395690918
2005-05-10,25.292678833007812
2005-05-11,25.056814193725586
2005-05-12,24.32222557067871
2005-05-13,23.79656410217285
2005-05-16,23.655029296875
2005-05-17,23.93134117126465
2005-05-18,24.328960418701172
2005-05-19,24.254837036132812
2005-05-20,23.8774356842041
2005-05-23,24.200929641723633
2005-05-24,24.780500411987305
2005-05-25,24.726585388183594
2005-05-26,24.598541259765625
2005-05-27,25.402729034423828
2005-05-31,25.166210174560547
2005-06-01,25.517614364624023
2005-06-02,25.443267822265625
2005-06-03,25.71358299255371
2005-06-06,25.416236877441406
2005-06-07,24.92290496826172
2005-06-08,24.835073471069336
2005-06-09,24.91614532470703
2005-06-10,25.72710418701172
2005-06-13,26.037960052490234
2005-06-14,25.733854293823242
2005-06-15,25.943349838256836
2005-06-16,26.842161178588867
2005-06-17,27.024600982666016
2005-06-20,26.585342407226562
2005-06-21,26.706987380981445
2005-06-22,26.68671226501465
2005-06-23,26.70021629333496
2005-06-24,26.83538818359375
2005-06-27,26.40964126586914
2005-06-28,26.09878158569336
2005-06-29,26.848899841308594
2005-06-30,26.375852584838867
2005-07-01,26.30826759338379
2005-07-05,25.693307876586914
2005-07-06,25.848735809326172
2005-07-07,25.754135131835938
2005-07-08,25.71358299255371
2005-07-11,26.125810623168945
2005-07-12,25.990659713745117
2005-07-13,25.706823348999023
2005-07-14,25.254051208496094
2005-07-15,24.909400939941406
2005-07-18,24.92290496826172
2005-07-19,25.13240623474121
2005-07-20,25.287841796875
2005-07-21,25.909568786621094
2005-07-22,25.970380783081055
2005-07-25,25.639251708984375
2005-07-26,25.27433204650879
2005-07-27,25.591941833496094
