Date,KMB
2004-01-02,25.356225967407227
2004-01-05,25.36919403076172
2004-01-06,24.997394561767578
2004-01-07,25.295700073242188
2004-01-08,25.1357364654541
2004-01-09,25.243825912475586
2004-01-12,25.325960159301758
2004-01-13,24.79851722717285
2004-01-14,24.915252685546875
2004-01-15,24.772579193115234
2004-01-16,24.824464797973633
2004-01-20,24.651531219482422
2004-01-21,24.64287757873535
2004-01-22,24.413738250732422
2004-01-23,24.448333740234375
2004-01-26,25.291378021240234
2004-01-27,25.33460807800293
2004-01-28,25.07521629333496
2004-01-29,25.507539749145508
2004-01-30,25.533477783203125
2004-02-02,25.602663040161133
2004-02-03,25.55078125
2004-02-04,25.624271392822266
2004-02-05,25.879348754882812
2004-02-06,25.663175582885742
2004-02-09,25.93987274169922
2004-02-10,25.870695114135742
2004-02-11,26.35491180419922
2004-02-12,26.086864471435547
2004-02-13,26.216569900512695
2004-02-17,26.367883682250977
2004-02-18,26.281415939331055
2004-02-19,26.76994514465332
2004-02-20,27.18067169189453
2004-02-23,27.53950309753418
2004-02-24,27.461681365966797
2004-02-25,27.924270629882812
2004-02-26,28.0107364654541
2004-02-27,27.963184356689453
2004-03-01,28.1145076751709
2004-03-02,28.019390106201172
2004-03-03,28.036775588989258
2004-03-04,27.854089736938477
2004-03-05,27.888877868652344
2004-03-08,27.880172729492188
2004-03-09,27.645275115966797
2004-03-10,27.78883171081543
2004-03-11,27.07105827331543
2004-03-12,27.110198974609375
2004-03-15,26.714326858520508
2004-03-16,26.753490447998047
2004-03-17,26.901391983032227
2004-03-18,26.870943069458008
2004-03-19,26.723033905029297
2004-03-22,26.244524002075195
2004-03-23,26.29237937927246
2004-03-24,26.253219604492188
2004-03-25,26.727388381958008
2004-03-26,26.979686737060547
2004-03-29,27.001447677612305
2004-03-30,26.901391983032227
2004-03-31,27.449506759643555
2004-04-01,27.60611343383789
2004-04-02,27.662670135498047
2004-04-05,27.814926147460938
2004-04-06,28.0280818939209
2004-04-07,28.0280818939209
2004-04-08,27.7540283203125
2004-04-12,27.653972625732422
2004-04-13,27.688783645629883
2004-04-14,27.86713409423828
2004-04-15,27.854089736938477
2004-04-16,27.94544219970703
2004-04-19,27.975875854492188
2004-04-20,28.110729217529297
2004-04-21,28.171642303466797
2004-04-22,28.571853637695312
2004-04-23,28.684951782226562
2004-04-26,28.341289520263672
2004-04-27,28.3282527923584
2004-04-28,27.932388305664062
2004-04-29,28.058528900146484
2004-04-30,28.47180938720703
2004-05-03,28.898122787475586
2004-05-04,28.850263595581055
2004-05-05,28.602310180664062
2004-05-06,28.558801651000977
2004-05-07,28.262989044189453
2004-05-10,27.9932861328125
2004-05-11,27.806230545043945
2004-05-12,27.841041564941406
2004-05-13,27.7540283203125
2004-05-14,27.67137336730957
2004-05-17,27.458213806152344
2004-05-18,27.488677978515625
2004-05-19,27.258108139038086
2004-05-20,27.5974178314209
2004-05-21,27.914987564086914
2004-05-24,27.810575485229492
2004-05-25,28.406557083129883
2004-05-26,28.445703506469727
2004-05-27,28.828510284423828
2004-05-28,28.667556762695312
2004-06-01,28.524003982543945
2004-06-02,28.69032859802246
2004-06-03,28.418960571289062
2004-06-04,28.331430435180664
2004-06-07,28.834758758544922
2004-06-08,28.966068267822266
2004-06-09,28.9398136138916
2004-06-10,28.834758758544922
2004-06-14,28.585275650024414
2004-06-15,28.580907821655273
2004-06-16,28.861019134521484
2004-06-17,28.87415313720703
2004-06-18,29.040483474731445
2004-06-21,28.9398136138916
2004-06-22,28.98357391357422
2004-06-23,28.865400314331055
2004-06-24,28.79537010192871
2004-06-25,28.383939743041992
2004-06-28,28.777860641479492
2004-06-29,28.83039093017578
2004-06-30,28.834758758544922
2004-07-01,28.869773864746094
2004-07-02,28.817258834838867
2004-07-06,28.75597381591797
2004-07-07,28.725337982177734
2004-07-08,28.620290756225586
2004-07-09,28.85664176940918
2004-07-12,28.624662399291992
2004-07-13,28.87415313720703
2004-07-14,28.808500289916992
2004-07-15,28.773488998413086
