Date,GS
2004-01-02,68.69065856933594
2004-01-05,68.72602844238281
2004-01-06,68.31583404541016
2004-01-07,69.75149536132812
2004-01-08,69.8363265991211
2004-01-09,68.95231628417969
2004-01-12,69.15034484863281
2004-01-13,69.07252502441406
2004-01-14,70.28185272216797
2004-01-15,71.52654266357422
2004-01-16,71.0597915649414
2004-01-20,71.00322723388672
2004-01-21,71.7811279296875
2004-01-22,71.20124816894531
2004-01-23,70.54188537597656
2004-01-26,72.51277923583984
2004-01-27,71.6407699584961
2004-01-28,69.69114685058594
2004-01-29,70.47102355957031
2004-01-30,70.5773696899414
2004-02-02,70.76167297363281
2004-02-03,71.71165466308594
2004-02-04,70.71916198730469
2004-02-05,70.07398986816406
2004-02-06,71.84635925292969
2004-02-09,72.22215270996094
2004-02-10,72.4419174194336
2004-02-11,75.92294311523438
2004-02-12,76.1427230834961
2004-02-13,75.0438003540039
2004-02-17,75.80241394042969
2004-02-18,75.78821563720703
2004-02-19,74.9870834350586
2004-02-20,75.51882934570312
2004-02-23,75.62516784667969
2004-02-24,73.95911407470703
2004-02-25,75.02254486083984
2004-02-26,75.35575103759766
2004-02-27,75.05802917480469
2004-03-01,76.10730743408203
2004-03-02,75.43374633789062
2004-03-03,75.51177215576172
2004-03-04,76.93677520751953
2004-03-05,77.3125228881836
2004-03-08,76.10730743408203
2004-03-09,74.98001098632812
2004-03-10,73.41317749023438
2004-03-11,73.01614379882812
2004-03-12,74.39158630371094
2004-03-15,72.89566040039062
2004-03-16,73.06578826904297
2004-03-17,73.73931884765625
2004-03-18,73.51954650878906
2004-03-19,72.7822265625
2004-03-22,71.81802368164062
2004-03-23,71.88185119628906
2004-03-24,70.35758209228516
2004-03-25,72.2079849243164
2004-03-26,73.55498504638672
2004-03-29,73.88819885253906
2004-03-30,73.91657257080078
2004-03-31,73.98038482666016
2004-04-01,75.150146484375
2004-04-02,75.11470794677734
2004-04-05,74.9374771118164
2004-04-06,74.85240173339844
2004-04-07,74.6184310913086
2004-04-08,74.9374771118164
2004-04-12,75.02254486083984
2004-04-13,73.10833740234375
2004-04-14,71.89599609375
2004-04-15,72.12287139892578
2004-04-16,73.27850341796875
2004-04-19,72.65461730957031
2004-04-20,70.83258819580078
2004-04-21,70.89637756347656
2004-04-22,72.17254638671875
2004-04-23,71.36226654052734
2004-04-26,71.88819885253906
2004-04-27,71.71764373779297
2004-04-28,69.93380737304688
2004-04-29,69.83428192138672
2004-04-30,68.76112365722656
2004-05-03,68.88191223144531
2004-05-04,69.20174407958984
2004-05-05,68.33467864990234
2004-05-06,67.62397766113281
2004-05-07,66.12437438964844
2004-05-10,65.45631408691406
2004-05-11,66.17411041259766
2004-05-12,66.0390853881836
2004-05-13,66.4157943725586
2004-05-14,66.81376647949219
2004-05-17,65.8685302734375
2004-05-18,66.31627655029297
2004-05-19,65.8685302734375
2004-05-20,65.66950225830078
2004-05-21,65.20048522949219
2004-05-24,65.19334411621094
2004-05-25,66.17411041259766
2004-05-26,66.37312316894531
2004-05-27,66.30206298828125
2004-05-28,66.74271392822266
2004-06-01,66.095947265625
2004-06-02,65.22177124023438
2004-06-03,64.35470581054688
2004-06-04,65.04412841796875
2004-06-07,66.50813293457031
2004-06-08,66.8066635131836
2004-06-09,66.095947265625
2004-06-10,66.10302734375
2004-06-14,65.05120086669922
