Date,QCOM
2004-01-02,16.545495986938477
2004-01-05,16.894182205200195
2004-01-06,16.733734130859375
2004-01-07,17.205833435058594
2004-01-08,18.190170288085938
2004-01-09,18.19635009765625
2004-01-12,18.54194450378418
2004-01-13,18.341371536254883
2004-01-14,18.548120498657227
2004-01-15,18.489484786987305
2004-01-16,18.41234016418457
2004-01-20,18.16857147216797
2004-01-21,18.134626388549805
2004-01-22,17.622404098510742
2004-01-23,17.566858291625977
2004-01-26,18.03589630126953
2004-01-27,17.61932373046875
2004-01-28,17.45269775390625
2004-01-29,17.755088806152344
2004-01-30,18.085256576538086
2004-02-02,17.761266708374023
2004-02-03,17.724233627319336
2004-02-04,17.400243759155273
2004-02-05,17.545265197753906
2004-02-06,17.801374435424805
2004-02-09,17.63783073425293
2004-02-10,17.9247989654541
2004-02-11,18.32285499572754
2004-02-12,18.088342666625977
2004-02-13,17.801374435424805
2004-02-17,18.375314712524414
2004-02-18,18.224109649658203
2004-02-19,18.14080047607422
2004-02-20,18.329030990600586
2004-02-23,19.26399803161621
2004-02-24,18.8474178314209
2004-02-25,19.177982330322266
2004-02-26,19.678422927856445
2004-02-27,19.489988327026367
2004-03-01,19.384958267211914
2004-03-02,19.156352996826172
2004-03-03,19.07912254333496
2004-03-04,19.329345703125
2004-03-05,19.73404312133789
2004-03-08,19.653717041015625
2004-03-09,19.693876266479492
2004-03-10,19.61664581298828
2004-03-11,19.085298538208008
2004-03-12,19.468360900878906
2004-03-15,19.40657615661621
2004-03-16,19.81127166748047
2004-03-17,19.993534088134766
2004-03-18,20.027517318725586
2004-03-19,19.882320404052734
2004-03-22,19.2490177154541
2004-03-23,19.026607513427734
2004-03-24,19.21813201904297
2004-03-25,19.437467575073242
2004-03-26,19.07912254333496
2004-03-29,20.268476486206055
2004-03-30,20.25921058654785
2004-03-31,20.478538513183594
2004-04-01,20.478538513183594
2004-04-02,21.077852249145508
2004-04-05,21.374420166015625
2004-04-06,21.10257339477539
2004-04-07,21.14581871032715
2004-04-08,20.81526756286621
2004-04-12,21.056230545043945
2004-04-13,20.744216918945312
2004-04-14,20.80291175842285
2004-04-15,20.40131378173828
2004-04-16,20.036779403686523
2004-04-19,20.57122230529785
2004-04-20,19.903949737548828
2004-04-21,20.339523315429688
2004-04-22,20.9697322845459
2004-04-23,20.691701889038086
2004-04-26,20.4352970123291
2004-04-27,20.33026695251465
2004-04-28,20.114013671875
2004-04-29,19.897775650024414
2004-04-30,19.295368194580078
2004-05-03,19.764928817749023
2004-05-04,19.971912384033203
2004-05-05,20.083114624023438
2004-05-06,19.743305206298828
2004-05-07,19.539419174194336
2004-05-10,19.65680503845215
2004-05-11,19.993534088134766
2004-05-12,19.740211486816406
2004-05-13,19.916303634643555
2004-05-14,19.662986755371094
2004-05-17,19.326263427734375
2004-05-18,19.777284622192383
2004-05-19,19.635173797607422
2004-05-20,19.83289337158203
2004-05-21,20.203596115112305
2004-05-24,20.24994468688965
2004-05-25,20.6669864654541
2004-05-26,20.595823287963867
2004-05-27,20.6669921875
2004-05-28,20.750518798828125
2004-06-01,21.05371856689453
2004-06-02,21.032060623168945
2004-06-03,20.926862716674805
2004-06-04,20.815481185913086
2004-06-07,21.248628616333008
2004-06-08,21.455923080444336
2004-06-09,21.180564880371094
2004-06-10,21.61370277404785
2004-06-14,21.261003494262695
2004-06-15,21.47139549255371
2004-06-16,21.270292282104492
2004-06-17,21.115598678588867
2004-06-18,20.571073532104492
2004-06-21,20.261688232421875
2004-06-22,21.022777557373047
2004-06-23,21.007308959960938
2004-06-24,21.248628616333008
2004-06-25,21.372385025024414
2004-06-28,21.245527267456055
2004-06-29,22.13657569885254
2004-06-30,22.57899284362793
2004-07-01,22.291255950927734
2004-07-02,22.359333038330078
2004-07-06,21.836469650268555
2004-07-07,22.11491584777832
2004-07-08,21.858123779296875
2004-07-09,21.83028221130371
2004-07-12,21.486848831176758
2004-07-13,21.740554809570312
2004-07-14,21.54254722595215
2004-07-15,21.310508728027344
2004-07-16,21.124879837036133
2004-07-19,21.09084701538086
2004-07-20,21.51161003112793
2004-07-21,20.939254760742188
2004-07-22,22.43049430847168
2004-07-23,21.93547248840332
2004-07-26,21.811710357666016
2004-07-27,21.790054321289062
2004-07-28,21.675579071044922
2004-07-29,21.65703010559082
2004-07-30,21.41260528564453
2004-08-02,22.29435920715332
2004-08-03,21.95712661743164
2004-08-04,22.056137084960938
2004-08-05,21.579669952392578
2004-08-06,20.89902687072754
2004-08-09,21.23933982849121
2004-08-10,21.558027267456055
2004-08-11,21.19913101196289
2004-08-12,21.403324127197266
2004-08-13,21.400232315063477
2004-08-16,21.607513427734375
2004-08-17,21.632266998291016
2004-08-18,22.288171768188477
2004-08-19,21.972593307495117
2004-08-20,23.018314361572266
2004-08-23,23.494773864746094
2004-08-24,23.519529342651367
2004-08-25,23.75509262084961
2004-08-26,23.513330459594727
2004-08-27,23.82328224182129
2004-08-30,23.376953125
2004-08-31,23.587717056274414
2004-09-01,23.550525665283203
2004-09-02,24.065052032470703
2004-09-03,23.860488891601562
2004-09-07,24.381214141845703
2004-09-08,24.492794036865234
2004-09-09,24.57958221435547
2004-09-10,24.48039436340332
2004-09-13,25.04450798034668
2004-09-14,25.35447120666504
2004-09-15,25.14990997314453
2004-09-16,25.04450798034668
2004-09-17,24.071252822875977
2004-09-20,23.81708335876465
2004-09-21,24.45559310913086
2004-09-22,23.9782657623291
2004-09-23,24.0030574798584
2004-09-24,23.711700439453125
2004-09-27,23.562923431396484
2004-09-28,23.612512588500977
2004-09-29,24.1456356048584
2004-09-30,24.201431274414062
2004-10-01,25.075504302978516
2004-10-04,25.397872924804688
2004-10-05,25.53424644470215
2004-10-06,25.924787521362305
2004-10-07,25.652021408081055
2004-10-08,25.366872787475586
2004-10-11,25.546649932861328
2004-10-12,25.751220703125
2004-10-13,25.757410049438477
2004-10-14,26.135555267333984
2004-10-15,26.32774543762207
2004-10-18,27.028236389160156
2004-10-19,26.53231430053711
2004-10-20,26.91045379638672
2004-10-21,27.325790405273438
2004-10-22,26.036380767822266
2004-10-25,25.503250122070312
2004-10-26,24.48659896850586
2004-10-27,25.428855895996094
2004-10-28,25.7202091217041
2004-10-29,25.78839683532715
2004-11-01,25.143701553344727
2004-11-02,25.342071533203125
2004-11-03,24.71596336364746
2004-11-04,23.600120544433594
2004-11-05,23.724090576171875
2004-11-08,23.96586799621582
2004-11-09,24.176631927490234
2004-11-10,24.07745933532715
2004-11-11,24.85234832763672
2004-11-12,24.920528411865234
2004-11-15,24.91432762145996
2004-11-16,24.57337760925293
2004-11-17,25.298677444458008
2004-11-18,25.565244674682617
2004-11-19,24.87092399597168
2004-11-22,25.410263061523438
2004-11-23,25.249086380004883
2004-11-24,25.825624465942383
2004-11-26,25.664430618286133
2004-11-29,25.78220558166504
2004-11-30,25.80081558227539
2004-12-01,26.693498611450195
2004-12-02,27.040630340576172
2004-12-03,26.96624183654785
2004-12-06,26.910362243652344
2004-12-07,26.612319946289062
2004-12-08,27.071802139282227
2004-12-09,26.966259002685547
2004-12-10,26.88553237915039
2004-12-13,27.258071899414062
2004-12-14,27.344999313354492
2004-12-15,27.531269073486328
2004-12-16,26.978660583496094
2004-12-17,26.922786712646484
2004-12-20,26.6619873046875
2004-12-21,27.307748794555664
2004-12-22,27.59337615966797
2004-12-23,27.66166114807129
2004-12-27,26.972457885742188
2004-12-28,27.01592254638672
2004-12-29,26.599910736083984
2004-12-30,26.506771087646484
2004-12-31,26.326711654663086
2005-01-03,26.277042388916016
2005-01-04,26.159061431884766
2005-01-05,26.27081871032715
2005-01-06,26.69924545288086
2005-01-07,26.835847854614258
2005-01-10,26.792381286621094
2005-01-11,26.848281860351562
2005-01-12,26.773761749267578
2005-01-13,26.140424728393555
2005-01-14,26.208740234375
2005-01-18,26.463315963745117
2005-01-19,25.500886917114258
2005-01-20,23.458087921142578
2005-01-21,23.47049903869629
2005-01-24,22.688152313232422
2005-01-25,22.762662887573242
2005-01-26,22.91168785095215
2005-01-27,22.439800262451172
2005-01-28,22.5701847076416
2005-01-31,23.122791290283203
2005-02-01,22.868215560913086
2005-02-02,22.59501075744629
2005-02-03,22.421165466308594
2005-02-04,22.942733764648438
2005-02-07,22.340436935424805
2005-02-08,22.50187873840332
2005-02-09,22.16039276123047
2005-02-10,21.92443084716797
2005-02-11,22.45220375061035
2005-02-14,23.07932472229004
2005-02-15,22.89926528930664
2005-02-16,22.346662521362305
2005-02-17,21.949268341064453
2005-02-18,21.5084171295166
2005-02-22,21.44632911682129
2005-02-23,21.23479652404785
2005-02-24,22.093393325805664
2005-02-25,23.020431518554688
2005-02-28,22.429367065429688
2005-03-01,22.622238159179688
2005-03-02,22.572465896606445
2005-03-03,22.031169891357422
2005-03-04,22.087175369262695
2005-03-07,23.26306915283203
2005-03-08,22.578691482543945
2005-03-09,22.85866355895996
2005-03-10,23.070209503173828
2005-03-11,23.238195419311523
2005-03-14,23.306631088256836
2005-03-15,23.711048126220703
2005-03-16,23.493289947509766
2005-03-17,22.945770263671875
2005-03-18,22.69068145751953
2005-03-21,22.72800636291504
2005-03-22,22.398258209228516
2005-03-23,22.59113311767578
2005-03-24,22.24892807006836
2005-03-28,22.516468048095703
2005-03-29,22.24271583557129
2005-03-30,22.964427947998047
2005-03-31,22.790218353271484
2005-04-01,22.118276596069336
2005-04-04,22.448030471801758
2005-04-05,22.180496215820312
2005-04-06,21.85073471069336
2005-04-07,21.8818416595459
2005-04-08,21.713871002197266
2005-04-11,21.45877456665039
2005-04-12,21.527210235595703
2005-04-13,20.46951675415039
2005-04-14,20.886371612548828
2005-04-15,20.3388671875
2005-04-18,20.23308563232422
2005-04-19,20.407297134399414
2005-04-20,20.66238784790039
2005-04-21,21.595653533935547
2005-04-22,21.1041316986084
2005-04-25,21.570755004882812
2005-04-26,21.464984893798828
2005-04-27,21.993837356567383
2005-04-28,21.676538467407227
2005-04-29,21.70764923095703
2005-05-02,21.80718231201172
2005-05-03,21.570755004882812
2005-05-04,22.180496215820312
2005-05-05,21.875635147094727
2005-05-06,22.13694190979004
2005-05-09,22.423147201538086
2005-05-10,22.143163681030273
2005-05-11,22.49158477783203
2005-05-12,22.205387115478516
2005-05-13,21.962738037109375
2005-05-16,21.98762321472168
2005-05-17,22.454246520996094
2005-05-18,22.740453720092773
2005-05-19,22.77778434753418
2005-05-20,23.225744247436523
2005-05-23,23.13863754272461
2005-05-24,23.082645416259766
2005-05-25,22.93294906616211
2005-05-26,23.344594955444336
2005-05-27,23.17620086669922
2005-05-31,23.244808197021484
2005-06-01,23.762466430664062
2005-06-02,23.856016159057617
2005-06-03,23.450620651245117
2005-06-06,23.569116592407227
2005-06-07,23.238569259643555
2005-06-08,23.032752990722656
2005-06-09,22.789514541625977
2005-06-10,22.452720642089844
2005-06-13,22.53380584716797
2005-06-14,21.87894058227539
2005-06-15,21.741718292236328
2005-06-16,21.810321807861328
2005-06-17,21.76667594909668
2005-06-20,21.96000099182129
2005-06-21,21.903873443603516
2005-06-22,21.772903442382812
2005-06-23,21.20534896850586
2005-06-24,20.943405151367188
2005-06-27,20.94964027404785
2005-06-28,20.893505096435547
2005-06-29,20.91844940185547
2005-06-30,20.58790397644043
2005-07-01,20.955869674682617
2005-07-05,20.94964027404785
2005-07-06,20.831140518188477
2005-07-07,20.874794006347656
2005-07-08,21.67311668395996
2005-07-11,21.953773498535156
2005-07-12,21.89139747619629
2005-07-13,21.779136657714844
2005-07-14,22.047321319580078
2005-07-15,22.190773010253906
2005-07-18,21.903873443603516
2005-07-19,22.327983856201172
2005-07-20,22.508852005004883
2005-07-21,24.330015182495117
2005-07-22,24.510889053344727
2005-07-25,24.50465965270996
2005-07-26,24.660579681396484
2005-07-27,25.041019439697266
2005-07-28,24.810258865356445
2005-07-29,24.62315559387207
2005-08-01,24.323780059814453
2005-08-02,24.729183197021484
2005-08-03,24.90381622314453
2005-08-04,24.673049926757812
2005-08-05,24.42357063293457
2005-08-08,24.448522567749023
2005-08-09,24.180347442626953
2005-08-10,24.45476531982422
2005-08-11,25.246837615966797
2005-08-12,25.44019317626953
2005-08-15,25.858051300048828
2005-08-16,25.1033935546875
2005-08-17,25.022310256958008
2005-08-18,24.90381622314453
2005-08-19,25.078449249267578
2005-08-22,25.290508270263672
2005-08-23,25.12834358215332
2005-08-24,24.765790939331055
2005-08-25,25.040822982788086
2005-08-26,24.90955924987793
2005-08-29,24.98456382751465
2005-08-30,24.915800094604492
2005-08-31,24.822031021118164
2005-09-01,25.003320693969727
2005-09-02,24.97832679748535
2005-09-06,25.347122192382812
2005-09-07,25.378376007080078
2005-09-08,26.090953826904297
2005-09-09,26.759796142578125
2005-09-12,26.597280502319336
2005-09-13,26.784812927246094
2005-09-14,26.297245025634766
2005-09-15,26.40974998474121
2005-09-16,27.07858657836914
2005-09-19,26.69729232788086
2005-09-20,27.14110565185547
2005-09-21,27.334877014160156
2005-09-22,27.503652572631836
2005-09-23,27.978702545166016
2005-09-26,27.753684997558594
2005-09-27,27.722429275512695
2005-09-28,27.82245635986328
2005-09-29,28.122493743896484
2005-09-30,27.972463607788086
2005-10-03,28.159992218017578
2005-10-04,28.510038375854492
2005-10-05,28.222496032714844
2005-10-06,27.59740447998047
2005-10-07,27.453651428222656
2005-10-10,27.303619384765625
2005-10-11,27.16610336303711
2005-10-12,26.47226905822754
2005-10-13,26.065956115722656
2005-10-14,26.209732055664062
2005-10-17,26.37224578857422
2005-10-18,26.534767150878906
2005-10-19,27.516162872314453
2005-10-20,27.09734535217285
2005-10-21,28.12873077392578
2005-10-24,28.56630516052246
2005-10-25,28.228757858276367
2005-10-26,28.034975051879883
2005-10-27,26.909826278686523
2005-10-28,25.672157287597656
2005-10-31,24.853294372558594
2005-11-01,24.684532165527344
2005-11-02,25.24085235595703
2005-11-03,27.516162872314453
2005-11-04,28.003738403320312
2005-11-07,27.903697967529297
2005-11-08,28.310007095336914
2005-11-09,27.92246437072754
2005-11-10,28.541296005249023
2005-11-11,28.391267776489258
2005-11-14,28.46001625061035
2005-11-15,28.091222763061523
2005-11-16,28.09747886657715
2005-11-17,28.46001625061035
2005-11-18,28.710067749023438
2005-11-21,28.8038272857666
2005-11-22,28.710067749023438
2005-11-23,28.760059356689453
2005-11-25,28.8663330078125
2005-11-28,28.778833389282227
2005-11-29,28.46628189086914
2005-11-30,28.422523498535156
2005-12-01,28.503787994384766
2005-12-02,28.25374984741211
2005-12-05,27.86543083190918
2005-12-06,28.022024154663086
2005-12-07,28.18484878540039
2005-12-08,27.690052032470703
2005-12-09,27.840373992919922
2005-12-12,28.310115814208984
2005-12-13,28.71099090576172
2005-12-14,28.955238342285156
2005-12-15,28.64834976196289
2005-12-16,28.153532028198242
2005-12-19,27.364370346069336
2005-12-20,27.614906311035156
2005-12-21,27.552265167236328
2005-12-22,27.802785873413086
2005-12-23,27.802785873413086
2005-12-27,27.333051681518555
2005-12-28,27.339317321777344
2005-12-29,27.270404815673828
2005-12-30,26.9822998046875
2006-01-03,27.55852508544922
2006-01-04,28.454177856445312
2006-01-05,28.316389083862305
2006-01-06,29.662994384765625
2006-01-09,29.79453468322754
2006-01-10,29.675527572631836
2006-01-11,30.564908981323242
2006-01-12,30.690162658691406
2006-01-13,30.464693069458008
2006-01-17,30.139005661010742
2006-01-18,29.907270431518555
2006-01-19,30.483489990234375
2006-01-20,29.412456512451172
2006-01-23,29.387401580810547
2006-01-24,30.10769271850586
2006-01-25,29.80078887939453
2006-01-26,29.75067710876465
2006-01-27,30.076374053955078
2006-01-30,30.42085075378418
2006-01-31,30.038795471191406
2006-02-01,30.02000617980957
2006-02-02,29.362354278564453
2006-02-03,28.861295700073242
2006-02-06,28.767343521118164
2006-02-07,28.642066955566406
2006-02-08,29.418729782104492
2006-02-09,28.911399841308594
2006-02-10,29.224573135375977
2006-02-13,28.779874801635742
2006-02-14,29.813318252563477
2006-02-15,29.650463104248047
2006-02-16,30.126476287841797
2006-02-17,30.258014678955078
2006-02-21,29.399938583374023
2006-02-22,29.98354148864746
2006-02-23,29.450138092041016
2006-02-24,29.613300323486328
2006-02-27,30.341238021850586
2006-02-28,29.594463348388672
2006-03-01,30.14042854309082
2006-03-02,30.014923095703125
2006-03-03,29.889413833618164
2006-03-06,29.644672393798828
2006-03-07,30.033761978149414
2006-03-08,31.08172607421875
2006-03-09,30.18436050415039
2006-03-10,30.121606826782227
2006-03-13,30.25337791442871
2006-03-14,30.90601921081543
2006-03-15,31.257431030273438
2006-03-16,31.295103073120117
2006-03-17,31.85985565185547
2006-03-20,31.57120704650879
2006-03-21,31.11937141418457
2006-03-22,31.21978759765625
2006-03-23,31.113096237182617
2006-03-24,30.968765258789062
2006-03-27,31.194671630859375
2006-03-28,30.97504234313965
2006-03-29,31.828495025634766
2006-03-30,31.910064697265625
2006-03-31,31.759456634521484
2006-04-03,32.117149353027344
2006-04-04,32.51250076293945
2006-04-05,32.42463684082031
2006-04-06,32.48112106323242
2006-04-07,32.606624603271484
2006-04-10,32.3681755065918
2006-04-11,32.24892807006836
2006-04-12,31.98538589477539
2006-04-13,32.3054084777832
2006-04-17,32.016754150390625
2006-04-18,32.65056610107422
2006-04-19,32.94549560546875
2006-04-20,32.53132629394531
2006-04-21,32.24892807006836
2006-04-24,32.81999206542969
2006-04-25,32.31797790527344
2006-04-26,32.05439376831055
2006-04-27,32.65056610107422
2006-04-28,32.21756362915039
2006-05-01,31.784570693969727
2006-05-02,32.04184341430664
2006-05-03,32.474853515625
2006-05-04,32.84510040283203
2006-05-05,32.983154296875
2006-05-08,33.04590606689453
2006-05-09,33.09611129760742
2006-05-10,32.418365478515625
2006-05-11,31.000164031982422
2006-05-12,30.742856979370117
2006-05-15,30.5169620513916
2006-05-16,30.240821838378906
2006-05-17,29.431312561035156
2006-05-18,29.086181640625
2006-05-19,29.537981033325195
2006-05-22,29.261884689331055
2006-05-23,28.477460861206055
2006-05-24,28.685110092163086
2006-05-25,28.980819702148438
2006-05-26,28.961950302124023
2006-05-30,28.137699127197266
2006-05-31,28.445993423461914
2006-06-01,29.603731155395508
2006-06-02,29.572265625
2006-06-05,28.74172019958496
2006-06-06,29.050039291381836
2006-06-07,28.61588478088379
2006-06-08,27.96780776977539
2006-06-09,27.332326889038086
2006-06-12,25.916629791259766
2006-06-13,26.32561492919922
2006-06-14,27.212772369384766
2006-06-15,28.24466896057129
2006-06-16,27.653215408325195
2006-06-19,27.30086326599121
2006-06-20,27.628061294555664
2006-06-21,27.810514450073242
2006-06-22,26.03618049621582
2006-06-23,24.853281021118164
2006-06-26,25.22451400756836
2006-06-27,24.34364128112793
2006-06-28,24.834413528442383
2006-06-29,25.50765609741211
2006-06-30,25.21193504333496
2006-07-03,24.828126907348633
2006-07-05,24.016456604003906
2006-07-06,24.20522689819336
2006-07-07,23.90949821472168
2006-07-10,23.783655166625977
2006-07-11,24.45689582824707
2006-07-12,23.62636375427246
2006-07-13,23.00344467163086
2006-07-14,22.88390350341797
2006-07-17,23.00344467163086
2006-07-18,23.531984329223633
2006-07-19,23.11041259765625
2006-07-20,22.556724548339844
2006-07-21,21.66954803466797
2006-07-24,22.260986328125
2006-07-25,21.568878173828125
2006-07-26,22.00932502746582
2006-07-27,21.719886779785156
2006-07-28,22.518966674804688
2006-07-31,22.185489654541016
2006-08-01,21.694721221923828
2006-08-02,21.625505447387695
2006-08-03,21.93382453918457
2006-08-04,22.21695899963379
2006-08-07,21.770225524902344
2006-08-08,21.30461311340332
2006-08-09,21.09697914123535
2006-08-10,21.329788208007812
2006-08-11,20.958555221557617
2006-08-14,21.134729385375977
