Date,JNJ
2004-01-02,27.511760711669922
2004-01-05,27.671531677246094
2004-01-06,27.549041748046875
2004-01-07,27.559696197509766
2004-01-08,27.687509536743164
2004-01-09,27.37331199645996
2004-01-12,27.90053367614746
2004-01-13,27.82597541809082
2004-01-14,27.692840576171875
2004-01-15,27.60762596130371
2004-01-16,26.867380142211914
2004-01-20,27.42654800415039
2004-01-21,27.991071701049805
2004-01-22,28.251996994018555
2004-01-23,28.22538948059082
2004-01-26,28.491682052612305
2004-01-27,28.374513626098633
2004-01-28,28.31060791015625
2004-01-29,28.699357986450195
2004-01-30,28.449060440063477
2004-02-02,28.507638931274414
2004-02-03,28.672740936279297
2004-02-04,29.013559341430664
2004-02-05,29.024221420288086
2004-02-06,28.837831497192383
2004-02-09,28.8165225982666
2004-02-10,28.986948013305664
2004-02-11,29.10410499572754
2004-02-12,29.20574188232422
2004-02-13,29.007822036743164
2004-02-17,29.10410499572754
2004-02-18,28.825950622558594
2004-02-19,28.65477752685547
2004-02-20,28.510364532470703
2004-02-23,28.376636505126953
2004-02-24,28.981082916259766
2004-02-25,28.91689682006836
2004-02-26,28.868759155273438
2004-02-27,28.83665657043457
2004-03-01,28.756431579589844
2004-03-02,28.28036117553711
2004-03-03,28.467571258544922
2004-03-04,28.365938186645508
2004-03-05,28.419429779052734
2004-03-08,28.40338134765625
2004-03-09,28.173376083374023
2004-03-10,27.691967010498047
2004-03-11,27.33893394470215
2004-03-12,27.124958038330078
2004-03-15,27.05007553100586
2004-03-16,27.322877883911133
2004-03-17,27.215898513793945
2004-03-18,27.269384384155273
2004-03-19,26.77191734313965
2004-03-22,26.47772789001465
2004-03-23,26.557971954345703
2004-03-24,26.557971954345703
2004-03-25,26.852149963378906
2004-03-26,26.814722061157227
2004-03-29,27.05007553100586
2004-03-30,26.969816207885742
2004-03-31,27.130308151245117
2004-04-01,27.02332878112793
2004-04-02,27.37636375427246
2004-04-05,27.558246612548828
2004-04-06,27.536855697631836
2004-04-07,27.48335075378418
2004-04-08,27.210540771484375
2004-04-12,27.38707160949707
2004-04-13,27.48869514465332
2004-04-14,28.135913848876953
2004-04-15,29.162940979003906
2004-04-16,28.954330444335938
2004-04-19,28.841997146606445
2004-04-20,28.419429779052734
2004-04-21,28.7136287689209
2004-04-22,28.692222595214844
2004-04-23,28.7136287689209
2004-04-26,28.831296920776367
2004-04-27,29.077350616455078
2004-04-28,28.986412048339844
2004-04-29,28.93829345703125
2004-04-30,28.900854110717773
2004-05-03,29.38225555419922
2004-05-04,29.312713623046875
2004-05-05,28.92759132385254
2004-05-06,29.334110260009766
2004-05-07,29.58016586303711
2004-05-10,29.660415649414062
2004-05-11,29.494583129882812
