Date,MO
2004-01-02,3.348954916000366
2004-01-05,3.323831081390381
2004-01-06,3.2987067699432373
2004-01-07,3.2551965713500977
2004-01-08,3.253972053527832
2004-01-09,3.2355868816375732
2004-01-12,3.255810499191284
2004-01-13,3.259486436843872
2004-01-14,3.301769971847534
2004-01-15,3.3244433403015137
2004-01-16,3.28951358795166
2004-01-20,3.260711908340454
2004-01-21,3.3091230392456055
2004-01-22,3.310962677001953
2004-01-23,3.3385379314422607
2004-01-26,3.3587610721588135
2004-01-27,3.3704023361206055
2004-01-28,3.4102351665496826
2004-01-29,3.4286186695098877
2004-01-30,3.406559467315674
2004-02-02,3.377143621444702
2004-02-03,3.378369092941284
2004-02-04,3.3679535388946533
2004-02-05,3.38449764251709
2004-02-06,3.3569211959838867
2004-02-09,3.335472822189331
2004-02-10,3.3814337253570557
2004-02-11,3.3661134243011475
2004-02-12,3.3851115703582764
2004-02-13,3.349569320678711
2004-02-17,3.3795952796936035
2004-02-18,3.3777568340301514
2004-02-19,3.3851115703582764
2004-02-20,3.3918516635894775
2004-02-23,3.470290184020996
2004-02-24,3.44210147857666
2004-02-25,3.4672255516052246
2004-02-26,3.494189739227295
2004-02-27,3.5266683101654053
2004-03-01,3.5652735233306885
2004-03-02,3.562209367752075
2004-03-03,3.5511791706085205
2004-03-04,3.520538568496704
2004-03-05,3.5677270889282227
2004-03-08,3.568338632583618
2004-03-09,3.565887451171875
2004-03-10,3.5812063217163086
2004-03-11,3.491922616958618
2004-03-12,3.367302656173706
2004-03-15,3.3338210582733154
2004-03-16,3.346222400665283
2004-03-17,3.3964426517486572
2004-03-18,3.412562608718872
2004-03-19,3.389622449874878
2004-03-22,3.2835991382598877
2004-03-23,3.2904205322265625
2004-03-24,3.2842211723327637
2004-03-25,3.3090200424194336
2004-03-26,3.3239006996154785
2004-03-29,3.3654422760009766
2004-03-30,3.363581418991089
2004-03-31,3.375981330871582
2004-04-01,3.4162817001342773
2004-04-02,3.402021884918213
2004-04-05,3.428063154220581
2004-04-06,3.4454243183135986
2004-04-07,3.419384241104126
2004-04-08,3.4330224990844727
