Date,WFC
2004-01-02,15.611407279968262
2004-01-05,15.686558723449707
2004-01-06,15.6355619430542
2004-01-07,15.47722339630127
2004-01-08,15.471850395202637
2004-01-09,15.399392127990723
2004-01-12,15.28666877746582
2004-01-13,15.104178428649902
2004-01-14,15.11758804321289
2004-01-15,15.163224220275879
2004-01-16,15.34839916229248
2004-01-20,15.391336441040039
2004-01-21,15.52283763885498
2004-01-22,15.324246406555176
2004-01-23,15.254467010498047
2004-01-26,15.576520919799805
2004-01-27,15.407441139221191
2004-01-28,15.313514709472656
2004-01-29,15.52283763885498
2004-01-30,15.407441139221191
2004-02-02,15.447698593139648
2004-02-03,15.55504322052002
2004-02-04,15.44415283203125
2004-02-05,15.433338165283203
2004-02-06,15.676763534545898
2004-02-09,15.603734970092773
2004-02-10,15.571270942687988
2004-02-11,15.741676330566406
2004-02-12,15.52530288696289
2004-02-13,15.517183303833008
2004-02-17,15.52530288696289
2004-02-18,15.403585433959961
2004-02-19,15.571270942687988
2004-02-20,15.387350082397461
2004-02-23,15.379241943359375
2004-02-24,15.341373443603516
2004-02-25,15.479314804077148
2004-02-26,15.484724998474121
2004-02-27,15.511772155761719
2004-03-01,15.587499618530273
2004-03-02,15.50365924835205
2004-03-03,15.619962692260742
2004-03-04,15.720039367675781
2004-03-05,15.793057441711426
2004-03-08,15.84986400604248
2004-03-09,15.80659008026123
2004-03-10,15.80659008026123
2004-03-11,15.609142303466797
2004-03-12,15.665939331054688
2004-03-15,15.628070831298828
2004-03-16,15.706520080566406
2004-03-17,15.787665367126465
2004-03-18,15.771432876586914
2004-03-19,15.571270942687988
2004-03-22,15.36301326751709
2004-03-23,15.314323425292969
2004-03-24,15.300804138183594
2004-03-25,15.454970359802246
2004-03-26,15.403585433959961
2004-03-29,15.463083267211914
2004-03-30,15.371126174926758
2004-03-31,15.327845573425293
2004-04-01,15.484724998474121
2004-04-02,15.311619758605957
2004-04-05,15.317035675048828
2004-04-06,15.465791702270508
2004-04-07,15.349485397338867
2004-04-08,15.384645462036133
2004-04-12,15.425215721130371
2004-04-13,15.051962852478027
2004-04-14,14.941064834594727
2004-04-15,14.859920501708984
2004-04-16,15.165563583374023
2004-04-19,15.12229061126709
2004-04-20,14.973526954650879
2004-04-21,15.203429222106934
2004-04-22,15.349485397338867
2004-04-23,15.254820823669434
2004-04-26,15.252113342285156
2004-04-27,15.441450119018555
2004-04-28,15.227776527404785
2004-04-29,15.260223388671875
2004-04-30,15.27104377746582
2004-05-03,15.408991813659668
2004-05-04,15.430622100830078
2004-05-05,15.436078071594238
2004-05-06,15.30794620513916
2004-05-07,15.018959045410156
2004-05-10,14.937174797058105
2004-05-11,15.021688461303711
2004-05-12,15.239790916442871
2004-05-13,15.294315338134766
2004-05-14,15.536956787109375
2004-05-17,15.515141487121582
2004-05-18,15.771418571472168
2004-05-19,15.73051643371582
2004-05-20,15.81230640411377
2004-05-21,15.82593822479248
2004-05-24,15.902273178100586
2004-05-25,16.01677131652832
2004-05-26,16.117645263671875
2004-05-27,16.098569869995117
2004-05-28,16.030406951904297
2004-06-01,15.984061241149902
2004-06-02,15.954071998596191
2004-06-03,15.89136028289795
2004-06-04,15.973154067993164
2004-06-07,16.087657928466797
2004-06-08,16.030406951904297
2004-06-09,15.81230640411377
2004-06-10,15.978605270385742
2004-06-14,15.823214530944824
2004-06-15,15.880459785461426
2004-06-16,15.866827011108398
2004-06-17,15.92408561706543
2004-06-18,15.975882530212402
2004-06-21,15.954071998596191
2004-06-22,16.01950454711914
2004-06-23,16.098569869995117
2004-06-24,16.000423431396484
2004-06-25,15.684165954589844
2004-06-28,15.744147300720215
2004-06-29,15.635098457336426
2004-06-30,15.602383613586426
2004-07-01,15.427905082702637
2004-07-02,15.602383613586426
2004-07-06,15.517871856689453
2004-07-07,15.602383613586426
2004-07-08,15.523317337036133
2004-07-09,15.545132637023926
2004-07-12,15.69507122039795
2004-07-13,15.749600410461426
2004-07-14,15.675990104675293
2004-07-15,15.648736000061035
2004-07-16,15.787774085998535
2004-07-19,15.93499755859375
2004-07-20,15.828666687011719
2004-07-21,15.607839584350586
2004-07-22,15.564215660095215
2004-07-23,15.441530227661133
2004-07-26,15.490607261657715
2004-07-27,15.656912803649902
2004-07-28,15.656912803649902
2004-07-29,15.738694190979004
2004-07-30,15.651455879211426
2004-08-02,15.77414321899414
2004-08-03,15.670536994934082
2004-08-04,15.744771957397461
2004-08-05,15.475350379943848
2004-08-06,15.494590759277344
2004-08-09,15.502840995788574
2004-08-10,15.670544624328613
2004-08-11,15.827244758605957
2004-08-12,15.714518547058105
2004-08-13,15.818986892700195
2004-08-16,15.884981155395508
2004-08-17,15.912473678588867
2004-08-18,15.934463500976562
2004-08-19,15.93171501159668
2004-08-20,15.959212303161621
2004-08-23,15.915218353271484
2004-08-24,15.99220085144043
2004-08-25,16.096670150756836
2004-08-26,16.126911163330078
2004-08-27,16.126911163330078
2004-08-30,16.052688598632812
2004-08-31,16.151649475097656
2004-09-01,16.173656463623047
2004-09-02,16.341346740722656
2004-09-03,16.29461097717285
2004-09-07,16.41832160949707
2004-09-08,16.220382690429688
2004-09-09,16.21763038635254
2004-09-10,16.256120681762695
2004-09-13,16.272621154785156
2004-09-14,16.18463897705078
2004-09-15,16.24787712097168
2004-09-16,16.283615112304688
2004-09-17,16.313859939575195
2004-09-20,16.231380462646484
2004-09-21,16.23963165283203
2004-09-22,16.137910842895508
2004-09-23,15.981204986572266
2004-09-24,16.12141227722168
2004-09-27,16.225881576538086
2004-09-28,16.313859939575195
2004-09-29,16.30835723876953
2004-09-30,16.39358901977539
2004-10-01,16.547536849975586
2004-10-04,16.61077308654785
2004-10-05,16.58877182006836
2004-10-06,16.67400550842285
2004-10-07,16.561283111572266
2004-10-08,16.62726402282715
2004-10-11,16.619022369384766
2004-10-12,16.62177276611328
2004-10-13,16.561283111572266
2004-10-14,16.352346420288086
2004-10-15,16.50904655456543
2004-10-18,16.536540985107422
2004-10-19,16.31660270690918
2004-10-20,16.17089080810547
2004-10-21,16.08842658996582
2004-10-22,15.912473678588867
2004-10-25,15.904224395751953
2004-10-26,16.137910842895508
2004-10-27,16.261625289916992
2004-10-28,16.448570251464844
2004-10-29,16.41832160949707
2004-11-01,16.470563888549805
2004-11-02,16.440330505371094
2004-11-03,16.711917877197266
2004-11-04,17.02232551574707
2004-11-05,17.04450225830078
2004-11-08,17.07498550415039
2004-11-09,17.05835723876953
2004-11-10,17.04450225830078
2004-11-11,17.224647521972656
2004-11-12,17.341041564941406
2004-11-15,17.335512161254883
2004-11-16,17.232959747314453
2004-11-17,17.310556411743164
2004-11-18,17.30779266357422
2004-11-19,17.05835723876953
2004-11-22,17.196929931640625
2004-11-23,17.293935775756836
2004-11-24,17.30779266357422
2004-11-26,17.321651458740234
2004-11-29,17.238496780395508
2004-11-30,17.119327545166016
2004-12-01,17.426965713500977
2004-12-02,17.36875343322754
2004-12-03,17.293935775756836
2004-12-06,17.31610679626465
2004-12-07,17.13319206237793
2004-12-08,17.299476623535156
2004-12-09,17.449140548706055
2004-12-10,17.465761184692383
2004-12-13,17.52950668334961
2004-12-14,17.446367263793945
2004-12-15,17.3299560546875
2004-12-16,17.393699645996094
2004-12-17,17.18307876586914
2004-12-20,17.20524024963379
2004-12-21,17.238496780395508
2004-12-22,17.263446807861328
2004-12-23,17.29669952392578
2004-12-27,17.26898956298828
2004-12-28,17.34381866455078
2004-12-29,17.293935775756836
2004-12-30,17.238496780395508
2004-12-31,17.224647521972656
2005-01-03,17.158132553100586
2005-01-04,17.1719913482666
2005-01-05,17.19139289855957
2005-01-06,17.25235939025879
2005-01-07,17.230192184448242
2005-01-10,17.2191104888916
2005-01-11,17.18584632873535
2005-01-12,16.95581817626953
2005-01-13,16.806156158447266
2005-01-14,16.820005416870117
2005-01-18,17.033418655395508
2005-01-19,16.905929565429688
2005-01-20,16.778440475463867
2005-01-21,16.662046432495117
2005-01-24,16.614925384521484
2005-01-25,16.72023582458496
2005-01-26,16.869897842407227
2005-01-27,16.747953414916992
2005-01-28,16.77289581298828
2005-01-31,16.98906707763672
2005-02-01,17.127643585205078
2005-02-02,16.9768123626709
2005-02-03,17.05222511291504
2005-02-04,17.03267478942871
2005-02-07,17.155574798583984
2005-02-08,17.161161422729492
2005-02-09,17.013124465942383
2005-02-10,16.879051208496094
2005-02-11,16.842737197875977
2005-02-14,17.12485694885254
2005-02-15,17.12205696105957
2005-02-16,16.97122573852539
2005-02-17,16.870677947998047
2005-02-18,16.70587921142578
2005-02-22,16.43215560913086
2005-02-23,16.61649513244629
2005-02-24,16.67236328125
2005-02-25,16.731019973754883
2005-02-28,16.585771560668945
2005-03-01,16.7170467376709
2005-03-02,16.619287490844727
2005-03-03,16.594146728515625
2005-03-04,16.898603439331055
2005-03-07,16.962841033935547
2005-03-08,16.97960662841797
2005-03-09,16.686325073242188
2005-03-10,16.817602157592773
