Date,SO
2004-01-02,11.097636222839355
2004-01-05,11.097636222839355
2004-01-06,11.105021476745605
2004-01-07,11.075481414794922
2004-01-08,11.075481414794922
2004-01-09,11.02010726928711
2004-01-12,11.01272201538086
2004-01-13,10.979496002197266
2004-01-14,10.983189582824707
2004-01-15,10.946270942687988
2004-01-16,10.86505126953125
2004-01-20,10.953658103942871
2004-01-21,11.101325035095215
2004-01-22,11.105021476745605
2004-01-23,11.164093017578125
2004-01-26,11.11978816986084
2004-01-27,11.149322509765625
2004-01-28,11.201005935668945
2004-01-29,11.212210655212402
2004-01-30,11.130041122436523
2004-02-02,11.066548347473145
2004-02-03,11.017998695373535
2004-02-04,10.950769424438477
2004-02-05,10.868597984313965
2004-02-06,10.920889854431152
2004-02-09,10.90968132019043
2004-02-10,10.995587348937988
2004-02-11,10.988117218017578
2004-02-12,11.047877311706543
2004-02-13,11.017998695373535
2004-02-17,11.05160903930664
2004-02-18,11.17112922668457
2004-02-19,11.208475112915039
2004-02-20,11.141246795654297
2004-02-23,11.09269905090332
2004-02-24,11.074015617370605
2004-02-25,11.126303672790527
2004-02-26,11.223418235778809
2004-02-27,11.324257850646973
2004-03-01,11.36160945892334
2004-03-02,11.320524215698242
2004-03-03,11.324257850646973
2004-03-04,11.357874870300293
2004-03-05,11.440041542053223
2004-03-08,11.41016674041748
2004-03-09,11.447513580322266
2004-03-10,11.324257850646973
2004-03-11,11.24582576751709
2004-03-12,11.260769844055176
2004-03-15,11.339197158813477
2004-03-16,11.369078636169434
2004-03-17,11.529682159423828
2004-03-18,11.376546859741211
2004-03-19,11.264504432678223
2004-03-22,11.156189918518066
2004-03-23,11.182332038879395
2004-03-24,11.186067581176758
2004-03-25,11.260769844055176
2004-03-26,11.350404739379883
2004-03-29,11.38402271270752
2004-03-30,11.413896560668945
2004-03-31,11.391487121582031
2004-04-01,11.42509937286377
2004-04-02,11.339197158813477
2004-04-05,11.305583000183105
2004-04-06,11.298114776611328
2004-04-07,11.23835563659668
2004-04-08,11.118836402893066
2004-04-12,10.980648040771484
2004-04-13,10.90968132019043
2004-04-14,10.872336387634277
2004-04-15,10.943296432495117
2004-04-16,11.03666877746582
2004-04-19,10.92462158203125
2004-04-20,10.831250190734863
2004-04-21,10.849922180175781
2004-04-22,10.905950546264648
2004-04-23,10.917154312133789
2004-04-26,11.014262199401855
2004-04-27,10.95450210571289
2004-04-28,10.868597984313965
2004-04-29,10.845917701721191
2004-04-30,10.872382164001465
2004-05-03,10.913970947265625
2004-05-04,10.940425872802734
2004-05-05,10.86482048034668
2004-05-06,10.93664836883545
2004-05-07,10.630434036254883
2004-05-10,10.58885383605957
2004-05-11,10.581292152404785
2004-05-12,10.532146453857422
2004-05-13,10.56238842010498
2004-05-14,10.679584503173828
2004-05-17,10.581292152404785
2004-05-18,10.68336009979248
2004-05-19,10.6342191696167
2004-05-20,10.641775131225586
2004-05-21,10.622879028320312
2004-05-24,10.69469928741455
2004-05-25,10.925308227539062
2004-05-26,10.876161575317383
2004-05-27,10.982009887695312
2004-05-28,10.932870864868164
2004-06-01,10.947990417480469
2004-06-02,11.03872013092041
2004-06-03,10.970671653747559
2004-06-04,11.016036987304688
2004-06-07,11.07274055480957
2004-06-08,10.985793113708496
2004-06-09,10.849696159362793
2004-06-10,10.917743682861328
2004-06-14,10.845917701721191
2004-06-15,10.932870864868164
2004-06-16,10.906405448913574
2004-06-17,10.917743682861328
2004-06-18,10.947990417480469
2004-06-21,11.016036987304688
2004-06-22,11.008478164672852
2004-06-23,11.042494773864746
2004-06-24,11.019815444946289
2004-06-25,10.982009887695312
2004-06-28,11.031157493591309
2004-06-29,10.932870864868164
2004-06-30,11.019815444946289
2004-07-01,10.910186767578125
2004-07-02,10.974449157714844
2004-07-06,10.93664836883545
2004-07-07,10.940425872802734
2004-07-08,10.951769828796387
2004-07-09,10.944210052490234
2004-07-12,10.951769828796387
2004-07-13,10.925308227539062
2004-07-14,11.042494773864746
2004-07-15,11.091643333435059
2004-07-16,11.152127265930176
2004-07-19,11.254195213317871
2004-07-20,11.299568176269531
2004-07-21,11.205055236816406
2004-07-22,11.114322662353516
2004-07-23,11.106766700744629
2004-07-26,11.11054515838623
2004-07-27,11.133232116699219
2004-07-28,11.152127265930176
2004-07-29,11.15136432647705
2004-07-30,11.204941749572754
2004-08-02,11.254684448242188
2004-08-03,11.254684448242188
2004-08-04,11.327398300170898
2004-08-05,11.231730461120605
2004-08-06,11.423066139221191
2004-08-09,11.380973815917969
2004-08-10,11.396280288696289
2004-08-11,11.426896095275879
2004-08-12,11.46133804321289
2004-08-13,11.415412902832031
2004-08-16,11.43837833404541
2004-08-17,11.384803771972656
2004-08-18,11.453681945800781
2004-08-19,11.388630867004395
2004-08-20,11.350354194641113
2004-08-23,11.36949634552002
2004-08-24,11.407756805419922
2004-08-25,11.457505226135254
2004-08-26,11.476642608642578
2004-08-27,11.484293937683105
2004-08-30,11.48046875
2004-08-31,11.614409446716309
2004-09-01,11.564661026000977
2004-09-02,11.648850440979004
2004-09-03,11.664162635803223
2004-09-07,11.72921371459961
2004-09-08,11.61058521270752
2004-09-09,11.5952730178833
2004-09-10,11.614409446716309
2004-09-13,11.557004928588867
2004-09-14,11.495777130126953
2004-09-15,11.495777130126953
2004-09-16,11.622066497802734
2004-09-17,11.645028114318848
2004-09-20,11.530217170715332
2004-09-21,11.637372970581055
2004-09-22,11.545528411865234
2004-09-23,11.4307222366333
2004-09-24,11.423066139221191
2004-09-27,11.472821235656738
2004-09-28,11.572311401367188
2004-09-29,11.453681945800781
2004-09-30,11.472821235656738
2004-10-01,11.572311401367188
2004-10-04,11.61058521270752
2004-10-05,11.572311401367188
2004-10-06,11.633544921875
2004-10-07,11.54935073852539
2004-10-08,11.713909149169922
2004-10-11,11.683290481567383
2004-10-12,11.744522094726562
2004-10-13,11.576141357421875
2004-10-14,11.53787612915039
2004-10-15,11.591444969177246
2004-10-18,11.499603271484375
2004-10-19,11.46133804321289
2004-10-20,11.717726707458496
2004-10-21,12.08510971069336
2004-10-22,12.092758178710938
2004-10-25,12.12720012664795
2004-10-26,12.25731086730957
2004-10-27,12.222872734069824
2004-10-28,12.113736152648926
2004-10-29,12.225970268249512
2004-11-01,12.245319366455078
2004-11-02,12.055680274963379
2004-11-03,12.280153274536133
2004-11-04,12.628472328186035
2004-11-05,12.551069259643555
2004-11-08,12.655567169189453
2004-11-09,12.61685848236084
2004-11-10,12.61685848236084
2004-11-11,12.713621139526367
2004-11-12,12.833595275878906
2004-11-15,12.775535583496094
2004-11-16,12.787147521972656
2004-11-17,12.647825241088867
2004-11-18,12.7058687210083
2004-11-19,12.694263458251953
2004-11-22,12.852945327758789
2004-11-23,12.868425369262695
2004-11-24,13.011617660522461
2004-11-26,13.081281661987305
2004-11-29,12.938089370727539
2004-11-30,12.690397262573242
2004-12-01,12.690397262573242
2004-12-02,12.48914623260498
2004-12-03,12.620734214782715
2004-12-06,12.740702629089355
2004-12-07,12.663302421569824
2004-12-08,12.609124183654785
2004-12-09,12.647825241088867
2004-12-10,12.655567169189453
2004-12-13,12.8103666305542
2004-12-14,12.75231647491455
2004-12-15,12.73682975769043
2004-12-16,12.84907341003418
2004-12-17,12.771662712097168
2004-12-20,12.922602653503418
2004-12-21,13.023232460021973
2004-12-22,13.08515453338623
2004-12-23,13.069672584533691
2004-12-27,12.934215545654297
2004-12-28,13.019365310668945
2004-12-29,13.003880500793457
2004-12-30,13.127724647521973
2004-12-31,12.972919464111328
2005-01-03,12.794886589050293
2005-01-04,12.787147521972656
2005-01-05,12.709746360778809
2005-01-06,12.628472328186035
2005-01-07,12.686524391174316
2005-01-10,12.787147521972656
2005-01-11,12.771662712097168
2005-01-12,12.73682975769043
2005-01-13,12.698132514953613
