Date,INTC
2004-01-02,18.473766326904297
2004-01-05,18.90457534790039
2004-01-06,18.898841857910156
2004-01-07,19.524967193603516
2004-01-08,19.6685733795166
2004-01-09,19.513479232788086
2004-01-12,19.61688232421875
2004-01-13,19.295194625854492
2004-01-14,19.180309295654297
2004-01-15,18.990753173828125
2004-01-16,18.89309310913086
2004-01-20,18.73225975036621
2004-01-21,18.496746063232422
2004-01-22,18.169313430786133
2004-01-23,18.23823356628418
2004-01-26,18.62885284423828
2004-01-27,18.169313430786133
2004-01-28,18.025697708129883
2004-01-29,17.744224548339844
2004-01-30,17.531686782836914
2004-02-02,17.41679573059082
2004-02-03,18.037185668945312
2004-02-04,17.26647186279297
2004-02-05,17.208948135375977
2004-02-06,17.7611083984375
2004-02-09,17.582801818847656
2004-02-10,17.5655574798584
2004-02-11,17.82437515258789
2004-02-12,17.680583953857422
2004-02-13,17.335494995117188
2004-02-17,17.720848083496094
2004-02-18,17.600067138671875
2004-02-19,17.191696166992188
2004-02-20,17.25495719909668
2004-02-23,16.679800033569336
2004-02-24,16.794830322265625
2004-02-25,17.03640365600586
2004-02-26,16.967384338378906
2004-02-27,16.794830322265625
2004-03-01,17.07666015625
2004-03-02,17.024900436401367
2004-03-03,16.702804565429688
2004-03-04,17.05364990234375
2004-03-05,16.651039123535156
2004-03-08,15.932083129882812
2004-03-09,16.093130111694336
2004-03-10,15.707769393920898
2004-03-11,15.575478553771973
2004-03-12,15.926338195800781
2004-03-15,15.58698558807373
2004-03-16,15.621490478515625
2004-03-17,15.983848571777344
2004-03-18,15.64449691772461
2004-03-19,15.236130714416504
2004-03-22,15.086579322814941
2004-03-23,15.046323776245117
2004-03-24,15.259138107299805
2004-03-25,15.983848571777344
2004-03-26,15.748030662536621
2004-03-29,15.926338195800781
2004-03-30,15.776787757873535
2004-03-31,15.64449691772461
2004-04-01,15.748030662536621
2004-04-02,16.17365837097168
2004-04-05,16.420970916748047
2004-04-06,16.259931564331055
2004-04-07,15.886065483093262
2004-04-08,15.742279052734375
2004-04-12,15.874566078186035
2004-04-13,15.914828300476074
2004-04-14,15.742279052734375
2004-04-15,15.33391284942627
2004-04-16,15.213122367858887
2004-04-19,15.345409393310547
2004-04-20,14.99455738067627
2004-04-21,15.115347862243652
2004-04-22,15.253388404846191
2004-04-23,15.834305763244629
2004-04-26,15.615739822387695
2004-04-27,15.460444450378418
2004-04-28,15.155613899230957
2004-04-29,15.029071807861328
2004-04-30,14.799007415771484
2004-05-03,14.977311134338379
2004-05-04,15.115347862243652
2004-05-05,15.092310905456543
2004-05-06,14.96557331085205
2004-05-07,15.247832298278809
2004-05-10,15.293915748596191
2004-05-11,15.996692657470703
2004-05-12,15.881482124328613
2004-05-13,15.806599617004395
2004-05-14,15.576184272766113
2004-05-17,15.460969924926758
2004-05-18,15.639540672302246
2004-05-19,15.616509437561035
2004-05-20,15.789321899414062
2004-05-21,15.86996078491211
2004-05-24,15.979412078857422
2004-05-25,16.186790466308594
2004-05-26,16.342321395874023
2004-05-27,16.388399124145508
2004-05-28,16.44599723815918
2004-06-01,16.319271087646484
2004-06-02,16.134950637817383
2004-06-03,15.789321899414062
2004-06-04,16.209827423095703
2004-06-07,16.561216354370117
2004-06-08,16.699464797973633
2004-06-09,16.359594345092773
2004-06-10,16.497848510742188
2004-06-14,16.123424530029297
2004-06-15,16.37687873840332
2004-06-16,16.198305130004883
2004-06-17,15.916043281555176
2004-06-18,15.921805381774902
2004-06-21,15.852688789367676
2004-06-22,16.1522216796875
2004-06-23,16.428728103637695
2004-06-24,16.100378036499023
2004-06-25,16.002452850341797
2004-06-28,15.772039413452148
2004-06-29,15.898762702941895
2004-06-30,15.898762702941895
2004-07-01,15.564663887023926
2004-07-02,15.167194366455078
2004-07-06,15.040457725524902
2004-07-07,15.172955513000488
2004-07-08,15.103832244873047
2004-07-09,15.305442810058594
2004-07-12,15.11534595489502
2004-07-13,15.05774211883545
2004-07-14,13.467864036560059
2004-07-15,13.335376739501953
2004-07-16,13.093435287475586
2004-07-19,13.197121620178223
2004-07-20,13.387224197387695
2004-07-21,12.995516777038574
2004-07-22,13.404498100280762
2004-07-23,13.05887508392334
2004-07-26,13.231682777404785
2004-07-27,13.404498100280762
2004-07-28,13.513954162597656
2004-07-29,13.96325969696045
2004-07-30,14.043912887573242
2004-08-02,14.343454360961914
2004-08-03,13.922940254211426
2004-08-04,13.830615997314453
2004-08-05,13.657530784606934
2004-08-06,13.138224601745605
2004-08-09,13.022823333740234
2004-08-10,13.005515098571777
2004-08-11,12.786256790161133
2004-08-12,12.255416870117188
2004-08-13,12.440058708190918
2004-08-16,12.359275817871094
2004-08-17,12.411203384399414
2004-08-18,12.820871353149414
2004-08-19,12.69970989227295
2004-08-20,12.474682807922363
2004-08-23,12.630468368530273
2004-08-24,12.503534317016602
2004-08-25,12.665080070495605
2004-08-26,12.561219215393066
2004-08-27,12.70546817779541
2004-08-30,12.463138580322266
2004-08-31,12.284271240234375
2004-09-01,12.365052223205566
2004-09-02,12.48044490814209
2004-09-03,11.568787574768066
2004-09-07,11.47646713256836
2004-09-08,11.37838363647461
2004-09-09,11.638031959533691
2004-09-10,11.868827819824219
2004-09-13,12.001535415649414
2004-09-14,11.984232902526855
2004-09-15,11.782282829284668
2004-09-16,11.603410720825195
2004-09-17,11.880373001098633
2004-09-20,12.070778846740723
2004-09-21,12.163101196289062
2004-09-22,11.782282829284668
2004-09-23,11.759197235107422
2004-09-24,11.61495304107666
2004-09-27,11.493779182434082
2004-09-28,11.355301856994629
2004-09-29,11.580333709716797
2004-09-30,11.574566841125488
2004-10-01,12.030393600463867
2004-10-04,12.191947937011719
2004-10-05,12.301579475402832
2004-10-06,12.191947937011719
2004-10-07,12.255416870117188
