Date,AAPL
2004-01-02,0.3185129165649414
2004-01-05,0.3318343758583069
2004-01-06,0.33063650131225586
2004-01-07,0.33812084794044495
2004-01-08,0.3496458828449249
2004-01-09,0.3442571461200714
2004-01-12,0.3551839292049408
2004-01-13,0.3610210120677948
2004-01-14,0.3622186481952667
2004-01-15,0.34201252460479736
2004-01-16,0.3400661051273346
2004-01-20,0.34021613001823425
2004-01-21,0.33842000365257263
2004-01-22,0.3319835364818573
2004-01-23,0.3376714289188385
2004-01-26,0.3444071114063263
2004-01-27,0.34530505537986755
2004-01-28,0.33707305788993835
2004-01-29,0.3394676148891449
2004-01-30,0.3376714289188385
2004-02-02,0.33407893776893616
2004-02-03,0.3331814110279083
2004-02-04,0.3261463940143585
2004-02-05,0.33557596802711487
2004-02-06,0.3399168848991394
2004-02-09,0.3393177390098572
2004-02-10,0.34395796060562134
2004-02-11,0.35623157024383545
2004-02-12,0.3551839292049408
2004-02-13,0.3442571461200714
2004-02-17,0.3466517925262451
2004-02-18,0.348148912191391
2004-02-19,0.3363246023654938
2004-02-20,0.33527666330337524
2004-02-23,0.3321335017681122
2004-02-24,0.3346782922744751
2004-02-25,0.3414131700992584
2004-02-26,0.34485647082328796
2004-02-27,0.35802778601646423
2004-03-01,0.35952484607696533
2004-03-02,0.35638150572776794
2004-03-03,0.35802778601646423
2004-03-04,0.37658798694610596
2004-03-05,0.4002366065979004
2004-03-08,0.3891609013080597
2004-03-09,0.4056254029273987
2004-03-10,0.41430652141571045
2004-03-11,0.4063730239868164
2004-03-12,0.4125102758407593
2004-03-15,0.39589565992355347
2004-03-16,0.3864661157131195
2004-03-17,0.39200466871261597
2004-03-18,0.3842211961746216
2004-03-19,0.38706526160240173
2004-03-22,0.38706526160240173
2004-03-23,0.37853336334228516
2004-03-24,0.38167649507522583
2004-03-25,0.40218213200569153
2004-03-26,0.4047267735004425
2004-03-29,0.4177490472793579
2004-03-30,0.4178982675075531
2004-03-31,0.4047267735004425
2004-04-01,0.40577447414398193
2004-04-02,0.4116116762161255
2004-04-05,0.4238852858543396
2004-04-06,0.41655126214027405
2004-04-07,0.40876856446266174
2004-04-08,0.41206100583076477
2004-04-12,0.4196944236755371
2004-04-13,0.40308061242103577
2004-04-14,0.3987395465373993
2004-04-15,0.43855369091033936
2004-04-16,0.4367573857307434
2004-04-19,0.4243346154689789
2004-04-20,0.4150550365447998
2004-04-21,0.4150550365447998
