Date,KO
2004-01-02,12.889937400817871
2004-01-05,12.905295372009277
2004-01-06,12.851524353027344
2004-01-07,12.769611358642578
2004-01-08,12.831048011779785
2004-01-09,12.695368766784668
2004-01-12,12.80289077758789
2004-01-13,12.726083755493164
2004-01-14,12.749127388000488
2004-01-15,12.731205940246582
2004-01-16,12.769611358642578
2004-01-20,12.782408714294434
2004-01-21,12.744000434875488
2004-01-22,12.628805160522461
2004-01-23,12.81057071685791
2004-01-26,12.848974227905273
2004-01-27,12.797775268554688
2004-01-28,12.6441650390625
2004-01-29,12.695368766784668
2004-01-30,12.605766296386719
2004-02-02,12.700486183166504
2004-02-03,12.756808280944824
2004-02-04,12.73632526397705
2004-02-05,12.89760971069336
2004-02-06,13.053773880004883
2004-02-09,13.414745330810547
2004-02-10,13.355863571166992
2004-02-11,13.261147499084473
2004-02-12,13.194578170776367
2004-02-13,13.092174530029297
2004-02-17,13.092174530029297
2004-02-18,13.117783546447754
2004-02-19,13.0563325881958
2004-02-20,13.040975570678711
2004-02-23,12.887369155883789
2004-02-24,12.744000434875488
2004-02-25,12.71072769165039
2004-02-26,12.756808280944824
2004-02-27,12.79008960723877
2004-03-01,12.703043937683105
2004-03-02,12.61600399017334
2004-03-03,12.58016300201416
2004-03-04,12.500802993774414
2004-03-05,12.825929641723633
2004-03-08,12.76449203491211
2004-03-09,12.846406936645508
2004-03-10,12.77472972869873
2004-03-11,12.396501541137695
2004-03-12,12.465972900390625
2004-03-15,12.275571823120117
2004-03-16,12.391358375549316
2004-03-17,12.576617240905762
2004-03-18,12.617775917053223
2004-03-19,12.550874710083008
2004-03-22,12.414517402648926
2004-03-23,12.383645057678223
2004-03-24,12.476263999938965
2004-03-25,12.545729637145996
2004-03-26,12.550874710083008
2004-03-29,12.710405349731445
2004-03-30,12.923957824707031
2004-03-31,12.941967010498047
2004-04-01,13.014021873474121
2004-04-02,13.1040678024292
2004-04-05,13.014021873474121
2004-04-06,13.088630676269531
2004-04-07,13.14265251159668
2004-04-08,13.183833122253418
2004-04-12,13.083478927612305
2004-04-13,13.093770027160645
2004-04-14,13.170967102050781
2004-04-15,13.173537254333496
2004-04-16,13.361357688903809
2004-04-19,13.636672973632812
2004-04-20,13.451411247253418
2004-04-21,13.412823677062988
2004-04-22,13.240429878234863
2004-04-23,13.134943962097168
2004-04-26,13.042316436767578
2004-04-27,13.047459602355957
2004-04-28,12.918813705444336
2004-04-29,12.983137130737305
2004-04-30,13.011444091796875
2004-05-03,13.02430248260498
2004-05-04,12.934253692626953
2004-05-05,13.145236015319824
2004-05-06,13.140090942382812
2004-05-07,13.05517864227295
2004-05-10,12.846771240234375
2004-05-11,12.877646446228027
2004-05-12,12.844200134277344
2004-05-13,12.764434814453125
2004-05-14,12.864778518676758
2004-05-17,12.815898895263672
2004-05-18,12.890508651733398
2004-05-19,12.700113296508789
2004-05-20,12.769588470458984
2004-05-21,12.705259323120117
2004-05-24,12.821043968200684
2004-05-25,12.965120315551758
2004-05-26,12.921391487121582
2004-05-27,13.204415321350098
2004-05-28,13.212126731872559
2004-06-01,13.140090942382812
2004-06-02,13.363929748535156
2004-06-03,13.32019329071045
2004-06-04,13.448840141296387
2004-06-07,13.562050819396973
2004-06-08,13.536328315734863
2004-06-09,13.317623138427734
2004-06-10,13.284175872802734
2004-06-14,13.284175872802734
2004-06-15,13.245393753051758
2004-06-16,13.235050201416016
2004-06-17,13.209197998046875
2004-06-18,13.286765098571777
2004-06-21,13.22988224029541
2004-06-22,13.191093444824219
2004-06-23,13.2634859085083
2004-06-24,13.196267127990723
2004-06-25,12.953225135803223
2004-06-28,13.028212547302246
2004-06-29,13.066990852355957
2004-06-30,13.051474571228027
2004-07-01,13.020459175109863
2004-07-02,13.064408302307129
2004-07-06,13.098017692565918
2004-07-07,13.035964965820312
2004-07-08,13.072158813476562
2004-07-09,13.191093444824219
2004-07-12,13.141974449157715
2004-07-13,13.098017692565918
2004-07-14,13.227289199829102
2004-07-15,13.144556999206543
2004-07-16,13.0773344039917
2004-07-19,13.01528263092041
2004-07-20,12.948058128356934
2004-07-21,12.720540046691895
2004-07-22,12.66107177734375
2004-07-23,11.678596496582031
2004-07-26,11.453657150268555
2004-07-27,11.311456680297852
2004-07-28,11.293359756469727
2004-07-29,11.133060455322266
2004-07-30,11.339900016784668
2004-08-02,11.430390357971191
2004-08-03,11.404528617858887
2004-08-04,11.427803039550781
2004-08-05,11.337310791015625
2004-08-06,11.246820449829102
2004-08-09,11.17442798614502
2004-08-10,11.236478805541992
2004-08-11,11.49244213104248
2004-08-12,11.334728240966797
2004-08-13,11.471755981445312
2004-08-16,11.510542869567871
2004-08-17,11.461413383483887
2004-08-18,11.523463249206543
2004-08-19,11.38126277923584
2004-08-20,11.430390357971191
2004-08-23,11.463995933532715
2004-08-24,11.38126277923584
2004-08-25,11.463995933532715
2004-08-26,11.495031356811523
2004-08-27,11.56224536895752
2004-08-30,11.466584205627441
2004-08-31,11.559660911560059
2004-09-01,11.541566848754883
2004-09-02,11.73547077178955
2004-09-03,11.76132583618164
2004-09-07,11.802699089050293
2004-09-08,11.233892440795898
2004-09-09,11.249402046203613
2004-09-10,11.107211112976074
2004-09-13,11.130608558654785
2004-09-14,11.148815155029297
2004-09-15,10.704107284545898
2004-09-16,10.412840843200684
2004-09-17,10.48045539855957
2004-09-20,10.516865730285645
2004-09-21,10.592286109924316
2004-09-22,10.511661529541016
2004-09-23,10.407636642456055
2004-09-24,10.3998384475708
2004-09-27,10.306218147277832
2004-09-28,10.3998384475708
2004-09-29,10.405036926269531
2004-09-30,10.41544246673584
2004-10-01,10.483057022094727
2004-10-04,10.59748649597168
2004-10-05,10.568876266479492
2004-10-06,10.636492729187012
2004-10-07,10.433648109436035
2004-10-08,10.402436256408691
2004-10-11,10.405036926269531
2004-10-12,10.345223426818848
2004-10-13,10.243803024291992
2004-10-14,10.181387901306152
2004-10-15,10.194389343261719
2004-10-18,10.204790115356445
2004-10-19,10.241201400756836
2004-10-20,10.259403228759766
2004-10-21,10.267204284667969
2004-10-22,10.116373062133789
2004-10-25,10.051360130310059
2004-10-26,10.220396995544434
2004-10-27,10.514266014099121
2004-10-28,10.529871940612793
2004-10-29,10.574078559875488
2004-11-01,10.540270805358887
2004-11-02,10.571477890014648
2004-11-03,10.623490333557129
2004-11-04,10.756122589111328
2004-11-05,10.766521453857422
2004-11-08,10.735318183898926
2004-11-09,10.724916458129883
2004-11-10,10.706708908081055
2004-11-11,10.652094841003418
2004-11-12,10.607891082763672
2004-11-15,10.553277015686035
2004-11-16,10.467453956604004
2004-11-17,10.475253105163574
2004-11-18,10.475253105163574
2004-11-19,10.332225799560547
2004-11-22,10.368629455566406
2004-11-23,10.327017784118652
2004-11-24,10.350427627563477
2004-11-26,10.366029739379883
2004-11-29,10.392197608947754
2004-11-30,10.287521362304688
2004-12-01,10.407903671264648
2004-12-02,10.578008651733398
2004-12-03,10.653903007507324
2004-12-06,10.570152282714844
2004-12-07,10.509963035583496
2004-12-08,10.570152282714844
2004-12-09,10.680071830749512
2004-12-10,10.606795310974121
2004-12-13,10.693160057067871
2004-12-14,10.808311462402344
2004-12-15,10.852797508239746
2004-12-16,10.763816833496094
2004-12-17,10.71671199798584
2004-12-20,10.71671199798584
2004-12-21,10.729792594909668
2004-12-22,10.881585121154785
2004-12-23,10.863265991210938
2004-12-27,10.899898529052734
2004-12-28,10.952238082885742
2004-12-29,10.876348495483398
2004-12-30,10.899898529052734
2004-12-31,10.897282600402832
2005-01-03,10.871113777160645
2005-01-04,10.719325065612793
2005-01-05,10.669605255126953
2005-01-06,10.758584022521973
2005-01-07,10.77166748046875
2005-01-10,10.83186149597168
2005-01-11,10.77166748046875
2005-01-12,10.77166748046875
2005-01-13,10.661754608154297
2005-01-14,10.72194766998291
2005-01-18,10.795223236083984
2005-01-19,10.755963325500488
2005-01-20,10.816157341003418
2005-01-21,10.7062406539917
2005-01-24,10.719325065612793
2005-01-25,10.792607307434082
2005-01-26,10.907756805419922
2005-01-27,10.928689956665039
2005-01-28,10.85802936553955
2005-01-31,10.85802936553955
2005-02-01,10.839714050292969
2005-02-02,10.970564842224121
2005-02-03,10.923455238342285
2005-02-04,11.114496231079102
2005-02-07,11.119730949401855
2005-02-08,11.161605834960938
2005-02-09,11.190391540527344
2005-02-10,11.122345924377441
2005-02-11,11.190391540527344
2005-02-14,11.216565132141113
2005-02-15,11.161605834960938
2005-02-16,11.331708908081055
2005-02-17,11.253196716308594
2005-02-18,11.2427396774292
2005-02-22,11.198243141174316
2005-02-23,11.143282890319824
2005-02-24,11.16422176361084
2005-02-25,11.25843620300293
2005-02-28,11.200860023498535
2005-03-01,11.32386302947998
2005-03-02,11.263669967651367
2005-03-03,11.300307273864746
2005-03-04,11.420687675476074
2005-03-07,11.441624641418457
2005-03-08,11.363118171691895
2005-03-09,11.308155059814453
2005-03-10,11.271519660949707
2005-03-11,11.189859390258789
2005-03-14,11.152981758117676
2005-03-15,11.126642227172852
2005-03-16,11.04761791229248
2005-03-17,11.063420295715332
