Date,C
2004-01-02,290.5673828125
2004-01-05,295.2521057128906
2004-01-06,295.548583984375
2004-01-07,295.9637145996094
2004-01-08,297.208984375
2004-01-09,295.8451843261719
2004-01-12,295.6078796386719
2004-01-13,294.1253967285156
2004-01-14,296.49737548828125
2004-01-15,293.5323181152344
2004-01-16,293.5323181152344
2004-01-20,292.2870178222656
2004-01-21,298.63214111328125
2004-01-22,300.5890197753906
2004-01-23,298.3949279785156
2004-01-26,302.01226806640625
2004-01-27,296.91259765625
2004-01-28,291.93115234375
2004-01-29,295.8172607421875
2004-01-30,295.8172607421875
2004-02-02,294.32257080078125
2004-02-03,292.2302551269531
2004-02-04,290.3768310546875
2004-02-05,287.62664794921875
2004-02-06,294.80096435546875
2004-02-09,293.844482421875
2004-02-10,292.4693908691406
2004-02-11,297.2522277832031
2004-02-12,295.9966735839844
2004-02-13,295.877197265625
2004-02-17,298.3282165527344
2004-02-18,296.29559326171875
2004-02-19,293.6650695800781
2004-02-20,292.2900085449219
2004-02-23,294.8607482910156
2004-02-24,295.57830810546875
2004-02-25,297.9696350097656
2004-02-26,298.9261779785156
2004-02-27,300.4806213378906
2004-03-01,301.67626953125
2004-03-02,297.5512390136719
2004-03-03,297.8500671386719
2004-03-04,295.21954345703125
2004-03-05,298.9261779785156
2004-03-08,298.5674133300781
2004-03-09,297.9696350097656
2004-03-10,294.20318603515625
2004-03-11,290.67578125
2004-03-12,294.80096435546875
2004-03-15,293.6650695800781
2004-03-16,298.86639404296875
2004-03-17,303.8285217285156
2004-03-18,306.5787048339844
2004-03-19,300.9588317871094
2004-03-22,296.5947265625
2004-03-23,297.73046875
2004-03-24,297.67071533203125
2004-03-25,300.4806213378906
2004-03-26,299.28497314453125
2004-03-29,306.8178405761719
2004-03-30,310.5245056152344
2004-03-31,309.089599609375
2004-04-01,312.61712646484375
2004-04-02,309.6875
2004-04-05,312.2582702636719
2004-04-06,312.3180236816406
2004-04-07,309.1494445800781
2004-04-08,308.07342529296875
2004-04-12,311.2419738769531
2004-04-13,306.1003112792969
2004-04-14,304.6058044433594
2004-04-15,298.4480285644531
2004-04-16,299.5240478515625
2004-04-19,298.80670166015625
2004-04-20,294.20318603515625
2004-04-21,293.7845764160156
2004-04-22,296.8934020996094
2004-04-23,294.0238037109375
2004-04-26,292.8878173828125
2004-04-27,292.70849609375
2004-04-28,289.5399169921875
2004-04-29,290.3839111328125
2004-04-30,289.901611328125
2004-05-03,292.7348937988281
2004-05-04,294.4227600097656
2004-05-05,293.15692138671875
2004-05-06,286.4051208496094
2004-05-07,281.6428527832031
2004-05-10,273.7457580566406
2004-05-11,275.43359375
2004-05-12,279.1711120605469
2004-05-13,277.06134033203125
2004-05-14,275.1924743652344
2004-05-17,270.4300842285156
2004-05-18,272.1783752441406
2004-05-19,271.2741394042969
2004-05-20,272.9620056152344
2004-05-21,273.3238220214844
2004-05-24,273.5648498535156
2004-05-25,280.3166809082031
2004-05-26,280.5576477050781
2004-05-27,280.4371032714844
2004-05-28,279.89459228515625
2004-06-01,281.9442443847656
2004-06-02,283.5116271972656
2004-06-03,279.4726257324219
2004-06-04,280.6179504394531
2004-06-07,286.5257873535156
2004-06-08,286.9477844238281
2004-06-09,283.6322021484375
2004-06-10,285.44073486328125
2004-06-14,281.7633056640625
2004-06-15,283.4512634277344
2004-06-16,283.4512634277344
2004-06-17,283.8130187988281
2004-06-18,286.3448181152344
2004-06-21,284.4159851074219
