Date,utility_rv_daily,utility_downside_daily,ag_rv_daily,ag_downside_daily,market_log_rv21_lag1,dsci,severe_dose,d2,d3,d4,dsci_lag1,severe_dose_lag1,dsci_delta4w_lag1,utility_rv_5d,utility_rv_past63_5d,utility_rv_logpast63_5d,utility_rv_22d,utility_rv_past63_22d,utility_rv_logpast63_22d,utility_downside_5d,utility_downside_past63_5d,utility_downside_logpast63_5d,utility_downside_22d,utility_downside_past63_22d,utility_downside_logpast63_22d,ag_rv_5d,ag_rv_past63_5d,ag_rv_logpast63_5d,ag_rv_22d,ag_rv_past63_22d,ag_rv_logpast63_22d,ag_downside_5d,ag_downside_past63_5d,ag_downside_logpast63_5d,ag_downside_22d,ag_downside_past63_22d,ag_downside_logpast63_22d
2019-01-16,8.102802816878114e-06,8.102802816878114e-06,3.443654775066232e-08,0.0,-4.966112159281865,183.07000000000002,0.1722,14.12,1.55,0.0,183.07000000000002,0.1722,-3.299999999999983,0.004684310552892215,0.007569760225383383,-4.883593886224195,0.04509605165082473,0.03330694499168688,-3.4019893454020607,0.00182081091883084,0.005494164659355826,-5.204068720816087,0.004384263892521343,0.024174324501165634,-3.7224641800325173,0.00033266959088719243,0.0014731340126997359,-6.5203631655316405,0.0012355150994328304,0.006481789655878838,-5.038758625131972,0.00014650441377292902,0.0006430952780234673,-7.34921766581842,0.0009822846028025912,0.0028296192233032563,-5.86761312609578
2019-01-17,0.0018127081160139618,0.0018127081160139618,1.9138030469221036e-07,0.0,-5.016347423214479,173.65,0.0696,5.54,0.71,0.0,183.07000000000002,0.1722,-3.299999999999983,0.038215864477473056,0.007579762789138681,-4.882273373994485,0.04745996379740519,0.03335095627221019,-3.4006688331722157,0.0018127081160139618,0.00549252520290771,-5.204367164929927,0.004376161089704464,0.02416711089279392,-3.722762624146399,0.00034373948271233546,0.0014723354847827992,-6.520905373106114,0.0014523310132458851,0.006478276133044317,-5.039300832706729,0.00015760874214582274,0.0006422967501065307,-7.350460131931395,0.0011991349531633967,0.002826105700468735,-5.868855592210248
2019-01-18,0.0025961298986776076,0.0,0.0001465044137729299,0.0001465044137729299,-5.0682793622668685,173.65,0.0696,5.54,0.71,0.0,173.65,0.0696,-12.719999999999999,0.038154258729803305,0.007580083423264173,-4.8822310735488195,0.04579718654456675,0.03335236706236236,-3.4006265327265464,0.001751102368344209,0.005493278053355338,-5.2042301061403045,0.0025634529736905027,0.024170423434763486,-3.722625565356757,0.0004372162462125627,0.0014876318070273318,-6.51056981403162,0.0015167526364503446,0.00654557995092026,-5.028965273626839,0.00025127688595074217,0.0006578029731404578,-7.326605102874969,0.0012637479566725484,0.002894333081818015,-5.845000563125463
2019-01-22,0.00019966897282104506,0.0,0.00018467098995130776,0.0,-5.041065209773195,173.65,0.0696,5.54,0.71,0.0,173.65,0.0696,-12.719999999999999,0.035588979297066024,0.007578007866543079,-4.88250492817789,0.0432609357152656,0.03334323461278955,-3.4009003873556445,0.001751102368344209,0.005491202496634242,-5.204608013267723,0.0025634529736905027,0.024161290985190667,-3.723003472484229,0.00034877707734316414,0.0014448918415021707,-6.53972080969857,0.0015046907906365648,0.006357524102609552,-5.058116269309154,0.00010477247217781225,0.0006578029731404578,-7.326605102874969,0.0011172435428996185,0.002894333081818015,-5.845000563125463
2019-01-23,6.770076256272222e-05,0.0,1.2683703105110483e-06,0.0,-5.047683777363979,173.65,0.0696,5.54,0.71,0.0,173.65,0.0696,-12.719999999999999,0.038372132320472624,0.012065595907512132,-4.417397189619505,0.04325884456468398,0.05308862199305338,-2.9357926487593335,0.001751102368344209,0.009978798119229654,-4.607292624745603,0.002761030795929926,0.04390671172461048,-3.125688083898824,0.00019387107648352787,0.0013870228449150812,-6.580595666325052,0.0013485983399577942,0.006102900517626357,-5.098991125957948,0.00013453746126948374,0.0006578029731404578,-7.326605102874969,0.0011458220821721557,0.002894333081818015,-5.845000563125463
2019-01-24,0.03353965672739772,0.0,1.1104328372893719e-05,1.1104328372893719e-05,-5.089804909190562,168.61,0.0486,3.44,0.71,0.0,173.65,0.0696,-12.719999999999999,0.03837538473941789,0.012737871507385192,-4.363175714351449,0.043195922610799964,0.056046634632494846,-2.8815711734878975,0.0018220555498522043,0.010656864879948118,-4.541551004725064,0.002765809604608629,0.04689020547177172,-3.0599464638733584,0.00033315367697677096,0.001421114270850755,-6.556314016597413,0.001748063388950454,0.006252902791743322,-5.0747094762169445,0.00027508843207323786,0.000691906211559136,-7.276060142515666,0.0015465555014753266,0.0030443873308601986,-5.794455602708259
2019-01-25,0.001751102368344209,0.001751102368344209,9.36681438049194e-05,9.36681438049194e-05,-5.161881644617257,168.61,0.0486,3.44,0.71,0.0,168.61,0.0486,-17.75999999999999,0.005454975672117581,0.012738485754181222,-4.363127493423332,0.009695430479436764,0.056049337318397376,-2.881522952559777,0.002441303209949614,0.010657507959536761,-4.541490662382963,0.002765809604608629,0.04689303502196175,-3.0598861215312527,0.0005221282215821621,0.0014041635012536718,-6.568313525562195,0.001766977590334619,0.006178319405516156,-5.086708985188292,0.00046406297667862903,0.000691906211559136,-7.276060142515666,0.0015654697028594916,0.0030443873308601986,-5.794455602708259
2019-01-28,3.085046594033219e-05,0.0,5.8065244903531334e-05,0.0,-5.28149576403159,168.61,0.0486,3.44,0.71,0.0,168.61,0.0486,-17.75999999999999,0.003712874314084654,0.012882216112966168,-4.351907514568556,0.008153398364098218,0.05668175089705114,-2.870302973704325,0.0006902008416054048,0.01080137368302993,-4.5280819599745685,0.001223777489270082,0.04752604420533169,-3.0464774191218926,0.00043710483003531273,0.0013620586603166943,-6.598758002199413,0.0016737611331646527,0.005993058105393454,-5.117153461842521,0.00037039483287370963,0.0006497861817090881,-7.338867198868731,0.0014722532456895251,0.0028590591995199875,-5.857262659133718
2019-01-29,0.002982821996227635,0.0,2.97649890916715e-05,2.97649890916715e-05,-5.909507908456273,168.61,0.0486,3.44,0.71,0.0,168.61,0.0486,-17.139999999999986,0.0036871021598014592,0.013087961342912489,-4.336062452678026,0.008709380055170772,0.057587029908814945,-2.854457911812852,0.0006902008416054048,0.01080137368302993,-4.5280819599745685,0.0018106096462829676,0.04752604420533169,-3.0464774191218926,0.00038274222983808003,0.001371777486202357,-6.591647944170649,0.0016936371751657621,0.006035820939290371,-5.110043403809737,0.00037409747758000825,0.0006595050075947505,-7.324020991302384,0.001550194532594166,0.0029018220334169017,-5.8424164515498465
2019-01-30,7.095318150799542e-05,7.095318150799542e-05,0.00014055097080375412,0.00014055097080375412,-5.930636950658028,168.61,0.0486,3.44,0.71,0.0,168.61,0.0486,-17.139999999999986,0.0009916562531565747,0.013101932619934526,-4.33499553134065,0.006339834581171046,0.05764850352771191,-2.853390990475413,0.0006902008416054048,0.01079949821617728,-4.5282556073038,0.0018106096462829676,0.04751779215118003,-3.046651066451137,0.0003700813609907505,0.001383467778470098,-6.5831620481518955,0.00169472373864405,0.006087258225268431,-5.101557507786223,0.0003614366087326787,0.0006595050075947502,-7.324020991302384,0.0015512810960724539,0.0029018220334169013,-5.8424164515498465
