alarm_date,fire_count,acres_total,max_fire_acres,large_fire_count,very_large_fire_count,log1p_acres_total
2011-01-14,1,0.09395437,0.09395437,0,0,0.08979899380634826
2011-02-13,2,17.939083,10.36656,0,0,2.941227670535151
2011-03-02,1,908.4495,908.4495,0,0,6.812839471402863
2011-03-18,1,440.6908,440.6908,0,0,6.090610089768854
2011-04-29,1,14.38901,14.38901,0,0,2.7336536182963065
2011-05-02,3,311.726847,187.7928,0,0,5.745330116230938
2011-05-03,1,57.09016,57.09016,0,0,4.061996286347351
2011-05-06,1,114.5797,114.5797,0,0,4.749960335281488
2011-05-08,2,128.84293,73.9867,0,0,4.866325489187089
2011-05-09,1,17.49644,17.49644,0,0,2.9175782811343507
2011-05-10,1,3.87359,3.87359,0,0,1.5838308318452938
2011-05-14,3,1141.80351,832.1211,0,0,7.041239741755471
2011-05-18,1,730.8424,730.8424,0,0,6.595565190234374
2011-05-20,1,55.0635,55.0635,0,0,4.026484976895162
2011-05-21,2,322.089,217.4034,0,0,5.777927827063653
2011-05-22,1,209.7798,209.7798,0,0,5.3508139866487126
2011-05-23,1,27.7058,27.7058,0,0,3.357099192940357
2011-05-25,1,206.3687,206.3687,0,0,5.334498368302299
2011-05-27,1,1121.373,1121.373,0,0,7.023200472903757
2011-05-28,1,241.0146,241.0146,0,0,5.488998054915383
2011-05-29,3,556.71342,384.795,0,0,6.323845246222366
2011-06-01,1,143.4112,143.4112,0,0,4.972664785777794
2011-06-02,2,122.47098,102.8208,0,0,4.816006148698878
2011-06-04,1,22.58742,22.58742,0,0,3.160713519061996
2011-06-05,2,336.4465,185.4253,0,0,5.821406979228677
2011-06-08,2,1825.63963,1790.561,0,0,7.5102332900695234
2011-06-09,1,294.4362,294.4362,0,0,5.688452908289913
2011-06-11,1,54.52419,54.52419,0,0,4.016818781650672
2011-06-15,1,18.57087,18.57087,0,0,2.9740422362195487
2011-06-16,1,1.404376,1.404376,0,0,0.8772904104328362
2011-06-19,2,5231.542799999999,5068.753,1,0,8.562652633933142
2011-06-20,2,82.23419,50.76545,0,0,4.421658200915473
2011-06-21,2,3174.7924199999998,3138.897,0,0,8.063312461288971
2011-06-22,2,129.74448,108.0505,0,0,4.873244884080597
2011-06-23,1,50.53924,50.53924,0,0,3.9423434592870157
2011-06-24,4,777.81293,380.589,0,0,6.657770875825556
2011-06-25,1,12.2906,12.2906,0,0,2.5870570184329336
2011-06-26,1,568.4095,568.4095,0,0,6.34459985893377
2011-06-27,3,1320.89434,1129.855,0,0,7.186821092860475
2011-06-29,1,4.485722,4.485722,0,0,1.702148716787379
2011-06-30,2,186.41824,171.7036,0,0,5.233342696978231
2011-07-01,2,73.800566,68.46138,0,0,4.314825451796723
2011-07-02,2,161.04275,80.91879,0,0,5.087860189308724
2011-07-04,1,56.77666,56.77666,0,0,4.056584887898269
2011-07-05,1,431.7294,431.7294,0,0,6.070112590381398
2011-07-06,1,114.3859,114.3859,0,0,4.748282162900123
2011-07-07,2,510.778448,508.3433,0,0,6.237891812639733
2011-07-08,5,21410.782338,20681.54,1,0,9.971696626040345
2011-07-09,2,371.14087,341.6777,0,0,5.919272465386611
2011-07-10,1,0.09397248,0.09397248,0,0,0.08981554829033424
2011-07-11,3,1018.0237099999999,872.8737,0,0,6.926600300861747
2011-07-14,1,517.3747,517.3747,0,0,6.250698339834765
2011-07-15,4,2994.60933,1417.535,0,0,8.004902938938395
2011-07-17,1,97.54586,97.54586,0,0,4.590522023583901
2011-07-18,2,28.428607,27.29748,0,0,3.3819672284714013
2011-07-19,3,129.16366,78.90387,0,0,4.868792581753305
2011-07-20,2,71.14892645,71.13065,0,0,4.278732405691301
2011-07-21,3,14541.99387,13992.99,1,0,9.584864635668993
2011-07-22,2,96.83602692,96.83292,0,0,4.583292882623076
2011-07-23,3,484.15608,451.0401,0,0,6.184470653599315
2011-07-24,2,65.39059,39.44989,0,0,4.195555329572135
2011-07-25,3,173.242254,97.39137,0,0,5.16044659528096
2011-07-26,1,0.009118513,0.009118513,0,0,0.009077190370995783
2011-07-27,3,223.06692,109.5609,0,0,5.411944757238144
2011-07-29,1,19.71009,19.71009,0,0,3.030621021124752
2011-07-30,4,1361.7256866,1068.116,0,0,7.217242154361638
2011-07-31,5,100.8056238,39.01207,0,0,4.623065346205482
2011-08-01,3,188.09559000000002,170.0369,0,0,5.24225265439829
2011-08-02,2,0.8474003999999999,0.7461584,0,0,0.6137794616968645
2011-08-03,4,1347.369488008,674.2451,0,0,7.206651354809607
2011-08-04,1,6.883944,6.883944,0,0,2.064828286271843
2011-08-05,2,65.05675,54.30179,0,0,4.190514221053336
2011-08-06,3,1127.76928,1026.639,0,0,7.028883185426959
2011-08-07,1,98.981,98.981,0,0,4.604980167935804
2011-08-08,3,705.57803,667.1498,0,0,6.560433641885759
2011-08-09,1,120.4073,120.4073,0,0,4.79915100861327
2011-08-10,1,188.9787,188.9787,0,0,5.246911960613064
2011-08-11,2,150.48314,140.3277,0,0,5.020474331627839
2011-08-12,1,83.77201,83.77201,0,0,4.439965417557799
2011-08-13,2,524.28136,507.8069,0,0,6.26393404284527
2011-08-14,2,97.86388000000001,77.20834,0,0,4.593743954529248
2011-08-15,2,154.84524,134.3597,0,0,5.048863463558923
2011-08-16,1,215.6143,215.6143,0,0,5.378118352701588
2011-08-17,3,324.03252,155.2015,0,0,5.783925238862377
2011-08-18,2,2095.8716600000002,2075.78,0,0,7.64820182731228
2011-08-19,2,573.19243,561.7266,0,0,6.352964584040325
2011-08-20,3,219.71438999999998,179.29,0,0,5.396869512768331
2011-08-22,3,517.0456800000001,322.3915,0,0,6.250063423699571
2011-08-23,3,57.191497000000005,28.64768,0,0,4.06373924440744
2011-08-24,3,21.872282000000002,17.14412,0,0,3.1299257844298376
2011-08-25,1,5230.338,5230.338,1,0,8.562422356079571
2011-08-26,1,12.05157,12.05157,0,0,2.568908433045864
2011-08-27,8,3249.61275,1708.175,0,0,8.08659879601418
2011-08-28,3,273.26013,141.8243,0,0,5.6140770355743665
2011-08-29,3,606.708358,411.1817,0,0,6.409695092543522
2011-08-30,1,8.151529,8.151529,0,0,2.2139209691522774
2011-08-31,1,13.91882,13.91882,0,0,2.702623503176107
2011-09-01,1,120.1135,120.1135,0,0,4.796728122463081
2011-09-02,2,1196.17441,1159.325,0,0,7.0877194008753905
2011-09-03,2,2209.0553,1533.496,0,0,7.700772816823172
2011-09-04,4,16101.1905,14585.36,1,0,9.686710597618411
2011-09-05,2,301.02707200000003,298.8475,0,0,5.710516655741337
2011-09-06,2,96.00460999999999,78.68054,0,0,4.574758503147264
2011-09-07,1,0.5522879,0.5522879,0,0,0.43972990713487103
2011-09-08,3,117.30175,56.78341,0,0,4.773238563774336
2011-09-09,4,1170.16092,1122.455,0,0,7.065750775164001
2011-09-10,24,74574.63797,25939.01,3,0,11.219569164089904
2011-09-11,3,2615.160732205,2130.331,0,0,7.869463152663997
2011-09-12,2,990.3571,507.4517,0,0,6.8990748125098
2011-09-13,5,6853.676709,5799.841,1,0,8.832686429542198
2011-09-14,3,42.864,17.62443,0,0,3.781093938101747
2011-09-17,1,601.9916,601.9916,0,0,6.401903266281899
2011-09-20,1,27.03495,27.03495,0,0,3.3334519460891157
2011-09-23,9,4793.0012,2003.45,0,0,8.47512066530719
2011-09-24,6,837.57834,541.4962,0,0,6.731708005640871
2011-09-25,1,1045.609,1045.609,0,0,6.953310693174973
2011-09-27,1,11.02602,11.02602,0,0,2.4870726356793567
2011-09-28,1,25.89026,25.89026,0,0,3.29176413925597
2011-09-30,2,53.70783,31.98037,0,0,4.002006843607882
2011-10-01,3,2180.008,2133.962,0,0,7.687542434237084
2011-10-02,1,1.67078,1.67078,0,0,0.9823705645805476
2011-10-03,1,0.03443666,0.03443666,0,0,0.03385698868276593
2011-10-15,1,21.61277,21.61277,0,0,3.118514790948636
2011-10-17,1,3.619458,3.619458,0,0,1.5302773821942692
2011-10-18,1,27.96885,27.96885,0,0,3.3662211147558554
2011-10-21,1,32.88799,32.88799,0,0,3.5230606743292454
2011-10-22,3,92.23867,52.32206,0,0,4.535162549801557
2011-10-23,1,17.60636,17.60636,0,0,2.9235034577564116
2011-10-29,1,2.142454,2.142454,0,0,1.1450040233480798
2011-10-31,1,0.09396579,0.09396579,0,0,0.08980943294412749
2011-11-01,1,62.84015,62.84015,0,0,4.156382302762853
2011-11-02,1,15.49225,15.49225,0,0,2.8028905735946634
2011-11-03,1,44.16401,44.16401,0,0,3.810300530733538
2011-11-10,2,57.213567,55.09675,0,0,4.064118437537122
2011-11-15,1,39.55087,39.55087,0,0,3.7025572353251017
2011-11-30,2,92.1465,75.98407,0,0,4.534173522535995
2011-12-01,12,1402.11448,698.1445,0,0,7.246449673352401
2011-12-02,2,48.36189,25.3986,0,0,3.899178668977537
2011-12-03,2,40.316268,31.11736,0,0,3.7212563207145
2011-12-04,2,38.37245,19.58562,0,0,3.6730663331438924
2011-12-16,1,19.64026,19.64026,0,0,3.0272435374332467
2011-12-17,1,21.28499,21.28499,0,0,3.1039133576660873
2011-12-21,1,12.84431,12.84431,0,0,2.6278743178945394
2011-12-22,1,60.44737,60.44737,0,0,4.118181036072543
2011-12-25,1,14.02203,14.02203,0,0,2.7095177903327885
2012-01-02,2,15.889973999999999,12.31213,0,0,2.826720191446114
2012-01-08,1,13.52737,13.52737,0,0,2.676034456381224
2012-01-09,1,26.50986,26.50986,0,0,3.3145444858650097
2012-01-10,1,0.7661005,0.7661005,0,0,0.5687740088298249
2012-01-12,1,8.931617,8.931617,0,0,2.295723304679261
2012-01-13,1,10.26912,10.26912,0,0,2.422066241595741
2012-01-21,1,3.157247,3.157247,0,0,1.4248530763547405
2012-01-26,1,0.6287549,0.6287549,0,0,0.48781585789444926
2012-01-31,1,8.37477,8.37477,0,0,2.238022038222194
2012-02-04,1,21.09004,21.09004,0,0,3.095126828204492
2012-02-05,1,1.226759,1.226759,0,0,0.8005471650865779
2012-02-09,2,4.156393420000001,4.11401,0,0,1.640237385501909
2012-02-10,1,22.81753,22.81753,0,0,3.1704218641760455
2012-02-21,1,2.311249,2.311249,0,0,1.1973254596033418
2012-02-23,1,196.7218,196.7218,0,0,5.286860992180447
2012-02-25,1,12.07879,12.07879,0,0,2.5709918341046967
2012-03-03,1,0.2644691,0.2644691,0,0,0.23465235029312548
2012-03-05,1,11.9515,11.9515,0,0,2.561211611553587
2012-03-08,1,10.17638,10.17638,0,0,2.4138026228082645
2012-03-09,1,11.4274,11.4274,0,0,2.519903712283626
2012-03-10,1,3.286155,3.286155,0,0,1.4553900606531907
2012-03-11,1,6.09081,6.09081,0,0,1.9587995794346047
2012-03-27,1,1.046569,1.046569,0,0,0.7161647324826054
2012-03-31,2,26.295744,21.45018,0,0,3.306730792601748
2012-04-03,2,31.6077,17.54579,0,0,3.4845484568017215
2012-04-06,1,64.10541,64.10541,0,0,4.176007648680254
2012-04-07,1,1.019931,1.019931,0,0,0.7030633524138598
2012-04-08,1,7.086761,7.086761,0,0,2.0902282800724183
2012-04-09,1,14.6584,14.6584,0,0,2.751007514206177
2012-04-12,1,0.7917694,0.7917694,0,0,0.5832036232366522
2012-04-29,2,37.390308999999995,35.04528,0,0,3.6478050579513996
2012-05-06,1,322.5931,322.5931,0,0,5.779486862336487
2012-05-08,1,126.4701,126.4701,0,0,4.847881827292835
2012-05-11,1,1.346432,1.346432,0,0,0.852895876501508
2012-05-16,2,62.274686200000005,61.55973,0,0,4.147485347114268
2012-05-17,2,14.75407,11.37237,0,0,2.7570987445872444
2012-05-18,1,56.17696,56.17696,0,0,4.046151020038371
2012-05-19,1,13.27463,13.27463,0,0,2.65848383576658
2012-05-20,1,7.48768,7.48768,0,0,2.1386157003182564
2012-05-23,2,58.08396,45.63428,0,0,4.07895948317589
2012-05-24,1,5320.116,5320.116,1,0,8.579438334772199
2012-05-25,3,116.3454771,71.6502,0,0,4.765122379585802
2012-05-26,1,4.21137,4.21137,0,0,1.650842777052571
2012-05-27,2,349.36031,256.1035,0,0,5.8589620820986985
2012-05-29,1,5.085289,5.085289,0,0,1.805874219148999
2012-05-31,3,1673.2453467,1662.4,0,0,7.423117803452267
2012-06-01,4,1855.6992910000001,1707.585,0,0,7.526555615553063
2012-06-02,2,20.666592,17.39638,0,0,3.0757715350677435
2012-06-03,4,135.62958,47.1736,0,0,4.91727346835021
2012-06-04,1,5.998867,5.998867,0,0,1.9457482788121752
2012-06-05,1,90.84224,90.84224,0,0,4.520072322517722
2012-06-06,1,4.255865,4.255865,0,0,1.659344595920939
2012-06-07,2,20.6003111,19.81854,0,0,3.072707717364178
2012-06-08,3,558.707488,488.7408,0,0,6.327414304403497
2012-06-09,4,41.8811233,17.56652,0,0,3.758431712781368
2012-06-10,2,197.41353,118.7185,0,0,5.290353388090077
2012-06-11,2,152.94724,130.0695,0,0,5.036609946311135
2012-06-12,1,1.004881,1.004881,0,0,0.6955847073762077
2012-06-13,2,12.5879645,11.76812,0,0,2.609184437695572
2012-06-14,6,328.103948,168.4775,0,0,5.79637365223103
2012-06-15,2,189.36816,96.73997,0,0,5.248959881482533
2012-06-16,5,4337.1145,2177.426,0,0,8.3751950856904
2012-06-17,3,1438.74478,995.6812,0,0,7.2722211407507595
2012-06-18,5,42116.60664,41812.52,1,0,10.648221142221301
2012-06-19,2,395.33258,385.1862,0,0,5.9822537072639275
2012-06-20,1,20.46337,20.46337,0,0,3.0663477612203276
2012-06-21,3,112.793943,95.56466,0,0,4.734389295319669
2012-06-22,4,39.559775,21.76446,0,0,3.702776811930263
2012-06-23,3,717.7056699999999,689.6714,0,0,6.577451913687746
2012-06-24,2,19.030174000000002,12.60547,0,0,2.997239836609541
2012-06-25,3,91.75253000000001,43.68042,0,0,4.529934978743549
2012-06-26,1,9.902733,9.902733,0,0,2.38901349175155
2012-06-27,1,13.74345,13.74345,0,0,2.6907989163619153
2012-06-28,1,192.0436,192.0436,0,0,5.262916070127552
2012-06-29,2,333.7023,173.2719,0,0,5.813241480019185
2012-06-30,2,152.4364,94.33763,0,0,5.033286148920372
2012-07-01,2,94.21799,73.98676,0,0,4.5561688945328624
2012-07-02,2,46.263059999999996,33.2103,0,0,3.8557290178641264
2012-07-03,4,956.17461,885.1592,0,0,6.8639858304003445
2012-07-04,2,8.225545499999999,7.590494,0,0,2.221976320969644
2012-07-05,1,1037.876,1037.876,0,0,6.945894638452441
2012-07-07,4,30969.9267,29525.45,1,0,10.34080419502523
2012-07-08,5,4793.13571,4429.401,0,0,8.475148722895701
2012-07-09,1,2530.048,2530.048,0,0,7.836388725201327
2012-07-10,2,939.8579,827.6981,0,0,6.846792118617994
2012-07-11,3,4397.314899999999,2635.211,0,0,8.3889767692791
2012-07-12,1,30.7073,30.7073,0,0,3.456546938283637
2012-07-13,1,13.03008,13.03008,0,0,2.641203596165112
2012-07-14,1,4.532138,4.532138,0,0,1.7105743592614362
2012-07-15,4,440.5728536,324.3438,0,0,6.090343020247267
2012-07-16,2,656.4005400000001,616.9758,0,0,6.488293482647488
