event_id,focal,event_date,t0,t0_index,sector,event_type,declared_peers,peers_used,n_peers_declared,n_peers_used,missing_peer_audit,clean_historical_placebo_available,rv_pre,rv_post,log_rv_ratio,mktadj_log_rv_ratio,placebo_z_rv,sv_pre,sv_post,log_sv_ratio,sv_diff,mktadj_sv_diff,placebo_z_sv,worst_day_post,spy_worst_day_post,mktadj_worst_day_post,placebo_z_worstday,cs_spread_pre,cs_spread_post,log_cs_ratio,spy_log_cs_ratio,mktadj_log_cs_ratio,amihud_pre,amihud_post,log_amihud_ratio,spy_log_amihud_ratio,mktadj_log_amihud_ratio,placebo_audit
wfc_2016,WFC,2016-09-08,2016-09-08,4701,banks,regulator_settlement,"['JPM', 'BAC', 'C', 'USB', 'PNC', 'TFC']","['JPM', 'BAC', 'C', 'USB', 'PNC', 'TFC']",6,6,{},True,0.2719328838380817,0.13547119201917213,-0.6967962725612289,-1.0567183515659846,-1.4726974340486751,0.00018053028937557112,4.27374890008435e-05,-1.4408220564102812,-0.00013779280037472762,-0.00018135854368201353,-0.13374200506036005,-0.014368924842656986,-0.024226107417682385,0.0098571825750254,0.8631643832411177,0.0028164845305665652,0.005424921848857574,0.6555140066762128,1.1316817495165776,-0.4761677428403648,0.026335497562800524,0.02095231918139523,-0.22866840532711136,0.1494809024058976,-0.3781493077330089,"{'candidate_count': 3554, 'sampled_count': 200, 'overlap_rejections': 1016, 'future_rejections': 2401, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
gs_1mdb_2018,GS,2018-11-01,2018-11-01,5243,banks,doj_charge,"['JPM', 'MS', 'BAC', 'C']","['JPM', 'MS', 'BAC', 'C']",4,4,{},True,0.18213368899443141,0.248757496601457,0.31173754033803897,-0.06331370593817315,1.113819982797283,7.552410509794748e-05,0.00014097488761894298,0.6241298882567148,6.54507825209955e-05,4.943850431073536e-05,0.13799255532317672,-0.027022000632136334,-0.01886162460465357,-0.008160376027482763,0.29258880242777424,0.003826392506828262,0.006639446689274464,0.5511061749880241,0.6507259747990118,-0.09961979981098779,0.009893373698759167,0.01309587368786211,0.28043198524331775,0.5445668060912435,-0.2641348208479258,"{'candidate_count': 3930, 'sampled_count': 200, 'overlap_rejections': 1182, 'future_rejections': 1859, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
jpm_whale_2012,JPM,2012-05-10,2012-05-10,3612,banks,disclosure_then_enforcement,"['BAC', 'C', 'GS', 'MS', 'WFC']","['BAC', 'C', 'GS', 'MS', 'WFC']",5,5,{},True,0.32601080230011575,0.2491651395907539,-0.26881462886246105,-0.4460370441370783,-0.3228759717724847,0.00020448379734670842,0.00029403615049216627,0.3632139773823974,8.955235314545785e-05,6.610581628762948e-05,0.15931450632729305,-0.032834040147222424,-0.01494180794289246,-0.017892232204329964,-0.26979510518381244,0.006331738471498931,0.006239499151197756,-0.014674923567773652,-0.05370970976295643,0.039034786195182775,0.020223768070019316,0.01818406779356934,-0.10631273509966793,-0.06547715103655452,-0.04083558406311341,"{'candidate_count': 2717, 'sampled_count': 200, 'overlap_rejections': 429, 'future_rejections': 3490, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
clov_2021,CLOV,2021-02-04,2021-02-04,5810,health_insurers,short_report_doj_inquiry,"['UNH', 'HUM', 'CNC', 'ELV']","['UNH', 'HUM', 'CNC', 'ELV']",4,4,{},True,0.2465539077399818,0.1931514209601826,-0.24410621637459343,0.4847019462446598,-0.352352819105994,9.902893185472285e-05,6.596757100978755e-05,-0.4062487703976875,-3.30613608449353e-05,-1.93283821686773e-05,-0.005780349948569102,-0.016836650945828202,-0.0042652045181412745,-0.012571446427686928,-0.25004818309750215,0.0056725408942961495,0.006018440315926641,0.05919099515450968,-0.26900628672558025,0.3281972818800899,0.0386601122330604,0.028293753978161824,-0.3121673040513876,-0.5643634061720666,0.252196102120679,"{'candidate_count': 3094, 'sampled_count': 200, 'overlap_rejections': 1749, 'future_rejections': 1292, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
mat_2019,MAT,2019-08-08,2019-08-08,5434,consumer_toys,whistleblower_accounting,"['HAS', 'FNKO', 'JAKK']","['HAS', 'FNKO', 'JAKK']",3,3,{},True,0.5177408332234726,0.7393161486811746,0.35625084043483457,-0.3833217910671589,2.294776513708906,0.0003813173393622956,0.0011716432044986762,1.1225305488369346,0.0007903258651363806,0.0006908861910709463,13.082097056916863,-0.09013153674838377,-0.030013514186223667,-0.0601180225621601,-5.615146260353907,0.020717378280008605,0.02323284961413098,0.11459433033191826,-0.2877924709079459,0.40238680123986414,1441.8380158423304,42169.72472883647,3.375783840510715,0.47949336696348965,2.8962904735472255,"{'candidate_count': 95, 'sampled_count': 95, 'overlap_rejections': 1373, 'future_rejections': 1668, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
ge_2019,GE,2019-08-15,2019-08-15,5439,industrials,fraud_allegation_report,"['HON', 'MMM', 'EMR', 'ETN', 'ROK']","['HON', 'MMM', 'EMR', 'ETN', 'ROK']",5,5,{},True,0.183681883477108,0.25661847749297984,0.3343850913245114,-0.3224681522933846,1.1868439072056325,5.111210701773322e-05,0.00010402502549857781,0.7106100929502684,5.2912918480844594e-05,-7.1355981075141845e-06,0.40738554836881286,-0.029323041383506433,-0.026022939545698343,-0.00330010183780809,-0.0012232747812264146,0.003504118181257868,0.003931766261776354,0.11514985536167109,0.011389516138448607,0.10376033922322249,0.0493375033458026,0.07696063236427553,0.4446095143116568,0.535091006665818,-0.0904814923541612,"{'candidate_count': 3930, 'sampled_count': 200, 'overlap_rejections': 1378, 'future_rejections': 1663, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
ba_doj_2021,BA,2021-01-07,2021-01-07,5791,aerospace,doj_settlement,"['RTX', 'LMT', 'GD', 'NOC', 'HON']","['RTX', 'LMT', 'GD', 'NOC', 'HON']",5,5,{},True,0.24950182218204292,0.13060088509411294,-0.6473202245432207,-0.1915158814012362,-1.6068182239291504,9.912293179316248e-05,3.5999528723052975e-05,-1.0128549500696467,-6.31234030701095e-05,-2.5191653291541987e-05,-0.47727823895238547,-0.011241319830185503,-0.00731925879392481,-0.003922061036260693,-0.2831427387926313,0.00485554361880949,0.00411912314477163,-0.16448075462233064,-0.09709518723300357,-0.06738556738932706,0.0372293169764696,0.022584430012450765,-0.4998358103143803,-0.2544290182469254,-0.24540679206745492,"{'candidate_count': 3930, 'sampled_count': 200, 'overlap_rejections': 1730, 'future_rejections': 1311, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
tyc_2002,TYC,2002-06-03,2002-06-03,1108,industrials,indictment,"['HON', 'MMM', 'EMR', 'GE']","['HON', 'MMM', 'EMR', 'GE']",4,4,{},True,0.23199427311677484,0.24189176170806923,0.041777673914280354,-0.10507732232398434,0.15091720839825154,0.00011034686298306435,9.385490292106226e-05,-0.16187869905512714,-1.6491960062002095e-05,-3.129091697600173e-05,-0.21039510133145542,-0.02269445826162564,-0.02056790850536494,-0.0021265497562606983,0.14938652084735787,0.007775577803683768,0.007740499588201135,-0.004521539092537427,-0.32411902507493284,0.3195974859823954,0.08196702318475317,0.12054854992890486,0.38573556566678213,0.14149885128733755,0.24423671437944458,"{'candidate_count': 836, 'sampled_count': 200, 'overlap_rejections': 141, 'future_rejections': 5994, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
uaa_2019,UAA,2019-11-04,2019-11-04,5495,apparel,doj_sec_probe,"['NKE', 'LULU', 'VFC', 'PVH', 'RL']","['NKE', 'LULU', 'VFC', 'PVH', 'RL']",5,5,{},True,0.27223742156911485,0.21810227420999242,-0.22171045845344994,1.1263072045495597,-0.2923898408972497,0.00014051235014492656,8.1618757266631e-06,-2.845821259870118,-0.00013235047441826345,-7.691267150083359e-05,-0.5223553903226308,-0.00892800493700463,-0.0019114408873965871,-0.007016564049608043,0.23772595950107736,0.004878255594520013,0.0044917071076795555,-0.08255486417016836,-0.3141235126528586,0.23156864848269024,0.09852644886702192,0.06946957985816841,-0.34943607168070534,-0.9393206010635466,0.5898845293828413,"{'candidate_count': 1823, 'sampled_count': 200, 'overlap_rejections': 1434, 'future_rejections': 1607, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
nkla_2020,NKLA,2020-09-10,2020-09-10,5709,ev_hydrogen,short_report_then_doj,"['TSLA', 'PLUG', 'BLDP', 'FCEL']","['TSLA', 'PLUG', 'BLDP', 'FCEL']",4,4,{},True,0.6772950384355712,0.7263700325914987,0.06995259105457992,-0.12701115486664621,0.6246855695482187,0.0005094827787661629,0.0009869617317682785,0.661235213632151,0.00047747895300211563,0.00042487337096527606,0.5928253940407125,-0.0866454779287048,-0.023464140261025612,-0.0631813376676792,-0.9823149224270596,0.013263647446935332,0.017632193365722606,0.2846993813141774,-0.3454368042792886,0.630136185593466,0.4921481641645787,0.5853496323231542,0.17342951296113834,-0.006909343503447043,0.1803388564645854,"{'candidate_count': 1087, 'sampled_count': 200, 'overlap_rejections': 1648, 'future_rejections': 1393, 'sampled_overlap_count': 0, 'sampled_future_count': 0}"
