date,TLT,IEF,ZN=F,SPY
2006-01-03,47.683650970458984,48.929359436035156,109.65630340576172,87.00088500976562
2006-01-04,47.797943115234375,49.01686096191406,109.78125,87.41292572021484
2006-01-05,47.74079895019531,49.02851486206055,109.78125,87.46783447265625
2006-01-06,47.65248107910156,48.96437454223633,109.59375,88.19571685791016
2006-01-09,47.683650970458984,48.987648010253906,109.59375,88.42231750488281
2006-01-10,47.29917526245117,48.78938674926758,109.234375,88.5115966796875
2006-01-11,47.22128677368164,48.66694641113281,109.0,88.79312133789062
2006-01-12,47.53813934326172,48.841827392578125,109.34375,88.44296264648438
2006-01-13,47.81355667114258,49.05762481689453,109.765625,88.36052703857422
2006-01-17,48.02653503417969,49.115966796875,109.859375,88.12017059326172
2006-01-18,48.010990142822266,49.13346481323242,109.765625,87.76998138427734
2006-01-19,47.87070083618164,49.0109748840332,109.5,88.10647583007812
2006-01-20,47.99533462524414,49.092674255371094,109.578125,86.49964904785156
2006-01-23,47.97980499267578,49.08102035522461,109.625,86.80865478515625
2006-01-24,47.74599075317383,48.999290466308594,109.4375,86.89790344238281
2006-01-25,47.226463317871094,48.69605255126953,108.828125,86.97347259521484
2006-01-26,47.02381896972656,48.591094970703125,108.546875,87.45413208007812
2006-01-27,47.02381896972656,48.626102447509766,108.65625,88.26441192626953
2006-01-30,46.97704315185547,48.52116012573242,108.484375,88.19571685791016
2006-01-31,47.1069450378418,48.591094970703125,108.4375,87.55024719238281
2006-02-01,46.94585418701172,48.44137954711914,108.1875,88.16138458251953
2006-02-02,47.03451156616211,48.44137954711914,108.1875,87.13824462890625
2006-02-03,47.368186950683594,48.58755874633789,108.3125,86.70562744140625
2006-02-06,47.4620246887207,48.51735305786133,108.265625,86.9322509765625
2006-02-07,47.23779296875,48.45887756347656,108.171875,86.1631851196289
2006-02-08,47.12834548950195,48.42962646484375,107.984375,86.94599151611328
2006-02-09,47.34211730957031,48.4764404296875,108.0625,86.80177307128906
2006-02-10,47.08139419555664,48.336036682128906,107.828125,86.95972442626953
2006-02-13,47.08662796020508,48.336036682128906,107.859375,86.80177307128906
2006-02-14,46.91978454589844,48.26585388183594,107.6875,87.72191619873047
2006-02-15,47.03451156616211,48.353599548339844,107.703125,88.03092956542969
2006-02-16,47.04490661621094,48.33015060424805,107.78125,88.69007873535156
2006-02-17,47.42033004760742,48.49397659301758,108.109375,88.44976043701172
2006-02-21,47.34211730957031,48.43550109863281,107.9375,88.2300796508789
2006-02-22,47.66535949707031,48.616844177246094,108.140625,88.76565551757812
2006-02-23,47.54545593261719,48.49983215332031,107.828125,88.63520050048828
2006-02-24,47.4724235534668,48.44137954711914,107.8125,88.86180114746094
2006-02-27,47.394256591796875,48.34770584106445,107.6875,88.89608764648438
2006-02-28,47.628875732421875,48.54079055786133,108.0,88.05155181884766
2006-03-01,47.34109115600586,48.44510269165039,107.796875,88.83433532714844
2006-03-02,47.01144790649414,48.25140380859375,107.453125,88.82745361328125
2006-03-03,46.73938751220703,48.134029388427734,107.203125,88.41546630859375
2006-03-06,46.33126449584961,47.981414794921875,106.890625,88.01036071777344
