cell_id,threshold,horizon,entry_lag,n_events,event_mean,baseline_mean,excess_mean,event_win_rate,baseline_win_rate,win_vs_base,hac_p,placebo_p_one_sided
thr30_H5_lag0,30,5,0,50,0.01492232,0.00231752,0.0126048,0.7,0.58813,0.11187,0.00676927,0.0
thr30_H10_lag0,30,10,0,50,0.01106014,0.00458101,0.00647912,0.64,0.618589,0.021411,0.37229918,0.0684
thr30_H20_lag0,30,20,0,50,0.02253664,0.00918077,0.01335588,0.76,0.653521,0.106479,0.08531347,0.0142
thr30_H60_lag0,30,60,0,50,0.05289503,0.0273634,0.02553163,0.74,0.718544,0.021456,0.03599524,0.0056
thr40_H5_lag0,40,5,0,17,0.01817454,0.00231752,0.01585701,0.764706,0.58813,0.176576,0.15340046,0.003
thr40_H10_lag0,40,10,0,17,0.00414416,0.00458101,-0.00043685,0.647059,0.618589,0.02847,0.97249452,0.533
thr40_H20_lag0,40,20,0,17,0.02549917,0.00918077,0.0163184,0.764706,0.653521,0.111185,0.48398481,0.0568
thr40_H60_lag0,40,60,0,17,0.08930069,0.0273634,0.06193729,0.882353,0.718544,0.163809,0.01911712,0.0008
thr30_H5_lag1,30,5,1,50,0.01376571,0.00231752,0.01144818,0.72,0.58813,0.13187,0.01729092,0.0002
thr30_H10_lag1,30,10,1,50,0.01251173,0.00458101,0.00793072,0.6,0.618589,-0.018589,0.18864961,0.0372
thr30_H20_lag1,30,20,1,50,0.01843073,0.00918077,0.00924997,0.7,0.653521,0.046479,0.21998119,0.064
thr30_H60_lag1,30,60,1,50,0.04983644,0.0273634,0.02247303,0.76,0.718544,0.041456,0.07427313,0.0122
thr40_H5_lag1,40,5,1,17,-0.00167602,0.00231752,-0.00399355,0.470588,0.58813,-0.117542,0.79505642,0.765
thr40_H10_lag1,40,10,1,17,-0.00639866,0.00458101,-0.01097967,0.588235,0.618589,-0.030354,0.56943591,0.928
thr40_H20_lag1,40,20,1,17,0.02983901,0.00918077,0.02065824,0.764706,0.653521,0.111185,0.36061469,0.0226
thr40_H60_lag1,40,60,1,17,0.07772776,0.0273634,0.05036436,0.764706,0.718544,0.046162,0.06865502,0.0014
