threshold,horizon,entry_date,vix_close,spy_close,forward_return
30,5,1997-10-27,31.120001,53.147503,0.0781355611
30,5,1997-12-24,30.27,57.164875,0.0444966908
30,5,1998-08-04,31.059999,65.881432,-0.0011681243
30,5,1998-12-14,31.309999,70.284813,0.0598286804
30,5,1999-01-13,30.110001,76.485298,-0.0043058006
30,5,1999-02-17,30.65,76.097816,0.0203670576
30,5,2000-04-14,33.490002,85.435669,0.0459564838
30,5,2000-10-12,30.51,84.037132,0.0464786156
30,5,2000-12-20,31.74,79.941612,0.0591583957
30,5,2001-03-12,30.32,74.768387,-0.0035065156
30,5,2001-09-07,30.99,69.223274,-0.0920712606
30,5,2001-10-29,31.639999,68.671356,0.0300609095
30,5,2002-07-09,30.219999,61.698997,-0.0527200965
30,5,2002-08-27,30.110001,60.769627,-0.0490652051
30,5,2002-11-04,30.82,59.077782,-0.0314937425
30,5,2002-12-05,30.1,59.272255,-0.0072183014
30,5,2003-01-24,31.51,56.273636,-0.0037050404
30,5,2003-03-03,30.43,54.781792,-0.032941598
30,5,2007-08-15,30.67,99.456741,0.0397760999
30,5,2007-11-12,31.09,101.813248,0.0004174639
30,5,2008-01-22,31.01,93.108253,0.0397035862
30,5,2008-03-14,31.16,92.317635,0.0445722764
30,5,2008-09-15,31.700001,86.390213,0.0160063225
30,5,2009-05-21,31.35,65.537041,0.0372147099
30,5,2009-06-22,31.17,65.958931,0.0383067513
30,5,2009-10-30,30.690001,76.87323,0.0344727553
30,5,2010-05-06,32.799999,84.634529,0.0270054214
30,5,2010-06-04,35.48,80.048325,0.0267741597
30,5,2011-08-04,31.66,92.36544,-0.0243640556
30,5,2011-10-17,33.389999,92.820145,0.0437492736
30,5,2011-12-08,30.59,95.692055,-0.0142798725
30,5,2015-08-24,40.740002,157.993011,0.0431131045
30,5,2018-02-05,37.32,231.705215,0.0053421682
30,5,2018-12-21,30.110001,215.325333,0.0383051882
30,5,2020-02-27,39.16,271.186066,0.0166383363
30,5,2020-05-12,33.040001,262.841797,0.0184881804
30,5,2020-06-11,40.790001,275.623047,0.0371579128
30,5,2020-07-13,32.189999,289.940613,0.0301105994
30,5,2020-09-03,33.599998,318.074585,-0.0328035969
30,5,2020-10-26,32.459999,313.800171,-0.0270777714
30,5,2021-01-27,37.209999,347.655365,0.0198713638
30,5,2021-12-01,31.120001,422.400085,0.0422197314
30,5,2022-01-25,31.16,408.801086,0.0425345826
30,5,2022-02-23,31.02,397.020813,0.0377769363
30,5,2022-04-26,33.52,392.732788,0.0006729314
30,5,2022-06-13,34.02,353.940826,0.0045073549
30,5,2022-09-26,32.259998,346.755066,0.00631324
30,5,2024-08-05,38.57,505.415039,0.0307125467
30,5,2025-04-03,30.02,529.253845,-0.0225825554
30,5,2026-03-27,31.049999,632.460632,0.0391742708
30,10,1997-10-27,31.120001,53.147503,0.0594982924
30,10,1997-12-24,30.27,57.164875,-0.0117091743
30,10,1998-08-04,31.059999,65.881432,0.031542136
30,10,1998-12-14,31.309999,70.284813,0.0964882982
30,10,1999-01-13,30.110001,76.485298,0.0268488604
30,10,1999-02-17,30.65,76.097816,0.0058559539
30,10,2000-04-14,33.490002,85.435669,0.0813423629
30,10,2000-10-12,30.51,84.037132,0.0267604425
30,10,2000-12-20,31.74,79.941612,0.0232678479
30,10,2001-03-12,30.32,74.768387,-0.0154796275
30,10,2001-09-07,30.99,69.223274,-0.0557972004
30,10,2001-10-29,31.639999,68.671356,0.0426246643
30,10,2002-07-09,30.219999,61.698997,-0.1637025101
30,10,2002-08-27,30.110001,60.769627,-0.0321789299
30,10,2002-11-04,30.82,59.077782,-0.0071331319
30,10,2002-12-05,30.1,59.272255,-0.0248277337
30,10,2003-01-24,31.51,56.273636,-0.0342677597
30,10,2003-03-03,30.43,54.781792,0.0319887905
30,10,2007-08-15,30.67,99.456741,0.038996029
30,10,2007-11-12,31.09,101.813248,-0.0078637732
30,10,2008-01-22,31.01,93.108253,0.0260866929
30,10,2008-03-14,31.16,92.317635,0.0232494235
30,10,2008-09-15,31.700001,86.390213,-0.0671602314
30,10,2009-05-21,31.35,65.537041,0.0598585274
30,10,2009-06-22,31.17,65.958931,-0.0136648881
30,10,2009-10-30,30.690001,76.87323,0.0585170914
30,10,2010-05-06,32.799999,84.634529,-0.0478131817
30,10,2010-06-04,35.48,80.048325,0.0509417853
30,10,2011-08-04,31.66,92.36544,-0.04781315
30,10,2011-10-17,33.389999,92.820145,0.0438326198
30,10,2011-12-08,30.59,95.692055,0.0170591321
30,10,2015-08-24,40.740002,157.993011,0.0418467621
30,10,2018-02-05,37.32,231.705215,0.0283029349
30,10,2018-12-21,30.110001,215.325333,0.0667636274
30,10,2020-02-27,39.16,271.186066,-0.1660445802
30,10,2020-05-12,33.040001,262.841797,0.0588131618
30,10,2020-06-11,40.790001,275.623047,0.0269205422
30,10,2020-07-13,32.189999,289.940613,0.0266166735
30,10,2020-09-03,33.599998,318.074585,-0.0388444686
30,10,2020-10-26,32.459999,313.800171,0.0446977244
30,10,2021-01-27,37.209999,347.655365,0.0418524591
30,10,2021-12-01,31.120001,422.400085,0.0446172826
30,10,2022-01-25,31.16,408.801086,0.0379082107
30,10,2022-02-23,31.02,397.020813,0.0129400815
30,10,2022-04-26,33.52,392.732788,-0.040879728
30,10,2022-06-13,34.02,353.940826,0.0194513971
30,10,2022-09-26,32.259998,346.755066,-0.0117757847
30,10,2024-08-05,38.57,505.415039,0.0816227333
30,10,2025-04-03,30.02,529.253845,-0.0191729148
30,10,2026-03-27,31.049999,632.460632,0.0820230385
30,20,1997-10-27,31.120001,53.147503,0.0896055992
30,20,1997-12-24,30.27,57.164875,0.0264302744
30,20,1998-08-04,31.059999,65.881432,-0.0648366902
30,20,1998-12-14,31.309999,70.284813,0.0882194171
30,20,1999-01-13,30.110001,76.485298,0.0141841248
30,20,1999-02-17,30.65,76.097816,0.0603358053
30,20,2000-04-14,33.490002,85.435669,0.0682449288
30,20,2000-10-12,30.51,84.037132,0.0518773863
30,20,2000-12-20,31.74,79.941612,0.0685642931
30,20,2001-03-12,30.32,74.768387,-0.0271979447
30,20,2001-09-07,30.99,69.223274,0.0155695329
30,20,2001-10-29,31.639999,68.671356,0.0742671949
30,20,2002-07-09,30.219999,61.698997,-0.0942471205
30,20,2002-08-27,30.110001,60.769627,-0.1001687152
30,20,2002-11-04,30.82,59.077782,0.01909338
30,20,2002-12-05,30.1,59.272255,0.0217304616
30,20,2003-01-24,31.51,56.273636,-0.0298684987
30,20,2003-03-03,30.43,54.781792,0.0117923073
30,20,2007-08-15,30.67,99.456741,0.0558003479
30,20,2007-11-12,31.09,101.813248,0.0292968847
30,20,2008-01-22,31.01,93.108253,0.0397802011
30,20,2008-03-14,31.16,92.317635,0.0306929018
30,20,2008-09-15,31.700001,86.390213,-0.1511642592
30,20,2009-05-21,31.35,65.537041,0.0375500971
30,20,2009-06-22,31.17,65.958931,0.0704525163
30,20,2009-10-30,30.690001,76.87323,0.0616069309
30,20,2010-05-06,32.799999,84.634529,-0.0541883387
30,20,2010-06-04,35.48,80.048325,-0.0386983761
30,20,2011-08-04,31.66,92.36544,0.0056546376
30,20,2011-10-17,33.389999,92.820145,0.0434999748
30,20,2011-12-08,30.59,95.692055,0.0393863321
30,20,2015-08-24,40.740002,157.993011,0.0285915032
30,20,2018-02-05,37.32,231.705215,0.0339106935
30,20,2018-12-21,30.110001,215.325333,0.094349803
30,20,2020-02-27,39.16,271.186066,-0.1168832097
30,20,2020-05-12,33.040001,262.841797,0.112777494
30,20,2020-06-11,40.790001,275.623047,0.0611347958
30,20,2020-07-13,32.189999,289.940613,0.0658428461
30,20,2020-09-03,33.599998,318.074585,-0.029571507
30,20,2020-10-26,32.459999,313.800171,0.0532423499
30,20,2021-01-27,37.209999,347.655365,0.0211531437
30,20,2021-12-01,31.120001,422.400085,0.060672242
30,20,2022-01-25,31.16,408.801086,-0.0288166393
30,20,2022-02-23,31.02,397.020813,0.0550509017
30,20,2022-04-26,33.52,392.732788,-0.053376748
30,20,2022-06-13,34.02,353.940826,0.0145771665
30,20,2022-09-26,32.259998,346.755066,0.0399659581
30,20,2024-08-05,38.57,505.415039,0.0670688056
30,20,2025-04-03,30.02,529.253845,0.0560087046
30,20,2026-03-27,31.049999,632.460632,0.1278682639
30,60,1997-10-27,31.120001,53.147503,0.104737488
30,60,1997-12-24,30.27,57.164875,0.1870739236
30,60,1998-08-04,31.059999,65.881432,0.0017729735
30,60,1998-12-14,31.309999,70.284813,0.1411421663
30,60,1999-01-13,30.110001,76.485298,0.107543171
30,60,1999-02-17,30.65,76.097816,0.1216039072
30,60,2000-04-14,33.490002,85.435669,0.0990887484
30,60,2000-10-12,30.51,84.037132,-0.0216565448
30,60,2000-12-20,31.74,79.941612,-0.093010121
30,60,2001-03-12,30.32,74.768387,0.0846361679
30,60,2001-09-07,30.99,69.223274,0.0761351549
30,60,2001-10-29,31.639999,68.671356,0.060405902
30,60,2002-07-09,30.219999,61.698997,-0.1263309769
30,60,2002-08-27,30.110001,60.769627,-0.0146121944
30,60,2002-11-04,30.82,59.077782,-0.0509944995
30,60,2002-12-05,30.1,59.272255,-0.0827945742
30,60,2003-01-24,31.51,56.273636,0.061683879
30,60,2003-03-03,30.43,54.781792,0.1422962974
30,60,2007-08-15,30.67,99.456741,0.0483416915
30,60,2007-11-12,31.09,101.813248,-0.0690592172
30,60,2008-01-22,31.01,93.108253,0.0536149759
30,60,2008-03-14,31.16,92.317635,0.0540317449
30,60,2008-09-15,31.700001,86.390213,-0.250411407
30,60,2009-05-21,31.35,65.537041,0.1082311194
30,60,2009-06-22,31.17,65.958931,0.2020610109
30,60,2009-10-30,30.690001,76.87323,0.0540218231
30,60,2010-05-06,32.799999,84.634529,0.0031561629
30,60,2010-06-04,35.48,80.048325,-0.0094451117
30,60,2011-08-04,31.66,92.36544,0.0748820285
30,60,2011-10-17,33.389999,92.820145,0.0840168297
30,60,2011-12-08,30.59,95.692055,0.1016586023
30,60,2015-08-24,40.740002,157.993011,0.0899107901
30,60,2018-02-05,37.32,231.705215,0.0012283147
30,60,2018-12-21,30.110001,215.325333,0.188135246
30,60,2020-02-27,39.16,271.186066,-0.0011180226
30,60,2020-05-12,33.040001,262.841797,0.1713860765
30,60,2020-06-11,40.790001,275.623047,0.1445978217
30,60,2020-07-13,32.189999,289.940613,0.06806877
30,60,2020-09-03,33.599998,318.074585,0.0524602722
30,60,2020-10-26,32.459999,313.800171,0.1329506611
30,60,2021-01-27,37.209999,347.655365,0.1167032465
30,60,2021-12-01,31.120001,422.400085,-0.027382874
30,60,2022-01-25,31.16,408.801086,0.011395538
30,60,2022-02-23,31.02,397.020813,-0.0741321509
30,60,2022-04-26,33.52,392.732788,-0.0463912383
30,60,2022-06-13,34.02,353.940826,0.0722920196
30,60,2022-09-26,32.259998,346.755066,0.0493465769
30,60,2024-08-05,38.57,505.415039,0.1279031292
30,60,2025-04-03,30.02,529.253845,0.1542312884
30,60,2026-03-27,31.049999,632.460632,0.1593448711
40,5,1998-08-31,44.279999,59.108524,0.0729171998
40,5,1998-09-30,40.950001,62.870216,-0.0454549316
40,5,2001-09-17,41.759998,66.409012,-0.0308934762
40,5,2002-07-22,41.869999,53.0508,0.0920924496
40,5,2002-09-19,40.650002,54.664276,0.016698009
40,5,2008-09-29,46.720001,80.588226,-0.0597951691
40,5,2009-01-07,43.389999,66.136208,-0.0694825753
40,5,2009-04-06,40.93,61.415703,0.0089711286
40,5,2010-05-07,40.950001,83.375557,0.0236382914
