Date,Open,High,Low,Close,Volume
2024-03-18,25.510000228881836,25.6200008392334,25.510000228881836,25.510000228881836,600
2024-03-19,24.799999237060547,24.799999237060547,22.25,22.540000915527344,41800
2024-03-20,23.0,23.06999969482422,20.899999618530273,22.15999984741211,45400
2024-03-21,24.0,24.0,21.540000915527344,21.802000045776367,97500
2024-03-22,21.420000076293945,22.299999237060547,20.884000778198242,22.023000717163086,62600
2024-03-25,20.31999969482422,22.770000457763672,20.10099983215332,21.75,102200
2024-03-26,22.149999618530273,22.649999618530273,21.1200008392334,21.610000610351562,87800
2024-03-27,22.200000762939453,22.350000381469727,21.0,21.899999618530273,57500
2024-03-28,21.979999542236328,22.799999237060547,21.850000381469727,22.149999618530273,86600
2024-04-01,22.079999923706055,23.74799919128418,22.049999237060547,22.889999389648438,245500
2024-04-02,21.8799991607666,21.8799991607666,20.707000732421875,21.760000228881836,150300
2024-04-03,21.280000686645508,22.42799949645996,21.260000228881836,22.139999389648438,60200
2024-04-04,22.709999084472656,22.709999084472656,18.549999237060547,18.579999923706055,716500
2024-04-05,19.197999954223633,20.006999969482422,18.5,19.579999923706055,234900
2024-04-08,19.030000686645508,19.729999542236328,18.68000030517578,19.420000076293945,103400
2024-04-09,19.229999542236328,19.700000762939453,18.78499984741211,19.490999221801758,510100
2024-04-10,19.030000686645508,19.200000762939453,18.100000381469727,18.739999771118164,190800
2024-04-11,18.790000915527344,19.579999923706055,18.54800033569336,19.479999542236328,81300
2024-04-12,18.190000534057617,18.349000930786133,17.520000457763672,17.84000015258789,574400
2024-04-15,17.940000534057617,17.950000762939453,16.81100082397461,17.190000534057617,416700
2024-04-16,17.3799991607666,18.07200050354004,17.3799991607666,17.860000610351562,481700
2024-04-17,17.8700008392334,17.959999084472656,15.789999961853027,15.798999786376953,342400
2024-04-18,15.869999885559082,16.329999923706055,15.479999542236328,15.989999771118164,435100
2024-04-19,15.289999961853027,15.720000267028809,13.920000076293945,14.229999542236328,1078800
2024-04-22,14.4399995803833,14.810999870300293,14.09000015258789,14.5600004196167,210500
2024-04-23,15.220000267028809,15.531999588012695,14.989999771118164,15.329999923706055,234900
2024-04-24,16.18000030517578,16.334999084472656,14.979999542236328,15.199999809265137,239500
2024-04-25,14.600000381469727,15.829999923706055,14.180000305175781,15.600000381469727,768800
2024-04-26,15.680000305175781,16.549999237060547,15.510000228881836,16.280000686645508,224500
2024-04-29,16.719999313354492,17.0,16.06999969482422,16.899999618530273,861200
2024-04-30,16.969999313354492,17.299999237060547,16.5,16.600000381469727,796500
2024-05-01,14.329999923706055,15.0,13.100000381469727,13.529999732971191,868100
2024-05-02,13.6899995803833,14.119000434875488,12.920000076293945,13.850000381469727,351500
2024-05-03,14.300000190734863,14.718999862670898,14.085000038146973,14.680000305175781,512100
2024-05-06,15.180000305175781,15.829999923706055,14.793000221252441,15.710000038146973,369300
2024-05-07,15.729999542236328,16.0,15.25,15.399999618530273,221600
2024-05-08,15.199999809265137,15.550000190734863,15.020000457763672,15.270000457763672,145500
2024-05-09,15.15999984741211,15.300000190734863,14.619999885559082,14.989999771118164,129300
2024-05-10,15.420000076293945,15.748000144958496,14.75100040435791,14.890000343322754,194000
2024-05-13,14.819999694824219,15.130000114440918,14.5649995803833,14.600000381469727,207500
2024-05-14,14.520000457763672,15.196000099182129,14.265000343322754,15.09000015258789,524900
2024-05-15,15.600000381469727,16.3799991607666,15.430000305175781,16.360000610351562,525300
2024-05-16,16.639999389648438,18.100000381469727,16.479999542236328,17.010000228881836,1524000
2024-05-17,18.239999771118164,18.447999954223633,16.902999877929688,17.3799991607666,902300
2024-05-20,17.610000610351562,18.18000030517578,17.360000610351562,17.760000228881836,660500
2024-05-21,17.290000915527344,17.628999710083008,17.010000228881836,17.389999389648438,447800
2024-05-22,17.93000030517578,18.399999618530273,17.200000762939453,17.5,707600
2024-05-23,18.579999923706055,19.100000381469727,15.989999771118164,16.450000762939453,1469700
2024-05-24,16.6200008392334,17.899999618530273,16.440000534057617,17.65999984741211,730600
2024-05-28,18.270000457763672,19.3799991607666,17.360000610351562,18.729999542236328,1404900
2024-05-29,17.829999923706055,17.989999771118164,16.899999618530273,17.34000015258789,1283600
2024-05-30,17.850000381469727,18.09000015258789,17.06999969482422,17.6200008392334,749000
2024-05-31,17.690000534057617,18.222999572753906,16.270000457763672,17.729999542236328,1156700
2024-06-03,18.450000762939453,18.56999969482422,16.420000076293945,16.969999313354492,1423300
2024-06-04,16.899999618530273,17.229000091552734,16.020000457763672,16.229999542236328,1037900
2024-06-05,16.649999618530273,17.670000076293945,16.530000686645508,17.5,1505000
2024-06-06,17.34000015258789,18.18000030517578,17.020000457763672,17.6200008392334,1067900
2024-06-07,17.510000228881836,18.139999389648438,17.450000762939453,17.799999237060547,750500
2024-06-10,16.700000762939453,17.329999923706055,16.09000015258789,16.25,1569400
2024-06-11,16.25,16.450000762939453,15.529999732971191,15.949999809265137,624300
2024-06-12,16.209999084472656,16.559999465942383,15.880000114440918,16.190000534057617,894000
2024-06-13,16.190000534057617,16.649999618530273,15.600000381469727,16.110000610351562,861700
2024-06-14,15.8100004196167,16.3700008392334,15.630000114440918,16.0,567700
2024-06-17,15.729999542236328,15.949999809265137,14.951000213623047,15.789999961853027,1263900
