date,rv_c2c,n_returns,path_start_ts,path_end_ts,path_start_hhmmss,path_end_hhmmss,active_contract,active_volume_share,active_choice_differs_from_full_day,rolled,anchor_complete,rv_post_close_1330_1345,rv_gap_1345_to_1500,rv_night,rv_gap_0500_to_0845,rv_day_0845_1330
2016-12-02,7.682827298776295e-05,61,2016-12-01 13:30:00,2016-12-02 13:30:00,133000,133000,201612,0.9788050237348701,False,False,True,6.997532333515022e-08,0.0,0.0,0.0,1.413086871125451e-05
2016-12-05,1.980317529172684e-05,62,2016-12-02 13:30:00,2016-12-05 13:30:00,133000,133000,201612,0.9809087853202302,False,False,True,3.571676497039963e-08,0.0,0.0,0.0,1.966034719190623e-05
2016-12-06,9.866442454262117e-05,61,2016-12-05 13:30:00,2016-12-06 13:30:00,133000,133000,201612,0.9644896945617085,False,False,True,2.2674844388513112e-07,0.0,0.0,0.0,9.020259537561867e-06
2016-12-07,2.7794910035355404e-05,62,2016-12-06 13:30:00,2016-12-07 13:30:00,133000,133000,201612,0.9717933089530001,False,False,True,5.8284231776438024e-08,0.0,0.0,0.0,1.1841577629195347e-05
2016-12-08,0.00010216588013331784,62,2016-12-07 13:30:00,2016-12-08 13:30:00,133000,133000,201612,0.9628218371762137,False,False,True,8.15632028297597e-08,0.0,0.0,0.0,1.864620580977279e-05
2016-12-09,8.025303387759622e-06,62,2016-12-08 13:30:00,2016-12-09 13:30:00,133000,133000,201612,0.9720921574523533,False,False,True,1.3920276284206135e-06,0.0,0.0,0.0,6.587696608427823e-06
2016-12-12,4.1418668728781364e-05,61,2016-12-09 13:30:00,2016-12-12 13:30:00,133000,133000,201612,0.9631236264637386,False,False,True,0.0,0.0,0.0,0.0,2.677629646922895e-05
2016-12-13,8.172927019048063e-06,61,2016-12-12 13:30:00,2016-12-13 13:30:00,133000,133000,201612,0.9619241991804455,False,False,True,3.426844687207159e-08,0.0,0.0,0.0,8.138658572175993e-06
2016-12-14,1.83423139141416e-05,62,2016-12-13 13:30:00,2016-12-14 13:30:00,133000,133000,201612,0.9514191230699688,False,False,True,2.3880596565661833e-07,0.0,0.0,0.0,1.0438306558635187e-05
2016-12-15,4.014762761674862e-05,62,2016-12-14 13:30:00,2016-12-15 13:30:00,133000,133000,201612,0.9389210096096335,False,False,True,3.416709913830128e-07,0.0,0.0,0.0,2.3291956842012007e-05
