week_end,USEPU
2025-07-25,296.6
2025-08-01,328.78
2025-08-08,304.5
2025-08-15,218.9
2025-08-22,167.33
2025-08-29,243.9
2025-09-05,383.3
2025-09-12,353.0
2025-09-19,327.67
2025-09-26,168.11
2025-10-03,518.28
2025-10-10,340.47
2025-10-17,413.76
2025-10-24,437.69
2025-10-31,270.19
2025-11-07,380.87
2025-11-14,686.22
2025-11-21,423.14
2025-11-28,245.45
2025-12-05,563.1
2025-12-12,675.5
2025-12-19,385.73
2025-12-26,154.27
2026-01-02,262.66
2026-01-09,580.8
2026-01-16,396.42
2026-01-23,592.32
2026-01-30,227.41
2026-02-06,193.34
2026-02-13,492.91
2026-02-20,706.97
2026-02-27,312.14
2026-03-06,552.76
2026-03-13,306.01
2026-03-20,388.08
2026-03-27,654.1
2026-04-03,224.89
2026-04-10,339.48
2026-04-17,2.59
2026-04-24,481.08
