week_end,WLEMU
2025-07-25,114.65
2025-08-01,429.41
2025-08-08,854.83
2025-08-15,45.28
2025-08-22,103.13
2025-08-29,22.76
2025-09-05,69.05
2025-09-12,269.83
2025-09-19,112.65
2025-09-26,56.47
2025-10-03,167.25
2025-10-10,121.13
2025-10-17,237.74
2025-10-24,16.81
2025-10-31,177.68
2025-11-07,168.96
2025-11-14,1071.71
2025-11-21,112.67
2025-11-28,126.26
2025-12-05,305.35
2025-12-12,56.41
2025-12-19,173.91
2025-12-26,38.81
2026-01-02,103.45
2026-01-09,71.75
2026-01-16,200.01
2026-01-23,42.57
2026-01-30,144.57
2026-02-06,195.01
2026-02-13,693.17
2026-02-20,58.24
2026-02-27,145.74
2026-03-06,149.54
2026-03-13,169.93
2026-03-20,173.7
2026-03-27,204.2
2026-04-03,297.17
2026-04-10,107.7
2026-04-17,113.38
2026-04-24,535.99
