week_end,STLFSI
2024-06-07,-0.8634
2024-06-14,-0.8036
2024-06-21,-0.8508
2024-06-28,-0.7931
2024-07-05,-0.8121
2024-07-12,-0.8206
2024-07-19,-0.7898
2024-07-26,-0.7775
2024-08-02,-0.5959
2024-08-09,-0.2784
2024-08-16,-0.1432
2024-08-23,-0.7105
2024-08-30,-0.6143
2024-09-06,-0.6258
2024-09-13,-0.3763
2024-09-20,-0.2977
2024-09-27,-0.4285
2024-10-04,-0.3947
2024-10-11,-0.6174
2024-10-18,-0.6079
2024-10-25,-0.5358
2024-11-01,-0.4004
2024-11-08,-0.3062
2024-11-15,-0.57
2024-11-22,-0.8092
2024-11-29,-0.6153
2024-12-06,-0.6083
2024-12-13,-0.5299
2024-12-20,-0.5906
2024-12-27,-0.5224
2025-01-03,-0.6404
2025-01-10,-0.6291
2025-01-17,-0.8199
2025-01-24,-0.8225
2025-01-31,-0.9762
2025-02-07,-0.764
2025-02-14,-0.7872
2025-02-21,-0.8378
2025-02-28,-0.7601
2025-03-07,-0.4518
2025-03-14,-0.3601
2025-03-21,-0.2264
2025-03-28,-0.6489
2025-04-04,-0.6316
2025-04-11,0.0944
2025-04-18,0.5535
2025-04-25,-0.2104
2025-05-02,-0.2767
2025-05-09,-0.3478
2025-05-16,-0.4793
2025-05-23,-0.9036
2025-05-30,-0.5089
2025-06-06,-0.5433
2025-06-13,-0.8111
2025-06-20,-0.7856
2025-06-27,-0.6635
2025-07-04,-0.7036
2025-07-11,-0.879
2025-07-18,-0.7526
2025-07-25,-0.7175
2025-08-01,-0.795
2025-08-08,-0.6777
2025-08-15,-0.5681
2025-08-22,-0.8153
2025-08-29,-0.7505
2025-09-05,-0.7126
2025-09-12,-0.4211
2025-09-19,-0.5655
2025-09-26,-0.5903
2025-10-03,-0.534
2025-10-10,-0.4941
2025-10-17,-0.4834
2025-10-24,-0.3683
2025-10-31,-0.5081
2025-11-07,-0.5405
2025-11-14,-0.3091
2025-11-21,-0.5064
2025-11-28,-0.1331
2025-12-05,-0.3964
2025-12-12,-0.4257
2025-12-19,-0.3606
2025-12-26,-0.342
2026-01-02,-0.5822
2026-01-09,-0.5656
2026-01-16,-0.6644
2026-01-23,-0.651
2026-01-30,-0.7123
2026-02-06,-0.6784
2026-02-13,-0.6558
2026-02-20,-0.6208
2026-02-27,-0.5981
2026-03-06,-0.4436
2026-03-13,-0.4279
2026-03-20,-0.299
2026-03-27,-0.3677
2026-04-03,-0.1828
2026-04-10,-0.2412
2026-04-17,-0.6475
2026-04-24,-0.7584
