drop,S,theta_eav,theta_eav_t,theta_rel,delta_from_baseline
BHP.AX,9,0.00027434138505583655,5.455989350859186,1.3686293083367784,1.2188121391244984
CBA.AX,9,3.4793908947914376e-05,2.4838132209994797,0.16161752531591977,0.01180035610363972
CSL.AX,9,2.567153414601229e-05,2.0636560273559335,0.1224952228042217,-0.02732194640805835
NAB.AX,9,0.00010393630799100929,4.752606078641758,0.4858939696263305,0.33607680041405047
ANZ.AX,9,9.881614783029253e-05,4.525904804159343,0.46567215412736757,0.3158549849150875
WBC.AX,9,3.428585093893788e-05,2.341316867531327,0.16153998588768792,0.011722816675407866
WES.AX,9,3.1962761425712754e-05,2.251582850149845,0.14722131246018338,-0.0025958567520966702
MQG.AX,9,0.00016916925280664865,5.7260486589689,0.8166094460537443,0.6667922768414642
TLS.AX,9,0.00022053649470644426,6.17939394271399,1.0038976825901345,0.8540805133778544
RIO.AX,9,0.000225075103746565,5.4376646295616755,1.1024145909340908,0.9525974217218107
