cadence,converged,S,theta_eav,theta_eav_se,theta_eav_t,theta_eav_p,mean_sigma2,theta_rel,loglik,total_events
semi_annual,True,10,3.163797681847504e-05,1.3161777374986199e-05,2.4037769305080814,0.01622667147799217,0.00021117724346831251,0.14981716921228005,89047.22333560206,216
synthetic_quarterly,True,10,3.165432529777036e-05,1.1639647915389758e-05,2.7195260138339337,0.006537555246803439,0.00021117724346831251,0.14989458512616746,89048.10159180163,422
