rep,seed,theta_rel,theta_eav,theta_eav_t,total_events,converged
1,43,0.14680659472897645,3.100221199783494e-05,2.324775540953459,216,True
2,44,0.15008602561393883,3.169475317226615e-05,2.851010924059898,216,True
3,45,0.15040730899940924,3.1762600911981956e-05,2.6277754694789084,216,True
4,46,0.1467454190928233,3.09892930956247e-05,2.3413292980372544,216,True
5,47,0.1536950562548308,3.245689831460239e-05,2.89874324670466,216,True
6,48,0.14593533648856594,3.0818222084276e-05,2.2200718762987437,216,True
7,49,0.41890979025618735,8.84642147681906e-05,3.6822105119689548,216,True
8,50,0.145147999427368,3.065195441401178e-05,1.9399901637669505,216,True
9,51,0.14556889633748252,3.074083826327409e-05,2.1623445816260336,216,True
10,52,0.6052222074684904,0.00012780915745900294,6.62812843533431,216,True
