converged,reason,fun,start_seed,start_theta_eav,start_theta0,theta0,theta_vix,theta_eav,loglik,x_final,nit,mean_sigma2
False,penalty-trap,10000000000000.0,43,1.132554875961837e-06,5.76150766343344e-05,,,,,,,
False,penalty-trap,258487491773.95215,44,1.2449818583770718e-05,2.141907118426978e-06,,,,,,,
True,,,45,0.00011509834820107835,3.522592869595156e-05,8.70880537043178e-05,3.461912491018779e-07,9.372071617218875e-05,88920.96352105647,"[8.70880537043178e-05, 3.461912491018779e-07, 9.372071617218875e-05, 0.08698071864756701, 0.06033815300464355, 0.08440522506788423, 0.08574050326010589, 0.06971121728708903, 0.054890454041527426, 0.07580276639434563, 0.07231534749258442, 0.08924069421577711, 0.07604766515900672, 0.0644782037985587, 0.09488763467586464, 0.05968082463145641, 0.08693400592414718, 0.09124632337076796, 0.07250441944373975, 0.026099715327307958, 0.026734625060508287, 0.03190841151425676, 0.07439691269444358, 0.8062436116096903, 0.8461552303137249, 0.8511173763247115, 0.8450867984701095, 0.8193606017035766, 0.8136822625767115, 0.8159532086605764, 0.8938579053810518, 0.8218264918059286, 0.8406910791457542]",8.0,0.00021117724346831251
False,penalty-trap,10000000000000.0,46,5.4407352746566345e-06,0.00027809858465410546,,,,,,,
True,,,47,1.8009776333784686e-05,0.00010048502217734858,0.00010740681648703007,3.4718734233151315e-07,0.00019091115095073202,89041.85562247713,"[0.00010740681648703007, 3.4718734233151315e-07, 0.00019091115095073202, 0.042327876027777045, 0.08776274945362733, 0.044304297288849506, 0.049225797222790885, 0.08058637128128525, 0.07083665482403635, 0.04759032552052413, 0.07765882480263898, 0.09522924565352064, 0.0629955521369916, 0.08378818621463172, 0.062086141286034555, 0.05306796720519669, 0.057957876179964694, 0.07015669709396283, 0.09967137739601968, 0.0487062002894431, 0.06676859396555829, 0.03845114714303543, 0.062179138734204574, 0.8190095787486261, 0.8118645876193374, 0.8962329130615826, 0.915120619909047, 0.8150057864738832, 0.8314029704584303, 0.8862395179793697, 0.8490387242109037, 0.838972124685683, 0.8354603068363462]",35.0,0.00021117724346831251
True,,,48,2.436308381612445e-05,1.1127313550901642e-05,9.102635840379798e-05,2.7646249858265436e-07,5.6172838048980516e-05,88940.26641960524,"[9.102635840379798e-05, 2.7646249858265436e-07, 5.6172838048980516e-05, 0.0787745472118801, 0.07544038439200094, 0.08793907090137926, 0.06649326397042346, 0.06555397300190098, 0.08490600929359343, 0.04035179097011644, 0.03197847621556687, 0.03042542022402942, 0.06137462084210869, 0.0535502368678484, 0.03789902261716597, 0.049061926861750545, 0.07240876208336099, 0.08000452216200152, 0.08238566131479758, 0.047844739374635625, 0.025288786739850695, 0.08413640323961952, 0.07496298548100476, 0.8567893170091818, 0.8468730458269702, 0.8435824979378461, 0.8533548872726318, 0.8197628995981925, 0.8313854600158453, 0.843063803731462, 0.9148563158965113, 0.8101116965728251, 0.8567462200897838]",7.0,0.00021117724346831251
True,,,49,1.1425148807831397e-05,9.535260907994748e-06,0.00010339927526321952,3.111149079504188e-07,0.00016784019854279241,89058.8833972681,"[0.00010339927526321952, 3.111149079504188e-07, 0.00016784019854279241, 0.07174260058575307, 0.06939327349896715, 0.024741425933306735, 0.09383483868426344, 0.09588466265641854, 0.05980251426376998, 0.046381557988115954, 0.09246111938333343, 0.0719257721486285, 0.05237168734404305, 0.07905519596074506, 0.08930337732290519, 0.06747604794229087, 0.03824201254785552, 0.033147949209522555, 0.08026204282131291, 0.040838277846191276, 0.08931113277250653, 0.05400056413896182, 0.0262103355783317, 0.7993357563152911, 0.8247279723296379, 0.8546125645107193, 0.8666392838527079, 0.8263142993778992, 0.83883940089906, 0.8357299316951097, 0.7940442977624333, 0.8534932008440441, 0.8146175661588776]",11.0,0.00021117724346831251
True,,,50,3.011464190246085e-05,0.00013342285396419502,0.00010146435766238551,3.0225698625770287e-07,0.0009257257559412453,89015.90267544356,"[0.00010146435766238551, 3.0225698625770287e-07, 0.0009257257559412453, 0.0916022769361886, 0.06852872753426828, 0.06715441187362432, 0.05566658938516517, 0.06031722901937386, 0.08092054977454619, 0.03863511436974876, 0.08628883264618045, 0.08054419311868505, 0.04331327809935106, 0.028086721743711508, 0.05914193292412871, 0.09242773881231973, 0.09414124414742897, 0.08550498922521131, 0.051926298977226, 0.06361437204726689, 0.0467611764282669, 0.07877756407221681, 0.07161038305029621, 0.8196642956611978, 0.8392496934853357, 0.7955179938482264, 0.8631476172003832, 0.8051667014269918, 0.8545874858147752, 0.8210483556592528, 0.7986296880315158, 0.826790491939861, 0.8777708224759766]",28.0,0.00021117724346831251
False,penalty-trap,10000000000000.0,51,4.87512056084135e-06,0.00034963952341182495,,,,,,,
True,,,52,2.524832292533634e-05,4.591195063624828e-05,0.00010320188837114491,3.4060801947288435e-07,0.00016232100409788487,89047.14531655953,"[0.00010320188837114491, 3.4060801947288435e-07, 0.00016232100409788487, 0.03616604274589924, 0.06471983929933248, 0.09707161630714027, 0.052938844500733814, 0.03689719463426723, 0.054535097691408296, 0.09537773569833842, 0.08369958496601856, 0.07233702212577764, 0.031200322497806476, 0.04177034607214482, 0.0954030506682302, 0.027119185425684422, 0.060011228947741906, 0.0673238110810109, 0.09488142860669004, 0.02495877165870382, 0.05562966203631797, 0.09964218150926565, 0.054012968092409935, 0.8966710526691071, 0.8507985568891039, 0.8093108250516179, 0.8773265410002714, 0.8357030241971335, 0.8768304506853133, 0.8200731125600659, 0.8253345417661417, 0.843287119764961, 0.8426434570708021]",12.0,0.00021117724346831251
True,,,53,7.828929036770207e-06,1.071596840758407e-06,0.00011079090419057064,3.5244183640232137e-07,0.0003116320599684957,89146.6926548808,"[0.00011079090419057064, 3.5244183640232137e-07, 0.0003116320599684957, 0.08136764955493493, 0.04352490263561743, 0.06208771823391522, 0.0909621510703142, 0.0795473667527598, 0.10502281201466365, 0.07868411120674458, 0.04175352359995147, 0.054349754660107816, 0.06121342639472945, 0.05930709653076072, 0.04950982961984446, 0.07039112421556268, 0.09671377842200485, 0.08048588157154343, 0.03957937929500462, 0.08131146485370959, 0.06435696583823244, 0.037292119381976206, 0.016338395697705194, 0.8109402340283066, 0.9097629409249386, 0.81853837930943, 0.8236018095790416, 0.8431303334000905, 0.8281108964076178, 0.8242039125136262, 0.8189256859243145, 0.9063115726031613, 0.8569224313988086]",79.0,0.00021117724346831251
True,,,54,1.6405281277794262e-06,3.9846487727265224e-06,0.00010436454582602097,3.5296004338730476e-07,0.00023059553533827121,89123.7768809984,"[0.00010436454582602097, 3.5296004338730476e-07, 0.00023059553533827121, 0.06863003516200879, 0.04174091520760484, 0.059163729157477675, 0.08124695481761375, 0.04377314803280341, 0.09566843606478255, 0.09607376668957433, 0.06065831580715405, 0.07903449732477161, 0.03500249978234775, 0.03731936014801111, 0.0946614941626926, 0.053765575471411156, 0.09237841248494329, 0.10427035049541572, 0.05134535981302195, 0.07527151158882911, 0.07671295498235021, 0.08791687760513976, 0.032491775702484876, 0.8091456625236905, 0.8399222027471563, 0.8626481366296584, 0.8476412326220287, 0.8791698633082231, 0.8223483601857131, 0.7953342740979861, 0.79421671548094, 0.8419315355435237, 0.8795368067490114]",38.0,0.00021117724346831251
True,,,55,3.8846528562406475e-06,0.00017628837689328424,0.00017075557412206315,2.0631387067720486e-07,0.00013630465331243802,88988.7442890211,"[0.00017075557412206315, 2.0631387067720486e-07, 0.00013630465331243802, 0.05289329596931806, 0.07324559088469293, 0.07387846295644657, 0.07394610150646257, 0.1084523798763445, 0.04031583518083603, 0.057430212455392544, 0.06128505532729543, 0.0817054100976383, 0.03833988578557939, 0.06140945045334785, 0.04139406914358342, 0.0899295863296661, 0.06499658861985894, 0.07440281809915314, 0.1110609498073958, 0.04806914040589972, 0.06850925916063481, 0.07559963098243824, 0.039509263033384846, 0.8090500907912621, 0.8419488107075119, 0.8107618121048504, 0.8520179881568126, 0.8268056533576968, 0.8423592072233745, 0.8738418608211967, 0.8450917225445087, 0.860090670168196, 0.8439544307212175]",4.0,0.00021117724346831251
False,penalty-trap,10000000000000.0,56,0.00044376460756318545,9.115750463865973e-05,,,,,,,
