metric,latest,change_1d,change_5d,change_20d,full_sample_percentile,one_year_percentile
VIX,19.440000534057617,-0.12511246018023325,0.26233772828579505,0.08785672194134997,0.6511387163561076,0.75
MOVE,69.44519805908203,-0.060916823192204816,-0.024097885255456086,-0.011315487312926975,0.3435127674258109,0.2896825396825397
MOVE/VIX,3.5722837526376896,0.0733758729736318,-0.22690885895505908,-0.09116293281462451,0.18978605935127674,0.20634920634920634
