date,total_spillover
2003-02-20,85.74958953254928
2003-02-27,85.74462557827755
2003-03-06,86.12580418073846
2003-03-13,86.10281301804498
2003-03-20,85.89208634975473
2003-03-27,85.9716815346732
2003-04-03,85.95883369346818
2003-04-10,85.96739811708555
2003-04-17,86.04535216331925
2003-04-24,86.27507603700141
2003-05-01,86.63224306054002
2003-05-08,86.60549554134266
2003-05-15,86.58416833821661
2003-05-22,87.0864741369126
2003-05-29,87.11499106872157
2003-06-05,87.1558221469914
2003-06-12,87.13480902539294
2003-06-19,87.12290027636467
2003-06-26,87.11508123479022
2003-07-03,87.12620442335812
2003-07-10,86.92981517394168
2003-07-17,87.13110506883504
2003-07-24,87.0707096468973
2003-07-31,87.0449953146392
2003-08-07,86.9994785567702
2003-08-14,87.0135310690431
2003-08-21,86.73842255841468
2003-08-28,86.77048479981279
2003-09-04,87.33345262390448
2003-09-11,87.46121785383122
2003-09-18,87.46948798672184
2003-09-25,87.48719692025948
2003-10-02,87.76370466555133
2003-10-09,87.75456689462489
2003-10-16,87.88356771018529
2003-10-23,87.88452828490391
2003-10-30,87.69975348862458
2003-11-06,87.0153433452208
2003-11-13,86.99106422601713
2003-11-20,86.97700338439147
2003-11-27,86.5373884886229
2003-12-04,86.5434752852753
2003-12-11,86.46947494392171
2003-12-18,86.99733192179804
2003-12-25,87.00042663852734
2004-01-01,87.30942278882284
2004-01-08,87.32502294864764
2004-01-15,87.31544777309998
2004-01-22,87.89747237939349
2004-01-29,87.96003038458758
2004-02-05,87.94478656851219
2004-02-12,87.95216602299436
2004-02-19,87.95805146007515
2004-02-26,87.9751840907219
2004-03-04,87.7741562734204
2004-03-11,87.75488993454915
2004-03-18,87.73987695850141
2004-03-25,87.2916891445233
2004-04-01,87.21141233391091
2004-04-08,87.21721036939252
2004-04-15,87.17092440396095
2004-04-22,87.22384848816475
2004-04-29,87.18182048295388
2004-05-06,87.16941418449822
2004-05-13,87.16903199966285
2004-05-20,87.52622757139791
2004-05-27,87.52232118292844
2004-06-03,87.54330286740662
2004-06-10,87.30706627837588
2004-06-17,87.32036480054352
2004-06-24,87.50001877149651
2004-07-01,87.25916744458728
2004-07-08,87.01194248775987
2004-07-15,87.04009617974803
2004-07-22,87.03710479409206
2004-07-29,87.04882068346629
2004-08-05,87.06941838547971
2004-08-12,87.04713336419002
2004-08-19,87.03870725724911
2004-08-26,87.44919012187101
2004-09-02,87.44458414149734
2004-09-09,87.47826229261608
2004-09-16,87.47352437413753
2004-09-23,87.46613281220446
2004-09-30,87.51511476568639
2004-10-07,87.47011165201512
2004-10-14,87.43595100255807
2004-10-21,86.59416572097936
2004-10-28,86.66752010008992
2004-11-04,86.69672848262438
2004-11-11,86.68840777393778
2004-11-18,86.68027196027917
2004-11-25,86.6826239763733
2004-12-02,86.70512882102122
2004-12-09,86.68951677769601
2004-12-16,86.71310694799631
2004-12-23,87.51711318761511
2004-12-30,87.45693584699417
2005-01-06,87.41612908640407
2005-01-13,87.43377818180663
2005-01-20,87.39451179630679
2005-01-27,87.40017374019966
2005-02-03,87.41025688741735
2005-02-10,88.12758410649604
2005-02-17,88.10460918438613
2005-02-24,88.10148949323501
2005-03-03,88.16299568232995
2005-03-10,88.16158792019331
2005-03-17,88.16384391429273
2005-03-24,88.08332849650104
2005-03-31,88.26390538057002
2005-04-07,88.2968135643439
2005-04-14,88.2878081424982
2005-04-21,88.26960872978951
2005-04-28,88.27310199360487
2005-05-05,88.34946287403149
2005-05-12,88.34265959509445
2005-05-19,88.34455944486847
2005-05-26,88.22613433551813
2005-06-02,88.20702824886466
2005-06-09,88.19812926032567
2005-06-16,88.18967400154958
2005-06-23,88.17421304369208
2005-06-30,88.06271300239243
2005-07-07,88.07148994248625
2005-07-14,88.06475850106595
2005-07-21,88.14205366575882
2005-07-28,88.02774876798632
2005-08-04,88.04960298057259
2005-08-11,88.14392074525449
2005-08-18,88.12023677938815
2005-08-25,88.12962210109093
2005-09-01,87.84653545801278
2005-09-08,87.85354847797126
2005-09-15,87.85756671280276
2005-09-22,87.85070514824876
2005-09-29,87.89349401024023
2005-10-06,87.87849642210378
2005-10-13,87.99370620806509
2005-10-20,87.80353417716071
2005-10-27,87.83277775619285
2005-11-03,87.77687055888556
2005-11-10,87.15505677110806
2005-11-17,87.1863384537951
2005-11-24,87.1972438388072
2005-12-01,86.80412389494734
2005-12-08,86.78318870466948
2005-12-15,86.77265728273852
2005-12-22,86.49529335918325
2005-12-29,86.3419176257208
2006-01-05,85.79085771806454
2006-01-12,85.79916663678941
2006-01-19,85.76004300659736
2006-02-03,85.72324932641277
2006-02-10,84.86925623385045
2006-02-17,84.85135821838993
2006-02-24,84.86316896132392
2006-03-06,84.85606816842582
2006-03-13,84.83893588831879
2006-03-20,84.83655463365194
2006-03-27,84.81709224721885
2006-04-03,84.84112451272303
2006-04-11,84.95565376241045
2006-04-18,85.00702665988587
2006-04-25,84.97343149659503
2006-05-03,83.29080139163634
2006-05-10,83.33096374242905
2006-05-17,79.84048061160794
2006-05-24,78.74261028869361
2006-06-01,78.1279225953516
2006-06-08,78.72696644370635
2006-06-15,73.86329454035645
2006-06-22,73.86856980973452
2006-06-29,74.04216679341357
2006-07-06,73.97391541482298
2006-07-13,73.97857135139388
2006-07-20,74.00302992057856
2006-07-27,36.664508676273336
2006-08-03,34.109262580401534
2006-08-10,35.28915136203766
2006-08-17,35.67268197852131
2006-08-24,35.90827450537502
2006-08-31,35.92923916379493
2006-09-07,37.01770482807213
2006-09-14,36.90287994908362
2006-09-21,36.511314518548296
2006-09-28,36.83203015921397
2006-10-05,36.18974897201138
2006-10-16,76.31490132622322
2006-10-23,74.79835481736966
2006-10-30,74.09666380240458
2006-11-06,74.04615350931245
2006-11-13,74.37031519503294
2006-11-20,74.20200215900802
2006-11-27,74.43635033654388
2006-12-04,74.38378261265494
2006-12-11,74.28297537319746
2006-12-18,74.62221488180008
2006-12-25,74.62981523521401
2007-01-02,74.77196058097084
2007-01-09,74.34125832148123
2007-01-16,74.51419454763607
2007-01-23,75.9410506315213
2007-01-30,75.86669333511006
2007-02-06,74.67952067067442
2007-02-13,73.54828546490351
2007-03-02,73.39647623974685
2007-03-09,74.00067249017363
2007-03-16,74.89576887782621
2007-03-23,74.5400482091289
2007-03-30,74.66176379097884
2007-04-10,74.55764264063359
2007-04-17,74.73361134530873
2007-04-24,75.05882197681277
2007-05-02,73.71637492640811
2007-05-09,73.65700003487034
2007-05-16,74.54512070120676
2007-05-23,74.32867058340035
2007-05-30,74.0191590079743
2007-06-06,74.30854835964033
2007-06-13,74.40673679466924
2007-06-22,74.41045894421563
2007-06-29,74.49211285396257
2007-07-06,74.52188354042143
2007-07-13,74.31157000252855
2007-07-20,73.08165780828372
2007-07-27,30.442107898563975
2007-08-03,34.47571129050153
2007-08-10,34.11424075088112
2007-08-17,37.89180558608497
2007-08-24,36.6125280493615
2007-08-31,36.83734747479457
2007-09-07,37.358284998662604
2007-09-14,38.18109396850909
2007-09-21,82.25361767816486
2007-10-02,77.0966894482378
2007-10-09,77.02445354119692
2007-10-17,77.03298712087503
2007-10-24,77.19220517193347
2007-10-31,78.11070904465006
