manager,ticker,date_type,event_date,pre_n,post_n,pre_ann_vol,post_ann_vol,post_pre_vol_ratio,post_minus_pre_cum_excess_vs_spy
BX,BX,announcement,2021-01-26,20,20,0.1993643303881972,0.1961518149924223,0.9838862077809024,0.11215637666582401
BX,BX,integration_close,2021-11-01,20,20,0.34617831381338726,0.38739391022554653,1.1190588629257037,-0.0929689598780723
KKR,KKR,announcement,2020-07-08,20,20,0.5297755469918883,0.21228558796301064,0.4007085437755417,0.017282174168862352
KKR,KKR,integration_close,2021-02-01,20,20,0.28221492689392824,0.3226779500076246,1.1433766227712845,0.12947309265512286
APO,APO,announcement,2021-03-08,20,20,0.26319257813906566,0.3357166623763495,1.2755552027723351,-0.04672209126441307
APO,APO,integration_close,2022-01-03,20,20,0.27690321852829597,0.3624737171168926,1.3090267388129053,0.07505385315132662
ARES,ARES,announcement,2019-07-08,20,20,0.29161750000039893,0.3210547878225926,1.1009448603809904,0.017896936189625956
ARES,ARES,integration_close,2021-07-15,20,20,0.2121457068353733,0.23296026535662323,1.098114446112276,0.050867225009878614
BAM_BN_PROXY,BN,announcement,2023-07-05,20,20,0.2380194025500936,0.3216037573132514,1.3511661396829473,-0.04725334609050669
BAM_BN_PROXY,BN,integration_close,2024-05-02,20,20,0.26731858816829135,0.24053594186766442,0.8998100114019537,-0.043191360483975205
CG,CG,announcement,2019-11-25,20,20,0.1369378262483717,0.22942517673383978,1.6753966600705248,0.02069404992386259
CG,CG,integration_close,2020-06-03,20,20,0.39590062767483264,0.5088581014941188,1.2853177437042664,-0.2749684313282521
