manager,regime,ticker,ann_vol_diff,sharpe_diff,beta_spy_diff,beta_xlf_diff,beta_kie_diff,beta_credit_z_diff,downside_corr_kie_diff,downside_corr_insurer_basket_diff
APO,post_minus_pre,APO,0.02241031069434496,-0.1362072896054607,-0.08568071768921182,0.5225630544758049,-0.20116820896533788,-0.0024141069259224763,-0.0698373510700846,0.047585858903122835
ARES,post_minus_pre,ARES,0.04077301665761729,-0.2162750030606645,0.41290452471521377,0.48242588162302713,-0.3324634483162685,-0.0009393582712880408,-0.08048016774444988,0.059956380240941465
BAM_BN_PROXY,post_minus_pre,BN,0.028098625271485267,0.34034029150911704,0.20544019048292594,0.3951282954431692,-0.1454773455625311,0.0034903441671287963,-0.14688852411345765,0.05285100802054776
BX,post_minus_pre,BX,0.08931348308349579,-0.8046020947657293,0.08215497264895433,0.7100792025646272,-0.253285006603968,0.0024684046749453093,-0.18019752026613717,-0.1479734751901659
CG,post_minus_pre,CG,0.030246853396971696,0.10086923161786804,0.4462332749249479,0.42446231634276055,-0.3285469066518393,0.003060515630970353,-0.1805882856308909,-0.1009316886181883
KKR,post_minus_pre,KKR,0.053671075204985486,0.10850757400407873,0.23819336362210886,0.44902555272769695,-0.1865736214781316,0.0005220200850408223,-0.16954871612080857,-0.048814025712917375
