Date,APO,ARES,BN,BX,CG,EQH,GL,HYG,KIE,KKR,LQD,MET,PRU,SPY,XLF
2014-01-02,16.87973403930664,,7.795815944671631,16.606128692626953,17.589031219482422,,46.4806022644043,47.971736907958984,16.523889541625977,17.36274528503418,74.18765258789062,31.462770462036133,53.471893310546875,148.19847106933594,14.018644332885742
2014-01-03,17.318580627441406,,7.824069499969482,17.014911651611328,18.06155014038086,,46.57062149047851,47.956268310546875,16.478578567504883,17.735767364501953,74.29788970947266,31.82951545715332,53.14784622192383,148.17416381835938,14.115363121032717
2014-01-06,17.370820999145508,,7.775636196136475,16.712308883666992,18.07160758972168,,46.40253829956055,48.059383392333984,16.438600540161133,17.869483947753906,74.45999145507812,31.693449020385746,53.318695068359375,147.74478149414062,14.12826442718506
2014-01-07,17.741741180419922,,7.63437032699585,16.85564613342285,18.051502227783203,,46.786739349365234,48.059383392333984,16.502565383911133,18.05950355529785,74.40165710449219,31.56924057006836,53.51900863647461,148.65219116210938,14.134711265563965
2014-01-08,18.316421508789062,,7.581902980804443,16.73354721069336,18.12689781188965,,47.140899658203125,48.028446197509766,16.499897003173828,18.143964767456055,74.08392333984375,32.05428695678711,53.572052001953125,148.6845703125,14.179851531982422
2014-01-09,18.35822105407715,,7.517324924468994,16.956514358520508,18.307859420776367,,47.2369499206543,48.10063934326172,16.582538604736328,18.17915153503418,74.25249481201172,32.26723098754883,53.74879455566406,148.78179931640625,14.231439590454102
2014-01-10,18.661224365234375,,7.551629543304443,17.137022018432617,18.498889923095703,,46.984825134277344,48.24501037597656,16.571870803833008,18.263608932495117,74.65453338623047,32.00104904174805,53.45418548583984,149.18690490722656,14.205644607543944
2014-01-13,18.61420249938965,,7.549612522125244,17.03614616394043,18.222415924072266,,46.32451629638672,48.193416595458984,16.305316925048828,17.883554458618164,74.79721069335938,31.33262825012207,52.158077239990234,147.2019805908203,13.99285125732422
2014-01-14,18.922439575195312,,7.567774772644043,17.02553367614746,19.056875228881836,,47.01484298706055,48.2656364440918,16.470579147338867,18.12285041809082,74.57674407958984,31.699371337890625,52.82970428466797,148.80609130859375,14.108915328979492
2014-01-15,18.67690086364746,,7.628317832946777,17.174177169799805,18.594402313232425,,47.06886672973633,48.36359786987305,16.51856231689453,18.12285041809082,74.59618377685547,32.13117980957031,53.630958557128906,149.60821533203125,14.276575088500977
