model,term,coef,std_err,t,p,ci_low,ci_high,harvey_pass
return_beta_shift,Intercept,-0.00031080826883816135,0.0006026540939706738,-0.515732444112934,0.6060412913557713,-0.0014919885881562994,0.0008703720504799765,False
return_beta_shift,C(manager)[T.ARES],3.337363194289939e-05,0.0003686303904002835,0.09053413069568159,0.9278627729330424,-0.0006891286568485959,0.0007558759207343948,False
return_beta_shift,C(manager)[T.BAM_BN_PROXY],-0.00027890053224573143,0.0003518243841516323,-0.7927265556600206,0.42793715487244255,-0.0009684636540659154,0.0004106625895744525,False
return_beta_shift,C(manager)[T.BX],-7.910531591342675e-05,0.00031214206602890636,-0.25342728367185563,0.7999380463264428,-0.0006908925233900067,0.0005326818915631533,False
return_beta_shift,C(manager)[T.CG],-0.0004867310542974072,0.0003402620802533059,-1.430459291658546,0.15258524147170877,-0.0011536324768985642,0.0001801703683037498,False
return_beta_shift,C(manager)[T.KKR],-0.0002093417905960671,0.000297115647997978,-0.7045801592970685,0.4810715493077762,-0.0007916777599153842,0.00037299417872325004,False
return_beta_shift,C(year)[T.2015],-0.0004061493706907893,0.000807208367990773,-0.5031530727335471,0.6148566551360175,-0.001988248699972059,0.0011759499585904803,False
return_beta_shift,C(year)[T.2016],0.0006141545541953976,0.0008416623990045184,0.7296922791392283,0.46557830158635993,-0.001035473434995039,0.0022637825433858344,False
return_beta_shift,C(year)[T.2017],0.0010633098800247654,0.000691370901313072,1.5379731458256285,0.12405518093900024,-0.00029175218650785164,0.0024183719465573827,False
return_beta_shift,C(year)[T.2018],0.00036381716389415335,0.0008132709471703967,0.4473504988220442,0.6546220108962827,-0.0012301646022326012,0.001957798930020908,False
return_beta_shift,C(year)[T.2019],0.0018295357885137159,0.0007765869555541164,2.3558672669286485,0.018479519462345065,0.00030745332476403995,0.003351618252263392,False
return_beta_shift,C(year)[T.2020],0.0008850884621234154,0.0010715567326130728,0.8259837628615889,0.4088133026237263,-0.001215124141189624,0.002985301065436455,False
return_beta_shift,C(year)[T.2021],0.0013635814039441845,0.0008121434512471327,1.6789908258821271,0.09315383173154654,-0.00022819051078025693,0.002955353318668626,False
return_beta_shift,C(year)[T.2022],0.0003766638711009506,0.0010082399845947122,0.37358553207187106,0.7087126995530046,-0.001599450186477904,0.0023527779286798053,False
return_beta_shift,C(year)[T.2023],0.0013288286026796128,0.0009157333501698418,1.451108668733266,0.14674960303231938,-0.00046597578309548276,0.003123632988454708,False
