manager,ticker,regime,start,end,n_days,ann_return,ann_vol,sharpe,downside_corr_kie,downside_corr_insurer_basket,n,beta_spy,beta_xlf,beta_kie,beta_credit_z
APO,APO,pre,2014-05-05,2021-12-31,1931,0.25932150641731894,0.35637409278457427,0.7276665494707469,0.5384357727745753,0.5300597011978824,1931,0.8053091625435533,0.29118433403095434,0.1754034993868732,7.140368558647371e-05
APO,APO,post,2022-01-03,2026-06-23,1121,0.2240355429301555,0.37878440347891923,0.5914592598652862,0.46859842170449073,0.5776455601010052,1121,0.7196284448543415,0.8137473885067592,-0.025764709578464703,-0.0023427032403360026
ARES,ARES,pre,2014-05-05,2021-07-14,1812,0.2773985807484855,0.3363491197553806,0.824734076754033,0.4645281533485891,0.42775411694132603,1812,0.6752836806130099,0.07044667963252592,0.24279510035821011,0.00021995930403778257
ARES,ARES,post,2021-07-15,2026-06-23,1240,0.22946338579111683,0.3771221364129979,0.6084590736933685,0.3840479856041392,0.4877104971822675,1240,1.0881882053282237,0.5528725612555531,-0.08966834795805839,-0.0007193989672502582
BAM_BN_PROXY,BN,pre,2014-05-05,2024-05-01,2516,0.1552764608606479,0.28421783343479257,0.5463290567805719,0.6208630052765298,0.5797330518518959,2516,0.8037153595407811,0.2607010186443446,0.1340790996661585,0.00017525957743787387
BAM_BN_PROXY,BN,post,2024-05-02,2026-06-23,536,0.2769214309012389,0.31231645870627783,0.8866693482896889,0.47397448116307217,0.6325840598724437,536,1.009155550023707,0.6558293140875138,-0.011398245896372616,0.0036656037445666704
BX,BX,pre,2014-05-05,2021-10-29,1888,0.3143407344049507,0.3112089016765362,1.0100634419887824,0.5883899393605426,0.6131244365500377,1888,0.9895762524310812,0.23011805931004245,-0.010685311302419426,-0.0006445064732122352
BX,BX,post,2021-11-01,2026-06-23,1164,0.0822918687657862,0.400522384760032,0.20546134722305312,0.40819241909440546,0.4651509613598718,1164,1.0717312250800355,0.9401972618746697,-0.2639703179063875,0.0018238982017330743
CG,CG,pre,2014-05-05,2020-06-02,1531,0.12081444862396969,0.35145878514639406,0.3437513976884844,0.5857197127040484,0.5811200901676227,1531,0.6640747707894378,0.34657325856274346,0.07421095536530703,-0.0017203678049396056
CG,CG,post,2020-06-03,2026-06-23,1521,0.16971420121893435,0.38170563854336576,0.44462062930635243,0.4051314270731575,0.4801884015494344,1521,1.1103080457143857,0.771035574905504,-0.25433595128653225,0.0013401478260307474
KKR,KKR,pre,2014-05-05,2021-01-29,1698,0.17501174706363298,0.33045969734011027,0.529600881657621,0.600165231019115,0.5895493022610601,1698,0.8164234241382337,0.3517822368097506,0.025416832764778408,-0.0005366640830182703
KKR,KKR,post,2021-02-01,2026-06-23,1354,0.24511709404088666,0.38413077254509576,0.6381084556616997,0.43061651489830644,0.5407352765481427,1354,1.0546167877603425,0.8008077895374476,-0.1611567887133532,-1.4643997977448024e-05
