announce_date,period,guide_updated,guide_midpoint,guide_delta_pct,note,stock
2014-02-25,201312,1,10.0,0.0,FY2014 guide initial ~10bn,TSM
2014-05-14,201403,0,10.0,0.0,held,TSM
2014-08-13,201406,0,10.0,0.0,held,TSM
2014-11-12,201409,0,10.0,0.0,held,TSM
2015-02-24,201412,1,12.0,20.0,FY2015 guide raised,TSM
2015-05-11,201503,0,12.0,0.0,held,TSM
2015-08-11,201506,0,12.0,0.0,held,TSM
2015-11-11,201509,1,8.1,-32.5,FY2015 CUT (smartphone slowdown),TSM
2016-02-04,201512,1,9.5,17.283950617283956,FY2016 guide,TSM
2016-05-11,201603,0,9.5,0.0,held,TSM
2016-08-04,201606,1,10.15,6.842105263157898,FY2016 RAISED,TSM
2016-11-09,201609,0,10.15,0.0,held,TSM
2017-02-16,201612,1,10.0,-1.4778325123152742,FY2017 guide,TSM
2017-05-10,201703,0,10.0,0.0,held,TSM
2017-08-08,201706,1,10.7,6.999999999999992,FY2017 RAISED mid-year,TSM
2017-11-14,201709,0,10.7,0.0,held,TSM
2018-02-21,201712,1,11.75,9.81308411214954,FY2018 guide,TSM
2018-05-02,201803,0,11.75,0.0,held,TSM
2018-08-14,201806,0,11.75,0.0,held,TSM
2018-11-13,201809,1,10.5,-10.638297872340424,FY2018 CUT year-end,TSM
2019-02-22,201812,1,10.5,0.0,FY2019 guide,TSM
2019-05-15,201903,0,10.5,0.0,held,TSM
2019-08-14,201906,1,10.75,2.380952380952381,FY2019 narrow tighten,TSM
2019-11-14,201909,1,14.5,34.883720930232556,FY2019 MAJOR RAISE (5nm ramp),TSM
2020-02-27,201912,1,15.5,6.896551724137931,FY2020 guide,TSM
2020-05-14,202003,0,15.5,0.0,held,TSM
2020-08-14,202006,1,16.5,6.451612903225806,FY2020 RAISED,TSM
2020-11-13,202009,0,16.5,0.0,held,TSM
2021-02-26,202012,1,26.5,60.60606060606061,FY2021 MASSIVE RAISE ($100bn 3yr plan),TSM
2021-05-14,202103,1,30.0,13.20754716981132,FY2021 REVISED upward,TSM
2021-08-13,202106,0,30.0,0.0,held,TSM
2021-11-12,202109,0,30.0,0.0,held,TSM
2022-02-25,202112,1,42.0,40.0,FY2022 guide RAISED sharply,TSM
2022-05-13,202203,0,42.0,0.0,held,TSM
2022-08-12,202206,0,42.0,0.0,held,TSM
2022-11-14,202209,1,36.0,-14.285714285714285,FY2022 CUT (inventory correction),TSM
2023-02-24,202212,1,34.0,-5.555555555555555,FY2023 guide,TSM
2023-05-12,202303,1,32.0,-5.88235294117647,FY2023 tighten to low end,TSM
2023-08-14,202306,0,32.0,0.0,held,TSM
2023-11-14,202309,1,32.0,0.0,FY2023 reconfirm,TSM
2024-02-29,202312,1,30.0,-6.25,FY2024 guide,TSM
2024-05-15,202403,0,30.0,0.0,held,TSM
2024-08-14,202406,0,30.0,0.0,held,TSM
2024-11-14,202409,1,31.0,3.3333333333333335,FY2024 narrow to high end,TSM
2025-02-27,202412,1,40.0,29.03225806451613,FY2025 guide RAISED,TSM
2025-05-15,202503,0,40.0,0.0,held,TSM
2025-08-14,202506,0,40.0,0.0,held,TSM
2025-11-14,202509,1,42.0,5.0,FY2025 RAISED to 42bn,TSM
