announce_date,period,guide_updated,guide_midpoint,guide_delta_pct,note,stock
2020-05-13,202003,1,4.3,0.0,FY2020 guide ~$4.3bn,0981.HK
2020-08-27,202006,1,5.9,37.20930232558141,FY2020 RAISED to $5.9bn,0981.HK
2020-11-11,202009,1,4.7,-20.33898305084746,FY2020 CUT ~$4.7bn (ASML restriction),0981.HK
2021-02-04,202012,1,4.3,-8.510638297872347,FY2021 guide ~$4.3bn,0981.HK
2021-05-13,202103,0,4.3,0.0,held,0981.HK
2021-08-05,202106,1,4.7,9.302325581395358,FY2021 RAISED ($4.3→$4.7bn),0981.HK
2021-11-11,202109,0,4.7,0.0,held,0981.HK
2022-02-10,202112,1,5.0,6.382978723404252,FY2022 guide ~$5.0bn,0981.HK
2022-05-12,202203,0,5.0,0.0,held,0981.HK
2022-08-11,202206,0,5.0,0.0,held,0981.HK
2022-11-10,202209,0,5.0,0.0,held,0981.HK
2023-02-09,202212,1,6.5,30.0,FY2023 guide ~$6.5bn,0981.HK
2023-05-11,202303,0,6.5,0.0,held,0981.HK
2023-08-10,202306,0,6.5,0.0,held,0981.HK
2023-11-09,202309,0,6.5,0.0,held,0981.HK
2024-02-06,202312,1,7.3,12.307692307692305,FY2024 guide ~$7.3bn,0981.HK
2024-05-09,202403,0,7.3,0.0,held,0981.HK
2024-08-08,202406,0,7.3,0.0,held,0981.HK
2024-11-07,202409,0,7.3,0.0,held,0981.HK
2025-02-10,202412,1,7.3,0.0,FY2025 guide ~$7.3bn reconfirm,0981.HK
2025-05-08,202503,0,7.3,0.0,held,0981.HK
2025-08-07,202506,0,7.3,0.0,held,0981.HK
2025-11-13,202509,0,7.3,0.0,held,0981.HK
